category_id,category_name,category_group,description,typical_crops_examples,cultivation_mode,value_add_potential,data_source,source_url,collection_date,confidence_score,verification_status,notes
cc-011,Flowers,Horticulture,Cut flowers and loose flowers for floriculture markets,"Rose, Marigold, Chrysanthemum, Jasmine, Gerbera",Open Field / Protected,High,ICAR-DFR (Directorate of Floricultural Research); MIDH,https://icar.org.in/,2026-07-24,70,VST-NEEDS_REVIEW,Festival-driven demand spikes; cold chain sensitive
cc-012,Fodder,Field Crops,Green and dry fodder crops supporting livestock systems,"Berseem, Lucerne, Fodder Sorghum, Fodder Maize, Oats",Open Field,Low,ICAR-IGFRI (Indian Grassland and Fodder Research Institute),https://icar.org.in/,2026-07-24,71,VST-NEEDS_REVIEW,Input to dairy/livestock rather than direct sale
cc-013,Forest Produce,Allied,Non-timber forest produce collected or cultivated at forest margins,"Tamarind, Mahua, Gum Karaya, Bamboo, Sal Seed, Honey (wild)",Forest / Agroforestry,High,TRIFED; Ministry of Tribal Affairs; State Forest Departments,https://trifed.tribal.gov.in/,2026-07-24,66,VST-NEEDS_REVIEW,MSP-for-MFP scheme; tribal livelihood linked
cc-014,Organic Farming,Production System,Certified chemical-free production system rather than a crop group,Any crop under NPOP/PGS certification,Open Field / Protected,Very High,APEDA (NPOP); PKVY under Ministry of Agriculture,https://apeda.gov.in/,2026-07-24,72,VST-NEEDS_REVIEW,System category; 3-year conversion for NPOP certification
cc-015,Protected Cultivation,Production System,"Polyhouse, shadenet and greenhouse-based controlled cultivation","Capsicum, Gerbera, Cucumber, Exotic Vegetables",Protected,Very High,MIDH (Mission for Integrated Development of Horticulture),https://midh.gov.in/,2026-07-24,71,VST-NEEDS_REVIEW,Capital-intensive; MIDH subsidy-supported
cc-016,Hydroponics,Production System,Soil-less cultivation in nutrient solution,"Lettuce, Leafy Greens, Herbs, Strawberry",Controlled Environment,Very High,ICAR-IARI research programmes; MIDH,https://icar.org.in/,2026-07-24,62,VST-NEEDS_REVIEW,Urban/peri-urban model; standardised cost data sparse
cc-017,Aquaponics,Production System,Integrated fish-and-plant recirculating system,Leafy Greens with Tilapia / Carp,Controlled Environment,High,ICAR-CIFA research programmes,https://icar.org.in/,2026-07-24,57,VST-NEEDS_REVIEW,Early adoption in India; limited published cost benchmarks
cc-018,Sericulture,Allied,Silkworm rearing with host-plant cultivation,"Mulberry (host), Tasar, Eri, Muga host plants",Open Field + Rearing Shed,Very High,Central Silk Board; Ministry of Textiles,https://csb.gov.in/,2026-07-24,72,VST-NEEDS_REVIEW,Silk Samagra scheme support; high employment per acre
cc-019,Apiculture,Allied,"Beekeeping for honey, wax and pollination services","Apis cerana indica, Apis mellifera colonies",Apiary,Very High,National Bee Board; ICAR-IARI,https://nbb.gov.in/,2026-07-24,70,VST-NEEDS_REVIEW,National Beekeeping and Honey Mission (NBHM)
cc-020,Mushroom,Allied,Protected-shed fungal cultivation on prepared substrate,"Button Mushroom, Oyster Mushroom, Milky Mushroom",Controlled Shed,Very High,ICAR-DMR (Directorate of Mushroom Research),https://icar.org.in/,2026-07-24,71,VST-NEEDS_REVIEW,Short cycle; year-round income; low land requirement
cc-021,Fisheries,Allied,Inland and brackish-water fish and shrimp culture,"Rohu, Catla, Tilapia, Vannamei Shrimp",Pond / Tank / Cage,Very High,NFDB; Department of Fisheries; PMMSY,https://nfdb.gov.in/,2026-07-24,71,VST-NEEDS_REVIEW,PMMSY-funded; highest-value agri-export category
cc-022,Livestock,Allied,Small and large ruminant rearing for meat and by-products,"Goat, Sheep, Buffalo, Cattle",Shed / Grazing,High,Department of Animal Husbandry & Dairying; National Livestock Mission,https://dahd.nic.in/,2026-07-24,72,VST-NEEDS_REVIEW,National Livestock Mission support
cc-023,Poultry,Allied,"Broiler, layer and backyard poultry production","Broiler, Layer, Kadaknath, Giriraja",Shed / Backyard,High,Department of Animal Husbandry & Dairying; ICAR-DPR,https://dahd.nic.in/,2026-07-24,73,VST-NEEDS_REVIEW,Short cycle; integrator contract-farming common
cc-024,Dairy,Allied,Milk production and primary milk handling,"Buffalo Milk, Cow Milk (crossbred and indigenous)",Shed,Very High,NDDB; Department of Animal Husbandry & Dairying,https://www.nddb.coop/,2026-07-24,75,VST-NEEDS_REVIEW,Cooperative procurement network; daily cash flow
