mapping_id,crop_id,crop_name,climate_zone_id,climate_zone_name,season,yield_potential,risk_level,primary_climatic_risk,data_source,source_url,collection_date,confidence_score,verification_status,notes
ccm-014,crop-007,Finger Millet,cz-008,Highland,Kharif,Good,Medium,Cold at maturity in higher elevations,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,70,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-015,crop-008,Foxtail Millet,cz-005,Semi-arid,Kharif,Optimal,Low,Short dry spells (crop escapes via early maturity),ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,70,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-016,crop-008,Foxtail Millet,cz-004,Arid,Kharif,Good,Medium,Severe moisture deficit,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,68,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-017,crop-009,Chickpea,cz-006,Dry,Rabi,Optimal,Low,Terminal drought and heat,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,77,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-018,crop-009,Chickpea,cz-005,Semi-arid,Rabi,Good,Medium,Insufficient residual moisture,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,74,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-019,crop-010,Pigeon Pea,cz-005,Semi-arid,Kharif,Optimal,Medium,Excess rain at flowering causes pod drop,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,76,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-020,crop-010,Pigeon Pea,cz-006,Dry,Kharif,Good,Medium,Long-duration exposure to late drought,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,74,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-021,crop-011,Moong (Green Gram),cz-005,Semi-arid,Kharif,Good,Medium,Rain at maturity causes pod shattering,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,75,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-022,crop-011,Moong (Green Gram),cz-006,Dry,Summer,Good,Medium,Heat stress at flowering,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,73,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-023,crop-012,Urad (Black Gram),cz-002,Sub-tropical,Kharif,Good,Medium,Rain during pod maturity,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,75,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-024,crop-012,Urad (Black Gram),cz-001,Tropical,Rabi,Good,Low,Limited cool-season window,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,73,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-025,crop-013,Lentil,cz-003,Temperate,Rabi,Optimal,Low,Terminal heat,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,75,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-026,crop-013,Lentil,cz-002,Sub-tropical,Rabi,Good,Medium,Early summer onset,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,73,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-027,crop-014,Groundnut,cz-005,Semi-arid,Kharif,Optimal,Medium,Dry spell at pod formation,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,77,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-028,crop-014,Groundnut,cz-006,Dry,Rabi,Good,Low,Requires irrigation in rabi,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,75,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-029,crop-015,Soybean,cz-002,Sub-tropical,Kharif,Optimal,Medium,Excess rain causes root rot,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,76,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-030,crop-015,Soybean,cz-005,Semi-arid,Kharif,Good,High,Moisture deficit at pod fill,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,74,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-031,crop-016,Sunflower,cz-006,Dry,Rabi,Optimal,Low,Heat at seed fill,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,75,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-032,crop-016,Sunflower,cz-005,Semi-arid,Kharif,Good,Medium,Rain at flowering disrupts pollination,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,73,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-033,crop-017,Safflower,cz-006,Dry,Rabi,Optimal,Medium,Residual-moisture exhaustion,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,71,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-034,crop-017,Safflower,cz-005,Semi-arid,Rabi,Marginal,High,Inadequate stored moisture,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,68,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-035,crop-018,Mustard,cz-003,Temperate,Rabi,Optimal,Low,Warm spells during siliqua fill,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,75,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-036,crop-018,Mustard,cz-002,Sub-tropical,Rabi,Good,Medium,Aphid pressure in warm winters,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,73,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-037,crop-019,Sugarcane,cz-001,Tropical,Annual,Optimal,Low,Water deficit in the summer months,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,77,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-038,crop-019,Sugarcane,cz-002,Sub-tropical,Annual,Good,Medium,Frost risk in northern belts,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,75,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-039,crop-020,Cotton,cz-005,Semi-arid,Kharif,Optimal,Medium,Rain at boll opening degrades lint,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,77,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-040,crop-020,Cotton,cz-006,Dry,Kharif,Good,High,Terminal drought on rainfed cotton,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,75,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-041,crop-021,Tobacco,cz-002,Sub-tropical,Rabi,Good,Medium,Unseasonal rain damages cured leaf,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,72,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-042,crop-021,Tobacco,cz-001,Tropical,Rabi,Good,Medium,High humidity raises disease pressure,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,70,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-043,crop-022,Jute,cz-007,Wet,Kharif,Optimal,Medium,Flooding during retting stage,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,70,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-044,crop-022,Jute,cz-001,Tropical,Kharif,Good,Medium,Insufficient rainfall for fibre quality,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,68,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-045,crop-023,Tomato,cz-002,Sub-tropical,Rabi,Optimal,Medium,Frost and low night temperature,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,76,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-046,crop-023,Tomato,cz-001,Tropical,Kharif,Good,High,Heavy rain and high disease pressure,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,74,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-047,crop-024,Potato,cz-003,Temperate,Rabi,Optimal,Medium,Frost damage to haulm,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,77,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-048,crop-024,Potato,cz-002,Sub-tropical,Rabi,Good,Medium,Warm spells trigger late blight,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,75,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-049,crop-025,Onion,cz-006,Dry,Rabi,Optimal,Low,Unseasonal rain at bulb maturity,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,76,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-050,crop-025,Onion,cz-005,Semi-arid,Kharif,Good,High,Waterlogging causes bulb rot,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,74,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-051,crop-026,Brinjal,cz-001,Tropical,Year Round,Optimal,Low,Extreme heat reduces fruit set,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,73,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-052,crop-026,Brinjal,cz-002,Sub-tropical,Kharif,Good,Medium,Cold checks growth in winter,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,72,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-053,crop-027,Okra (Lady Finger),cz-001,Tropical,Kharif,Optimal,Low,High temperature causes fruit fibrousness,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,73,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-054,crop-027,Okra (Lady Finger),cz-002,Sub-tropical,Summer,Good,Medium,Cold limits the winter window,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,72,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-055,crop-028,Cabbage,cz-003,Temperate,Rabi,Optimal,Low,Heat causes bolting and loose heads,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,73,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-056,crop-028,Cabbage,cz-002,Sub-tropical,Rabi,Good,Medium,Warm winters reduce head compactness,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,72,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-057,crop-029,Mango,cz-001,Tropical,Perennial,Optimal,Medium,Unseasonal rain at flowering causes fruit drop,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,77,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-058,crop-029,Mango,cz-002,Sub-tropical,Perennial,Good,Medium,Frost injury to young flush,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,75,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-059,crop-030,Banana,cz-001,Tropical,Perennial,Optimal,Medium,Cyclonic wind causes plant toppling,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,76,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-060,crop-030,Banana,cz-002,Sub-tropical,Perennial,Good,High,Cold checks bunch development,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,74,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-061,crop-031,Citrus (Sweet Orange),cz-002,Sub-tropical,Perennial,Optimal,Medium,Moisture stress causes fruit drop,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,75,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-062,crop-031,Citrus (Sweet Orange),cz-006,Dry,Perennial,Good,Medium,Requires assured irrigation,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,74,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-063,crop-032,Grapes,cz-006,Dry,Perennial,Optimal,Medium,Rain at berry ripening causes cracking and rot,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,75,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-064,crop-032,Grapes,cz-005,Semi-arid,Perennial,Good,High,Unseasonal rain during harvest,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,73,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-065,crop-033,Guava,cz-001,Tropical,Perennial,Optimal,Low,Fruit fly pressure in humid periods,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,73,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-066,crop-033,Guava,cz-002,Sub-tropical,Perennial,Good,Low,Cold checks off-season cropping,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,72,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-067,crop-034,Pomegranate,cz-005,Semi-arid,Perennial,Optimal,Medium,Humidity drives bacterial blight,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,73,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-068,crop-034,Pomegranate,cz-004,Arid,Perennial,Good,Medium,Water scarcity limits fruit size,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,71,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-069,crop-035,Turmeric,cz-001,Tropical,Kharif,Optimal,Low,Deficient rainfall in the rhizome bulking phase,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,77,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-070,crop-035,Turmeric,cz-002,Sub-tropical,Kharif,Good,Medium,Requires supplementary irrigation,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,74,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-071,crop-036,Chilli,cz-005,Semi-arid,Kharif,Optimal,Medium,Rain during drying degrades colour value,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,77,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-072,crop-036,Chilli,cz-006,Dry,Kharif,Good,Medium,Thrips and mite pressure in dry spells,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,75,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-073,crop-037,Black Pepper,cz-007,Wet,Perennial,Optimal,Medium,Quick wilt (foot rot) in waterlogged conditions,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,74,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-074,crop-037,Black Pepper,cz-001,Tropical,Perennial,Good,Medium,Insufficient rainfall for spike development,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,72,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-075,crop-038,Cardamom,cz-008,Highland,Perennial,Optimal,Medium,Drought in the hill capsule-fill period,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,72,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-076,crop-038,Cardamom,cz-007,Wet,Perennial,Good,Medium,Excess rain causes capsule rot,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,70,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-077,crop-039,Coriander,cz-006,Dry,Rabi,Optimal,Low,Powdery mildew in humid winters,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,73,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-078,crop-039,Coriander,cz-005,Semi-arid,Rabi,Good,Medium,Moisture deficit at seed fill,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,71,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-079,crop-040,Cumin,cz-004,Arid,Rabi,Optimal,Medium,Blight and wilt in cloudy humid weather,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,73,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-080,crop-040,Cumin,cz-005,Semi-arid,Rabi,Good,Medium,Unseasonal rain at maturity,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,71,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-081,crop-041,Ginger,cz-001,Tropical,Kharif,Optimal,Medium,Rhizome rot under waterlogging,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,73,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-082,crop-041,Ginger,cz-007,Wet,Kharif,Good,High,Excess rainfall drives soft rot,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,71,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-083,crop-042,Ashwagandha,cz-005,Semi-arid,Rabi,Optimal,Low,Excess moisture causes root rot,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,70,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-084,crop-042,Ashwagandha,cz-004,Arid,Rabi,Good,Medium,Severe moisture deficit reduces root yield,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,68,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-085,crop-043,Tulsi (Holy Basil),cz-001,Tropical,Kharif,Optimal,Low,Waterlogging causes wilting,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,66,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-086,crop-043,Tulsi (Holy Basil),cz-002,Sub-tropical,Kharif,Good,Low,Frost injury in northern winters,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,65,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-087,crop-044,Coconut,cz-001,Tropical,Perennial,Optimal,Medium,Cyclonic wind damage in coastal belts,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,74,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-088,crop-044,Coconut,cz-007,Wet,Perennial,Good,Medium,Bud rot pressure in prolonged wet weather,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,72,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-089,crop-045,Cashew,cz-001,Tropical,Perennial,Optimal,Medium,Rain at flowering causes flower and nut drop,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,73,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-090,crop-045,Cashew,cz-007,Wet,Perennial,Good,Medium,Tea mosquito bug pressure in humid conditions,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,71,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
