mapping_id,crop_id,crop_name,processing_opportunity_id,processing_opportunity_name,package004_opportunity_name,package006_skill_id,package006_skill_name,value_add_stage,data_source,source_url,collection_date,confidence_score,verification_status,notes
abm-011,crop-019,Sugarcane,ap-010,Jaggery Unit,PENDING_VERIFICATION,e9a9d72b-0c80-4932-b907-ffc466d58717,Food Processing & Preservation,Primary Processing,Ministry of Food Processing Industries (MoFPI),https://mofpi.gov.in/,2026-07-24,69,VST-NEEDS_REVIEW,No jaggery opportunity exists in Package004 v1.0.0; link left as sentinel
abm-012,crop-023,Tomato,ap-007,Fruit Pulp Unit,Small-Scale Multi-Product Food Processing Unit,e9a9d72b-0c80-4932-b907-ffc466d58717,Food Processing & Preservation,Secondary Processing,Ministry of Food Processing Industries (MoFPI),https://mofpi.gov.in/,2026-07-24,68,VST-NEEDS_REVIEW,Tomato paste and puree fall within the Package004 multi-product unit scope
abm-013,crop-024,Potato,ap-011,Cold Storage Facility,PENDING_VERIFICATION,e9a9d72b-0c80-4932-b907-ffc466d58717,Food Processing & Preservation,Post-Harvest Infrastructure,Ministry of Agriculture & Farmers Welfare,https://agricoop.gov.in/,2026-07-24,67,VST-NEEDS_REVIEW,"Cold storage is infrastructure, not an enterprise line in Package004 v1.0.0"
abm-014,crop-025,Onion,ap-011,Cold Storage Facility,PENDING_VERIFICATION,e9a9d72b-0c80-4932-b907-ffc466d58717,Food Processing & Preservation,Post-Harvest Infrastructure,Ministry of Agriculture & Farmers Welfare,https://agricoop.gov.in/,2026-07-24,67,VST-NEEDS_REVIEW,Onion storage reduces distress selling; no Package004 counterpart
abm-015,crop-029,Mango,ap-008,Pickle Unit,Andhra-Style Pickle (Avakaya/Mixed) Making Unit,e9a9d72b-0c80-4932-b907-ffc466d58717,Food Processing & Preservation,Secondary Processing,Ministry of Food Processing Industries (MoFPI),https://mofpi.gov.in/,2026-07-24,73,VST-NEEDS_REVIEW,Raw mango is the defining input for the Package004 avakaya unit
abm-016,crop-029,Mango,ap-007,Fruit Pulp Unit,Small-Scale Multi-Product Food Processing Unit,e9a9d72b-0c80-4932-b907-ffc466d58717,Food Processing & Preservation,Secondary Processing,Ministry of Food Processing Industries (MoFPI),https://mofpi.gov.in/,2026-07-24,69,VST-NEEDS_REVIEW,Ripe mango pulp is the second value path from the same crop
abm-017,crop-033,Guava,ap-009,Jam and Fruit Preserve Unit,Small-Scale Multi-Product Food Processing Unit,e9a9d72b-0c80-4932-b907-ffc466d58717,Food Processing & Preservation,Secondary Processing,Ministry of Food Processing Industries (MoFPI),https://mofpi.gov.in/,2026-07-24,67,VST-NEEDS_REVIEW,Guava jam and jelly sit within the multi-product unit scope
abm-018,crop-035,Turmeric,ap-005,Turmeric Powder Unit,Turmeric Processing & Powder-Making Unit,e9a9d72b-0c80-4932-b907-ffc466d58717,Food Processing & Preservation,Secondary Processing,ICAR-IISR; Spices Board of India,https://www.indianspices.com/,2026-07-24,74,VST-NEEDS_REVIEW,Direct one-to-one match with the Package004 turmeric unit
abm-019,crop-036,Chilli,ap-006,Chilli Powder Unit,"Chilli Processing, Grading & Powder-Making Unit",e9a9d72b-0c80-4932-b907-ffc466d58717,Food Processing & Preservation,Secondary Processing,ICAR-IISR; Spices Board of India,https://www.indianspices.com/,2026-07-24,74,VST-NEEDS_REVIEW,Direct one-to-one match with the Package004 chilli unit
abm-020,crop-039,Coriander,ap-012,Food Packaging Unit,Masala Powder Manufacturing Unit (Small Scale),e9a9d72b-0c80-4932-b907-ffc466d58717,Food Processing & Preservation,Secondary Processing,ICAR-IISR; Spices Board of India,https://www.indianspices.com/,2026-07-24,71,VST-NEEDS_REVIEW,Coriander is a bulk ingredient in blended masala manufacture
abm-021,crop-040,Cumin,ap-012,Food Packaging Unit,Masala Powder Manufacturing Unit (Small Scale),e9a9d72b-0c80-4932-b907-ffc466d58717,Food Processing & Preservation,Secondary Processing,ICAR-IISR; Spices Board of India,https://www.indianspices.com/,2026-07-24,70,VST-NEEDS_REVIEW,Cumin is a core blend ingredient in the same unit
abm-022,crop-041,Ginger,ap-016,Essential Oil Distillation Unit,PENDING_VERIFICATION,e9a9d72b-0c80-4932-b907-ffc466d58717,Food Processing & Preservation,Secondary Processing,National Medicinal Plants Board,https://nmpb.nic.in/,2026-07-24,63,VST-NEEDS_REVIEW,Ginger oil and oleoresin; no Package004 distillation counterpart
abm-023,crop-042,Ashwagandha,ap-016,Essential Oil Distillation Unit,PENDING_VERIFICATION,28856a79-9005-4630-92b2-17ace673fe72,Organic Farming,Secondary Processing,National Medicinal Plants Board,https://nmpb.nic.in/,2026-07-24,62,VST-NEEDS_REVIEW,"Ashwagandha is processed to root powder and extract, not distilled oil; unit is indicative"
abm-024,crop-043,Tulsi (Holy Basil),ap-016,Essential Oil Distillation Unit,PENDING_VERIFICATION,28856a79-9005-4630-92b2-17ace673fe72,Organic Farming,Secondary Processing,National Medicinal Plants Board,https://nmpb.nic.in/,2026-07-24,62,VST-NEEDS_REVIEW,Tulsi oil distillation; no Package004 counterpart
abm-025,crop-044,Coconut,ap-003,Cold-Pressed Oil Unit,Cold-Pressed Coconut Oil Unit,e9a9d72b-0c80-4932-b907-ffc466d58717,Food Processing & Preservation,Primary Processing,Ministry of Food Processing Industries (MoFPI),https://mofpi.gov.in/,2026-07-24,74,VST-NEEDS_REVIEW,Direct one-to-one match with the Package004 coconut oil unit
abm-026,crop-020,Cotton,ap-013,Animal Feed Unit,PENDING_VERIFICATION,6e1063d5-3c2e-4c49-a8c9-59aa381554a7,Modern Farming Techniques,By-Product Processing,Department of Animal Husbandry & Dairying,https://dahd.nic.in/,2026-07-24,64,VST-NEEDS_REVIEW,Cottonseed cake is a feed input; no Package004 feed counterpart
abm-027,crop-003,Maize,ap-013,Animal Feed Unit,PENDING_VERIFICATION,6e1063d5-3c2e-4c49-a8c9-59aa381554a7,Modern Farming Techniques,By-Product Processing,Department of Animal Husbandry & Dairying,https://dahd.nic.in/,2026-07-24,66,VST-NEEDS_REVIEW,Maize is the principal energy ingredient in compounded feed
abm-028,crop-001,Rice,ap-015,Vermicompost Unit,PENDING_VERIFICATION,28856a79-9005-4630-92b2-17ace673fe72,Organic Farming,Input Manufacturing,Ministry of Agriculture & Farmers Welfare,https://agricoop.gov.in/,2026-07-24,66,VST-NEEDS_REVIEW,Paddy straw is a major vermicompost feedstock; no Package004 counterpart
abm-029,crop-016,Sunflower,ap-001,Rice Mill,"Agricultural Seed Cleaning, Grading & Processing Unit",6b7f03f2-6f23-4fbb-9daf-b13d8b85d4b8,Precision Agriculture & IoT,Seed Processing,Ministry of Food Processing Industries (MoFPI),https://mofpi.gov.in/,2026-07-24,68,VST-NEEDS_REVIEW,Sunflower seed grading maps to the Package004 seed processing unit
abm-030,crop-045,Cashew,ap-012,Food Packaging Unit,PENDING_VERIFICATION,e9a9d72b-0c80-4932-b907-ffc466d58717,Food Processing & Preservation,Secondary Processing,Directorate of Cashewnut and Cocoa Development,https://dccd.gov.in/,2026-07-24,66,VST-NEEDS_REVIEW,Cashew shelling and grading; no Package004 counterpart in v1.0.0
