crop_id,crop_name,scientific_name,category_id,category_name,season,duration_days,water_requirement_mm,soil_type_preferred,rainfall_mm,temperature_min_c,temperature_max_c,avg_yield_tons_per_ha,major_states,major_districts,organic_possible,export_potential,processing_potential,mechanization_level,data_source,source_url,collection_date,confidence_score,verification_status,notes
crop-012,Urad (Black Gram),Vigna mungo,cc-003,Pulses,Kharif,85,400,Loamy,400,18,32,0.7,"Madhya Pradesh, Uttar Pradesh, Andhra Pradesh, Tamil Nadu","Guntur, Prakasam, Krishna",Yes,High,High,Low,ICAR-IIPR,https://icar.org.in/,2026-07-24,75,VST-NEEDS_REVIEW,Core input for idli/dosa batter processing
crop-013,Lentil,Lens culinaris,cc-003,Pulses,Rabi,110,280,Loamy,280,8,22,1.0,"Uttar Pradesh, Madhya Pradesh, Bihar",PENDING_VERIFICATION,Yes,High,Very High,High,ICAR-IIPR,https://icar.org.in/,2026-07-24,75,VST-NEEDS_REVIEW,Import-substitution priority pulse
crop-014,Groundnut,Arachis hypogaea,cc-004,Oil Seeds,Kharif,110,500,Sandy Loam,500,20,35,1.6,"Gujarat, Rajasthan, Andhra Pradesh, Karnataka","Anantapur, Kurnool, Chittoor",Yes,High,Very High,High,ICAR-IIOR,https://icar.org.in/,2026-07-24,77,VST-NEEDS_REVIEW,Anantapur is India's largest groundnut district by area
crop-015,Soybean,Glycine max,cc-004,Oil Seeds,Kharif,100,450,Black Soil,450,18,32,1.1,"Madhya Pradesh, Maharashtra, Rajasthan",PENDING_VERIFICATION,Yes,High,Very High,High,ICAR-IIOR,https://icar.org.in/,2026-07-24,76,VST-NEEDS_REVIEW,Oil plus de-oiled cake export value chain
crop-016,Sunflower,Helianthus annuus,cc-004,Oil Seeds,Rabi,100,400,Loamy,400,15,30,1.0,"Karnataka, Andhra Pradesh, Telangana, Maharashtra","Kurnool, Mahbubnagar, Nalgonda",Yes,Medium,Very High,High,ICAR-IIOR,https://icar.org.in/,2026-07-24,75,VST-NEEDS_REVIEW,Short duration; suits rabi irrigated systems
crop-017,Safflower,Carthamus tinctorius,cc-004,Oil Seeds,Rabi,120,300,Black Soil,300,10,25,0.7,"Maharashtra, Karnataka, Telangana","Nizamabad, Medak",Yes,Low,High,Medium,ICAR-IIOR,https://icar.org.in/,2026-07-24,71,VST-NEEDS_REVIEW,Residual-moisture rabi crop on deep black soils
crop-018,Mustard,Brassica juncea,cc-004,Oil Seeds,Rabi,120,350,Loamy,350,8,25,1.3,"Rajasthan, Haryana, Madhya Pradesh, Uttar Pradesh",PENDING_VERIFICATION,Yes,Medium,Very High,High,ICAR-IIOR,https://icar.org.in/,2026-07-24,75,VST-NEEDS_REVIEW,Cold-pressed mustard oil is a growing premium segment
crop-019,Sugarcane,Saccharum officinarum,cc-005,Commercial Crops,Annual,365,2000,Alluvial,2000,18,35,70,"Uttar Pradesh, Maharashtra, Karnataka, Telangana","Nizamabad, Medak, Bodhan belt, East Godavari",Partial,Medium,Very High,High,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,77,VST-NEEDS_REVIEW,Mill-linked; jaggery is the decentralised alternative
crop-020,Cotton,Gossypium hirsutum,cc-005,Commercial Crops,Kharif,180,700,Black Soil,700,20,35,0.5,"Gujarat, Maharashtra, Telangana, Andhra Pradesh","Adilabad, Warangal, Khammam, Guntur",Yes,High,Very High,Medium,ICAR-CICR,https://icar.org.in/,2026-07-24,77,VST-NEEDS_REVIEW,"Yield stated as lint tonnes per ha, not seed cotton"
crop-021,Tobacco,Nicotiana tabacum,cc-005,Commercial Crops,Rabi,150,500,Loamy,500,15,28,1.8,"Andhra Pradesh, Karnataka, Gujarat","Prakasam, West Godavari, Guntur",Limited,High,Medium,Low,Tobacco Board of India,https://tobaccoboard.gov.in/,2026-07-24,72,VST-NEEDS_REVIEW,Board-regulated auction system; declining policy support
crop-022,Jute,Corchorus olitorius,cc-005,Commercial Crops,Kharif,120,1500,Alluvial,1500,20,35,2.5,"West Bengal, Bihar, Assam",PENDING_VERIFICATION,Yes,Low,High,Low,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,70,VST-NEEDS_REVIEW,Eco-packaging demand is the main growth vector
crop-023,Tomato,Solanum lycopersicum,cc-006,Vegetables,Year Round,120,500,Loamy,500,18,30,25,"Madhya Pradesh, Andhra Pradesh, Karnataka, Telangana","Chittoor, Anantapur, Rangareddy, Medak",Yes,Medium,Very High,Medium,ICAR-IIVR,https://icar.org.in/,2026-07-24,76,VST-NEEDS_REVIEW,Extreme price volatility; processing absorbs gluts
crop-024,Potato,Solanum tuberosum,cc-006,Vegetables,Rabi,100,500,Sandy Loam,500,15,25,23,"Uttar Pradesh, West Bengal, Bihar, Gujarat",PENDING_VERIFICATION,Yes,Medium,Very High,High,ICAR-CPRI,https://icar.org.in/,2026-07-24,77,VST-NEEDS_REVIEW,Cold storage is integral to the value chain
crop-025,Onion,Allium cepa,cc-006,Vegetables,Rabi,120,400,Loamy,400,13,30,17,"Maharashtra, Karnataka, Madhya Pradesh, Andhra Pradesh","Kurnool, Mahbubnagar, Chittoor",Yes,High,High,Medium,ICAR-DOGR,https://icar.org.in/,2026-07-24,76,VST-NEEDS_REVIEW,Export policy changes drive sharp price swings
crop-026,Brinjal,Solanum melongena,cc-006,Vegetables,Year Round,120,450,Loamy,450,18,32,18,"West Bengal, Odisha, Gujarat, Andhra Pradesh","Guntur, Krishna, Rangareddy",Yes,Low,Medium,Low,ICAR-IIVR,https://icar.org.in/,2026-07-24,73,VST-NEEDS_REVIEW,Largely fresh-market; limited processing pull
crop-027,Okra (Lady Finger),Abelmoschus esculentus,cc-006,Vegetables,Kharif,90,450,Loamy,450,20,35,11,"West Bengal, Gujarat, Bihar, Andhra Pradesh","Guntur, Krishna, Rangareddy",Yes,Medium,Medium,Low,ICAR-IIVR,https://icar.org.in/,2026-07-24,73,VST-NEEDS_REVIEW,Frozen okra is a niche export line
crop-028,Cabbage,Brassica oleracea var. capitata,cc-006,Vegetables,Rabi,100,400,Loamy,400,12,24,24,"West Bengal, Odisha, Maharashtra, Telangana","Rangareddy, Medak, Sangareddy",Yes,Low,Medium,Low,ICAR-IIVR,https://icar.org.in/,2026-07-24,73,VST-NEEDS_REVIEW,Peri-urban belts supply city markets
crop-029,Mango,Mangifera indica,cc-007,Fruits,Perennial,PENDING_VERIFICATION,900,Alluvial,900,15,38,8,"Uttar Pradesh, Andhra Pradesh, Karnataka, Telangana","Krishna, Chittoor, Khammam, Nuzvid belt",Yes,Very High,Very High,Low,ICAR-IIHR,https://icar.org.in/,2026-07-24,77,VST-NEEDS_REVIEW,Duration not meaningful for a perennial; 4-5 year gestation
crop-030,Banana,Musa paradisiaca,cc-007,Fruits,Perennial,330,1800,Alluvial,1800,18,35,35,"Tamil Nadu, Maharashtra, Gujarat, Andhra Pradesh","Kadapa, Anantapur, East Godavari",Yes,Very High,High,Medium,ICAR-NRCB,https://icar.org.in/,2026-07-24,76,VST-NEEDS_REVIEW,Tissue-culture planting material now standard
crop-031,Citrus (Sweet Orange),Citrus sinensis,cc-007,Fruits,Perennial,PENDING_VERIFICATION,1000,Loamy,1000,13,35,12,"Maharashtra, Andhra Pradesh, Telangana, Punjab","Nalgonda, Kadapa, Anantapur",Yes,High,Very High,Low,ICAR-CCRI,https://icar.org.in/,2026-07-24,75,VST-NEEDS_REVIEW,Nalgonda sweet orange belt supplies juice processors
crop-032,Grapes,Vitis vinifera,cc-007,Fruits,Perennial,PENDING_VERIFICATION,800,Black Soil,800,15,35,22,"Maharashtra, Karnataka, Telangana, Andhra Pradesh","Rangareddy, Anantapur",Partial,Very High,High,Medium,ICAR-NRCG,https://icar.org.in/,2026-07-24,75,VST-NEEDS_REVIEW,Residue compliance is the binding export constraint
crop-033,Guava,Psidium guajava,cc-007,Fruits,Perennial,PENDING_VERIFICATION,800,Loamy,800,15,35,14,"Uttar Pradesh, Madhya Pradesh, Bihar, Andhra Pradesh","Anantapur, Krishna, Rangareddy",Yes,Medium,Very High,Low,ICAR-CISH,https://icar.org.in/,2026-07-24,73,VST-NEEDS_REVIEW,Hardy; strong pulp and beverage demand
crop-034,Pomegranate,Punica granatum,cc-007,Fruits,Perennial,PENDING_VERIFICATION,700,Loamy,700,15,38,12,"Maharashtra, Karnataka, Andhra Pradesh, Gujarat","Anantapur, Kurnool",Yes,Very High,High,Low,ICAR-NRCP,https://icar.org.in/,2026-07-24,73,VST-NEEDS_REVIEW,Bacterial blight is the principal production risk
crop-035,Turmeric,Curcuma longa,cc-008,Spices,Kharif,240,1500,Red Soil,1500,20,32,6.5,"Telangana, Andhra Pradesh, Tamil Nadu, Maharashtra","Nizamabad, Warangal, Duggirala belt, Guntur",Yes,Very High,Very High,Medium,ICAR-IISR; Spices Board of India,https://www.indianspices.com/,2026-07-24,77,VST-NEEDS_REVIEW,Yield is dry turmeric; Nizamabad is a benchmark market
crop-036,Chilli,Capsicum annuum,cc-008,Spices,Kharif,150,600,Black Soil,600,18,32,2.2,"Andhra Pradesh, Telangana, Karnataka, Madhya Pradesh","Guntur, Prakasam, Warangal, Khammam",Yes,Very High,Very High,Medium,ICAR-IISR; Spices Board of India,https://www.indianspices.com/,2026-07-24,77,VST-NEEDS_REVIEW,Guntur is Asia's largest chilli market yard
crop-037,Black Pepper,Piper nigrum,cc-008,Spices,Perennial,PENDING_VERIFICATION,2000,Laterite,2000,15,32,0.4,"Kerala, Karnataka, Tamil Nadu",PENDING_VERIFICATION,Yes,Very High,High,Low,ICAR-IISR; Spices Board of India,https://www.indianspices.com/,2026-07-24,74,VST-NEEDS_REVIEW,Vine crop; commonly intercropped in plantations
crop-038,Cardamom,Elettaria cardamomum,cc-008,Spices,Perennial,PENDING_VERIFICATION,2500,Laterite,2500,10,28,0.2,"Kerala, Karnataka, Tamil Nadu",PENDING_VERIFICATION,Yes,Very High,Medium,Low,ICAR-IISR; Spices Board of India,https://www.indianspices.com/,2026-07-24,72,VST-NEEDS_REVIEW,Highest unit-value spice; shade-grown
crop-039,Coriander,Coriandrum sativum,cc-008,Spices,Rabi,110,350,Black Soil,350,10,28,1.0,"Rajasthan, Madhya Pradesh, Gujarat, Andhra Pradesh","Kurnool, Guntur",Yes,High,High,Medium,ICAR-IISR; Spices Board of India,https://www.indianspices.com/,2026-07-24,73,VST-NEEDS_REVIEW,Dual market - seed spice and leafy coriander
crop-040,Cumin,Cuminum cyminum,cc-008,Spices,Rabi,110,300,Sandy Loam,300,10,30,0.7,"Gujarat, Rajasthan",PENDING_VERIFICATION,Yes,Very High,High,Medium,ICAR-IISR; Spices Board of India,https://www.indianspices.com/,2026-07-24,73,VST-NEEDS_REVIEW,India dominates global cumin trade
crop-041,Ginger,Zingiber officinale,cc-008,Spices,Kharif,240,1500,Loamy,1500,18,32,12,"Kerala, Assam, Odisha, Telangana","Adilabad, Nizamabad",Yes,High,Very High,Low,ICAR-IISR; Spices Board of India,https://www.indianspices.com/,2026-07-24,73,VST-NEEDS_REVIEW,Fresh-weight yield; dry ginger recovery ~20 percent
crop-042,Ashwagandha,Withania somnifera,cc-009,Medicinal Plants,Rabi,160,300,Sandy Loam,300,10,32,0.6,"Madhya Pradesh, Rajasthan, Gujarat",PENDING_VERIFICATION,Yes,Very High,Very High,Low,National Medicinal Plants Board,https://nmpb.nic.in/,2026-07-24,70,VST-NEEDS_REVIEW,Root yield; buy-back contracts common
crop-043,Tulsi (Holy Basil),Ocimum sanctum,cc-009,Medicinal Plants,Kharif,100,400,Loamy,400,18,35,PENDING_VERIFICATION,"Uttar Pradesh, Madhya Pradesh, Andhra Pradesh",PENDING_VERIFICATION,Yes,High,Very High,Low,National Medicinal Plants Board,https://nmpb.nic.in/,2026-07-24,66,VST-NEEDS_REVIEW,"Yield varies by product form (herb, seed, oil); left as sentinel"
crop-044,Coconut,Cocos nucifera,cc-010,Plantation Crops,Perennial,PENDING_VERIFICATION,1500,Sandy,1500,20,35,PENDING_VERIFICATION,"Kerala, Tamil Nadu, Karnataka, Andhra Pradesh","East Godavari, West Godavari, Srikakulam",Partial,Very High,Very High,Low,Coconut Development Board,https://coconutboard.gov.in/,2026-07-24,74,VST-NEEDS_REVIEW,"Yield is reported as nuts per palm per year, not tonnes/ha"
crop-045,Cashew,Anacardium occidentale,cc-010,Plantation Crops,Perennial,PENDING_VERIFICATION,1000,Laterite,1000,20,35,0.9,"Maharashtra, Andhra Pradesh, Odisha, Kerala","Srikakulam, Vizianagaram, East Godavari",Yes,Very High,Very High,Low,Directorate of Cashewnut and Cocoa Development,https://dccd.gov.in/,2026-07-24,73,VST-NEEDS_REVIEW,Raw nut yield; processing is highly labour-intensive
