mapping_id,crop_id,crop_name,soil_id,soil_name,suitability_score,suitability_level,data_source,source_url,collection_date,confidence_score,verification_status,notes
csm-033,crop-017,Safflower,st-001,Black Soil,90,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,71,VST-NEEDS_REVIEW,Residual-moisture crop; needs deep black soil
csm-034,crop-017,Safflower,st-002,Red Soil,62,Marginal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,68,VST-NEEDS_REVIEW,Shallow red soils give materially lower yield
csm-035,crop-018,Mustard,st-006,Loamy,88,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,75,VST-NEEDS_REVIEW,Standard rabi oilseed situation
csm-036,crop-018,Mustard,st-003,Alluvial,84,Suitable,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,74,VST-NEEDS_REVIEW,Northern alluvial belt
csm-037,crop-019,Sugarcane,st-003,Alluvial,94,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,77,VST-NEEDS_REVIEW,Deep alluvium with assured irrigation
csm-038,crop-019,Sugarcane,st-001,Black Soil,82,Suitable,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,75,VST-NEEDS_REVIEW,Grown on black soils with adequate irrigation
csm-039,crop-020,Cotton,st-001,Black Soil,93,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,77,VST-NEEDS_REVIEW,Black cotton soil is the definitive situation
csm-040,crop-020,Cotton,st-002,Red Soil,72,Suitable,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,74,VST-NEEDS_REVIEW,Rainfed red-soil cotton with lower yield
csm-041,crop-021,Tobacco,st-006,Loamy,86,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,72,VST-NEEDS_REVIEW,Light loam supports leaf quality
csm-042,crop-021,Tobacco,st-002,Red Soil,74,Suitable,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,70,VST-NEEDS_REVIEW,Southern light-soil tobacco tracts
csm-043,crop-022,Jute,st-003,Alluvial,92,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,70,VST-NEEDS_REVIEW,Lower Ganga alluvial floodplain
csm-044,crop-022,Jute,st-007,Clay,72,Suitable,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,68,VST-NEEDS_REVIEW,Tolerates heavy soils under high rainfall
csm-045,crop-023,Tomato,st-006,Loamy,90,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,76,VST-NEEDS_REVIEW,Free drainage is critical for root health
csm-046,crop-023,Tomato,st-002,Red Soil,76,Suitable,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,74,VST-NEEDS_REVIEW,Widely grown on red soils in the south
csm-047,crop-024,Potato,st-005,Sandy,90,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,77,VST-NEEDS_REVIEW,Loose light soils permit tuber expansion
csm-048,crop-024,Potato,st-006,Loamy,84,Suitable,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,76,VST-NEEDS_REVIEW,Sandy loam is the preferred texture
csm-049,crop-025,Onion,st-006,Loamy,88,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,76,VST-NEEDS_REVIEW,Well-drained loam for bulb development
csm-050,crop-025,Onion,st-002,Red Soil,76,Suitable,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,74,VST-NEEDS_REVIEW,Kurnool and Chittoor red-soil onion tracts
csm-051,crop-026,Brinjal,st-006,Loamy,86,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,73,VST-NEEDS_REVIEW,Long-duration vegetable on fertile loam
csm-052,crop-026,Brinjal,st-003,Alluvial,82,Suitable,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,72,VST-NEEDS_REVIEW,Alluvial vegetable belts
csm-053,crop-027,Okra (Lady Finger),st-006,Loamy,86,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,73,VST-NEEDS_REVIEW,Standard kharif vegetable situation
csm-054,crop-027,Okra (Lady Finger),st-003,Alluvial,80,Suitable,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,72,VST-NEEDS_REVIEW,Alluvial peri-urban belts
csm-055,crop-028,Cabbage,st-006,Loamy,87,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,73,VST-NEEDS_REVIEW,Cool-season crop on fertile loam
csm-056,crop-028,Cabbage,st-003,Alluvial,80,Suitable,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,72,VST-NEEDS_REVIEW,Alluvial vegetable belts
csm-057,crop-029,Mango,st-003,Alluvial,88,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,77,VST-NEEDS_REVIEW,Deep well-drained alluvium for orchard establishment
csm-058,crop-029,Mango,st-002,Red Soil,80,Suitable,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,75,VST-NEEDS_REVIEW,Krishna and Chittoor red-soil mango belts
csm-059,crop-030,Banana,st-003,Alluvial,92,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,76,VST-NEEDS_REVIEW,Deep fertile alluvium with high water availability
csm-060,crop-030,Banana,st-006,Loamy,82,Suitable,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,74,VST-NEEDS_REVIEW,Requires assured irrigation and drainage
csm-061,crop-031,Citrus (Sweet Orange),st-006,Loamy,88,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,75,VST-NEEDS_REVIEW,Deep well-drained soil; citrus is drainage-sensitive
csm-062,crop-031,Citrus (Sweet Orange),st-002,Red Soil,78,Suitable,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,74,VST-NEEDS_REVIEW,Nalgonda sweet orange tract
csm-063,crop-032,Grapes,st-001,Black Soil,86,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,75,VST-NEEDS_REVIEW,Deccan black-soil vineyards
csm-064,crop-032,Grapes,st-006,Loamy,82,Suitable,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,74,VST-NEEDS_REVIEW,Well-drained loam with trellis systems
csm-065,crop-033,Guava,st-006,Loamy,86,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,73,VST-NEEDS_REVIEW,Hardy; tolerates a wide texture range
csm-066,crop-033,Guava,st-002,Red Soil,80,Suitable,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,72,VST-NEEDS_REVIEW,Common on red soils across the south
csm-067,crop-034,Pomegranate,st-006,Loamy,86,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,73,VST-NEEDS_REVIEW,Free drainage reduces bacterial blight pressure
csm-068,crop-034,Pomegranate,st-005,Sandy,78,Suitable,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,72,VST-NEEDS_REVIEW,Light soils in the arid and semi-arid belt
csm-069,crop-035,Turmeric,st-002,Red Soil,90,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,77,VST-NEEDS_REVIEW,Nizamabad and Duggirala red-soil turmeric tracts
csm-070,crop-035,Turmeric,st-006,Loamy,84,Suitable,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,76,VST-NEEDS_REVIEW,Rich well-drained loam for rhizome development
csm-071,crop-036,Chilli,st-001,Black Soil,90,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,77,VST-NEEDS_REVIEW,Guntur black-soil chilli belt
csm-072,crop-036,Chilli,st-002,Red Soil,78,Suitable,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,75,VST-NEEDS_REVIEW,Rainfed red-soil chilli in Telangana
csm-073,crop-037,Black Pepper,st-004,Laterite,90,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,74,VST-NEEDS_REVIEW,Lateritic Western Ghats plantation soils
csm-074,crop-037,Black Pepper,st-002,Red Soil,76,Suitable,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,72,VST-NEEDS_REVIEW,Grown on red soils in transitional tracts
csm-075,crop-038,Cardamom,st-004,Laterite,88,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,72,VST-NEEDS_REVIEW,Shade-grown on lateritic hill soils
csm-076,crop-038,Cardamom,st-009,Acidic,76,Suitable,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,70,VST-NEEDS_REVIEW,Tolerates the acidity typical of its habitat
csm-077,crop-039,Coriander,st-001,Black Soil,86,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,73,VST-NEEDS_REVIEW,Rabi seed-spice crop on black soils
csm-078,crop-039,Coriander,st-006,Loamy,82,Suitable,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,72,VST-NEEDS_REVIEW,Loam suits leafy coriander production
csm-079,crop-040,Cumin,st-005,Sandy,88,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,73,VST-NEEDS_REVIEW,Light sandy loam of the arid rabi belt
csm-080,crop-040,Cumin,st-006,Loamy,76,Suitable,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,71,VST-NEEDS_REVIEW,Requires very good drainage
csm-081,crop-041,Ginger,st-006,Loamy,88,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,73,VST-NEEDS_REVIEW,Rich friable loam for rhizome expansion
csm-082,crop-041,Ginger,st-004,Laterite,76,Suitable,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,71,VST-NEEDS_REVIEW,Lateritic tracts of Kerala and the Northeast
csm-083,crop-042,Ashwagandha,st-005,Sandy,88,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,70,VST-NEEDS_REVIEW,Light dry soils suit root development
csm-084,crop-042,Ashwagandha,st-002,Red Soil,74,Suitable,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,68,VST-NEEDS_REVIEW,Grown on red soils under rainfed conditions
csm-085,crop-043,Tulsi (Holy Basil),st-006,Loamy,86,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,66,VST-NEEDS_REVIEW,General-purpose loam; widely adaptable
csm-086,crop-043,Tulsi (Holy Basil),st-002,Red Soil,76,Suitable,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,65,VST-NEEDS_REVIEW,Adaptable to red soils
csm-087,crop-044,Coconut,st-005,Sandy,90,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,74,VST-NEEDS_REVIEW,Coastal sandy soils are the classic situation
csm-088,crop-044,Coconut,st-003,Alluvial,82,Suitable,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,73,VST-NEEDS_REVIEW,Coastal deltaic alluvium of the Godavari belt
csm-089,crop-045,Cashew,st-004,Laterite,88,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,73,VST-NEEDS_REVIEW,Lateritic coastal uplands
csm-090,crop-045,Cashew,st-002,Red Soil,78,Suitable,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,72,VST-NEEDS_REVIEW,Srikakulam and Vizianagaram red-soil tracts
