global_entity_id,entity_type,canonical_name,source_package,package_local_id,status,lifecycle_state,created_at,updated_at,confidence_score,verification_status
vw:businessopportunity:instagram-youtube-creator-commerce-and-affiliate-selling,BusinessOpportunity,Instagram / YouTube Creator Commerce & Affiliate Selling,Package004_Industries,234b7d54-41a3-483f-8caa-b8d4eba619cc,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,70,VST-NEEDS_REVIEW
vw:businessopportunity:instagram-live-selling-youtube-live-shopping-meesho-live,BusinessOpportunity,Instagram Live Selling / YouTube Live Shopping / Meesho Live,Package004_Industries,2b0b183c-e92b-4e14-8d73-408742f351d7,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,76,VST-NEEDS_REVIEW
vw:businessopportunity:instagram-shopping-whatsapp-business-meesho-flipkart-amazon-seller-social-and-ma,BusinessOpportunity,Instagram Shopping / WhatsApp Business / Meesho / Flipkart / Amazon Seller Social & Marketplace Commerce,Package004_Industries,1eaf952f-71e4-4e54-94d9-3ca729f7a52d,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,85,VST-NEEDS_REVIEW
vw:businessopportunity:masala-powder-manufacturing-unit-medium-scale,BusinessOpportunity,Masala Powder Manufacturing Unit (Medium Scale),Package004_Industries,529d22fa-138a-4f27-8ecd-e0b390afdadc,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,83,VST-NEEDS_REVIEW
vw:businessopportunity:masala-powder-manufacturing-unit-small-scale,BusinessOpportunity,Masala Powder Manufacturing Unit (Small Scale),Package004_Industries,d6969e3f-af59-44f5-b9a3-9e269e45ee4b,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,83,VST-NEEDS_REVIEW
vw:businessopportunity:mobile-app-development,BusinessOpportunity,Mobile App Development,Package004_Industries,DTL005,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,78,VST-NEEDS_REVIEW
vw:businessopportunity:pop-works-false-ceiling-installation,BusinessOpportunity,POP Works / False Ceiling Installation,Package004_Industries,31eb58fe-0354-48af-b831-0f420faba84c,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,78,VST-NEEDS_REVIEW
vw:businessopportunity:painting-services,BusinessOpportunity,Painting Services,Package004_Industries,ea964574-8321-4564-8c20-048aa05f9e33,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,76,VST-NEEDS_REVIEW
vw:businessopportunity:plumbing-services,BusinessOpportunity,Plumbing Services,Package004_Industries,7b65d13e-2c52-4e43-9735-4423596e5562,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,74,VST-NEEDS_REVIEW
vw:businessopportunity:rural-it-enabled-service-center-bpo-kpo-operator,BusinessOpportunity,Rural IT-Enabled Service Center / BPO-KPO Operator,Package004_Industries,DTL012,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,74,VST-NEEDS_REVIEW
vw:businessopportunity:seo-and-content-marketing-consulting,BusinessOpportunity,SEO & Content Marketing Consulting,Package004_Industries,DTL008,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,71,VST-NEEDS_REVIEW
vw:businessopportunity:small-it-services-firm-software-development-startup,BusinessOpportunity,Small IT Services Firm / Software Development Startup,Package004_Industries,DTL002,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,82,VST-NEEDS_REVIEW
vw:businessopportunity:small-scale-flour-atta-milling-unit,BusinessOpportunity,Small-Scale Flour/Atta Milling Unit,Package004_Industries,c73efe76-0b1f-442f-aa71-3e80151eed23,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,73,VST-NEEDS_REVIEW
vw:businessopportunity:small-scale-millet-processing-unit,BusinessOpportunity,Small-Scale Millet Processing Unit,Package004_Industries,f9e0a76d-4cae-4d96-8a05-dd2ba5414372,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,73,VST-NEEDS_REVIEW
vw:businessopportunity:small-scale-multi-product-food-processing-unit,BusinessOpportunity,Small-Scale Multi-Product Food Processing Unit,Package004_Industries,4610e10b-9613-4bf1-84e8-c384aeb2b28a,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,55,VST-NEEDS_REVIEW
vw:businessopportunity:social-media-management,BusinessOpportunity,Social Media Management,Package004_Industries,DTL007,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,70,VST-NEEDS_REVIEW
vw:businessopportunity:submersible-pump-installation-and-repair,BusinessOpportunity,Submersible Pump Installation & Repair,Package004_Industries,51d5d291-546f-4873-bd38-85215c0ab7bf,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,64,VST-NEEDS_REVIEW
vw:businessopportunity:telangana-homestays-andhra-pradesh-heritage-and-coastal-homestays,BusinessOpportunity,Telangana Homestays / Andhra Pradesh Heritage & Coastal Homestays,Package004_Industries,af872c6c-dfb4-423a-aaaf-b7cb1f0e6226,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,85,VST-NEEDS_REVIEW
vw:businessopportunity:tiles-fixing-tile-mason,BusinessOpportunity,Tiles Fixing (Tile Mason),Package004_Industries,7fed9ccb-fec1-4d67-b4f9-f4f467dc60aa,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,78,VST-NEEDS_REVIEW
vw:businessopportunity:turmeric-processing-and-powder-making-unit,BusinessOpportunity,Turmeric Processing & Powder-Making Unit,Package004_Industries,78a4f890-744c-4711-8e00-820942e61569,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,66,VST-NEEDS_REVIEW
vw:businessopportunity:web-development-agency-small-firm,BusinessOpportunity,Web Development Agency (Small Firm),Package004_Industries,DTL004,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,77,VST-NEEDS_REVIEW
vw:businessopportunity:welding-and-metal-fabrication,BusinessOpportunity,Welding & Metal Fabrication,Package004_Industries,7d86d50a-9e93-488e-bf9b-c7e2ce6e480e,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,74,VST-NEEDS_REVIEW
vw:businessopportunity:whatsapp-business-automation-digital-catalog-and-storefront-apps,BusinessOpportunity,WhatsApp Business Automation / Digital Catalog & Storefront Apps,Package004_Industries,d660ac4c-7f3f-4ee2-ac5e-86c5fc2471ca,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,74,VST-NEEDS_REVIEW
vw:businessopportunity:whatsapp-group-buying-bulk-order-community-groups,BusinessOpportunity,WhatsApp Group Buying / Bulk-Order Community Groups,Package004_Industries,4330a7dd-3234-4877-b7b5-da2ffc7e95dc,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,63,VST-NEEDS_REVIEW
vw:certification:abb-robotics-customer-certification-basic-robot-programming-irc5,Certification,ABB Robotics Customer Certification - Basic Robot Programming (IRC5),Package006_Skills_and_Training,b5a170b9-015d-4ec5-ad4e-ab0487f1bc9f,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,50,VST-NEEDS_REVIEW
vw:certification:aws-certified-cloud-practitioner,Certification,AWS Certified Cloud Practitioner,Package006_Skills_and_Training,6c103e18-130e-48a1-b668-58bd24ffb7fe,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,56,VST-NEEDS_REVIEW
vw:certification:andhra-pradesh-state-skill-development-corporation-apssdc-certification,Certification,Andhra Pradesh State Skill Development Corporation (APSSDC) Certification,Package006_Skills_and_Training,99315970-e032-4806-bbe7-859cff683a67,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,58,VST-NEEDS_REVIEW
vw:certification:autodesk-certified-user-acu-autocad,Certification,Autodesk Certified User (ACU) - AutoCAD,Package006_Skills_and_Training,04b53fd1-342f-4d05-92c7-f8c2d80bc61c,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,62,VST-NEEDS_REVIEW
vw:certification:automotive-service-technician-two-and-three-wheelers-asc-q1411,Certification,Automotive Service Technician (Two and Three Wheelers) - ASC/Q1411,Package006_Skills_and_Training,6ba3c520-060b-41fa-9c35-b54f4df40ae0,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,74,VST-NEEDS_REVIEW
vw:certification:cnc-operator-turning-csc-q0115,Certification,CNC Operator - Turning - CSC/Q0115,Package006_Skills_and_Training,7f3cf0a7-0220-4a4b-966c-1f31a34a797c,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,74,VST-NEEDS_REVIEW
vw:certification:cisco-certified-network-associate-ccna,Certification,Cisco Certified Network Associate (CCNA),Package006_Skills_and_Training,7928ddbf-d483-481b-ab02-c797ea33f2d2,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,58,VST-NEEDS_REVIEW
vw:certification:course-on-computer-concepts-ccc,Certification,Course on Computer Concepts (CCC),Package006_Skills_and_Training,f3ddf13d-8b55-4481-b163-313fb250dff1,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,74,VST-NEEDS_REVIEW
vw:certification:domestic-data-entry-operator-ssc-q2212,Certification,Domestic Data Entry Operator - SSC/Q2212,Package006_Skills_and_Training,b5201694-37b0-4961-865c-023e2fef006b,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,74,VST-NEEDS_REVIEW
vw:certification:fanuc-certified-robot-operator-fanuc-india-academy-training-certificate,Certification,FANUC Certified Robot Operator / FANUC India Academy Training Certificate,Package006_Skills_and_Training,3856f940-07ed-4ce9-8261-8c2baa360a8c,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,52,VST-NEEDS_REVIEW
vw:certification:field-technician-computing-and-peripherals-ele-q4601,Certification,Field Technician - Computing & Peripherals - ELE/Q4601,Package006_Skills_and_Training,6337652f-6862-4478-8479-18097f737347,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,75,VST-NEEDS_REVIEW
vw:certification:general-duty-assistant-gda-hss-q5101,Certification,General Duty Assistant (GDA) - HSS/Q5101,Package006_Skills_and_Training,01fce423-4acc-4776-932d-05071d2cdf24,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,74,VST-NEEDS_REVIEW
vw:certification:google-digital-garage-fundamentals-of-digital-marketing,Certification,Google Digital Garage - Fundamentals of Digital Marketing,Package006_Skills_and_Training,be5aff6f-d8ed-4b75-af96-5a0795951ce6,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,65,VST-NEEDS_REVIEW
vw:certification:google-it-support-professional-certificate,Certification,Google IT Support Professional Certificate,Package006_Skills_and_Training,af85073a-4250-4b43-acff-7d39132b0971,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,62,VST-NEEDS_REVIEW
vw:certification:microsoft-certified-azure-fundamentals-az-900,Certification,Microsoft Certified: Azure Fundamentals (AZ-900),Package006_Skills_and_Training,d6f12c47-638b-4882-9bac-e5cec6b1ce1b,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,58,VST-NEEDS_REVIEW
vw:certification:microsoft-office-specialist-mos,Certification,Microsoft Office Specialist (MOS),Package006_Skills_and_Training,cabcde99-f0ff-4a2e-9fc9-7bb41f999ad7,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,55,VST-NEEDS_REVIEW
vw:certification:nielit-a-level-advanced-diploma-in-it,Certification,NIELIT 'A' Level (Advanced Diploma in IT),Package006_Skills_and_Training,2d6f2f18-4c3e-4481-8ee3-162639f611b6,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,76,VST-NEEDS_REVIEW
vw:certification:nielit-o-level-foundation-course-in-it,Certification,NIELIT 'O' Level (Foundation Course in IT),Package006_Skills_and_Training,30a9dd82-2b36-4cf9-ab2d-6e19d4b0e80b,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,72,VST-NEEDS_REVIEW
vw:certification:nptel-certification-course-completion-proctored-exam,Certification,NPTEL Certification (Course Completion + Proctored Exam),Package006_Skills_and_Training,71fedc94-806d-41e7-b8ee-4581857b6068,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,76,VST-NEEDS_REVIEW
vw:certification:pmkvy-short-term-training-stt-skill-certificate,Certification,PMKVY Short-Term Training (STT) Skill Certificate,Package006_Skills_and_Training,793739d9-5020-470b-a4a9-612aa42cec07,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,78,VST-NEEDS_REVIEW
vw:certification:recognition-of-prior-learning-rpl-certification-ncvet-regulated,Certification,Recognition of Prior Learning (RPL) Certification (NCVET-Regulated),Package006_Skills_and_Training,182f9a8d-758a-4e6e-8c28-b44442d24331,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,76,VST-NEEDS_REVIEW
vw:certification:red-hat-certified-system-administrator-rhcsa-via-nsdc-red-hat-skill-india-partne,Certification,Red Hat Certified System Administrator (RHCSA) via NSDC-Red Hat Skill India Partnership,Package006_Skills_and_Training,815482fa-30cc-4462-86a1-4bf4e1226c46,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,58,VST-NEEDS_REVIEW
vw:certification:swayam-certification-course-completion-proctored-exam,Certification,SWAYAM Certification (Course Completion + Proctored Exam),Package006_Skills_and_Training,f9da5f02-69c6-4fb1-bfb1-f9652cac4857,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,74,VST-NEEDS_REVIEW
vw:certification:schneider-electric-ecoxpert-partner-certification,Certification,Schneider Electric EcoXpert Partner Certification,Package006_Skills_and_Training,0a48483a-0ca9-4eba-b9ff-d9ccb6f11eaa,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,56,VST-NEEDS_REVIEW
vw:certification:siemens-mechatronic-systems-certification-program-smscp-level-1-assistant,Certification,Siemens Mechatronic Systems Certification Program (SMSCP) - Level 1 Assistant,Package006_Skills_and_Training,b5abe4ed-0a38-42cc-90ce-3d725b7ba0d0,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,58,VST-NEEDS_REVIEW
vw:certification:skill-india-certificate-nsdc-affiliated-qualification-pack-certification,Certification,Skill India Certificate (NSDC-Affiliated Qualification Pack Certification),Package006_Skills_and_Training,d9a71141-d74a-4bca-8092-53f32af09bad,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,72,VST-NEEDS_REVIEW
vw:certification:spoken-tutorial-foss-certification-iit-bombay,Certification,Spoken Tutorial FOSS Certification (IIT Bombay),Package006_Skills_and_Training,14685d86-bbd1-4906-ba19-5c931bdb1a70,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,66,VST-NEEDS_REVIEW
vw:certification:tally-certification-tally-prime-tally-erp9,Certification,Tally Certification (Tally Prime / Tally.ERP9),Package006_Skills_and_Training,5b76bf3a-7174-4c32-8fee-f61a04fd72e4,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,58,VST-NEEDS_REVIEW
vw:certification:telangana-academy-for-skill-and-knowledge-task-certification-program,Certification,Telangana Academy for Skill and Knowledge (TASK) Certification Program,Package006_Skills_and_Training,adda302c-f835-4e52-aa22-5f0c169dc568,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,58,VST-NEEDS_REVIEW
vw:certification:trainee-beautician-bws-q0108,Certification,Trainee Beautician - BWS/Q0108,Package006_Skills_and_Training,90779554-c2f6-4b33-af6d-c537053f62b6,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,64,VST-NEEDS_REVIEW
vw:climatezone:arid,ClimateZone,Arid,Package005_Agriculture,cz-004,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,74,VST-NEEDS_REVIEW
vw:climatezone:dry,ClimateZone,Dry,Package005_Agriculture,cz-006,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,74,VST-NEEDS_REVIEW
vw:climatezone:highland,ClimateZone,Highland,Package005_Agriculture,cz-008,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,72,VST-NEEDS_REVIEW
vw:climatezone:semi-arid,ClimateZone,Semi-arid,Package005_Agriculture,cz-005,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,75,VST-NEEDS_REVIEW
vw:climatezone:sub-tropical,ClimateZone,Sub-tropical,Package005_Agriculture,cz-002,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,76,VST-NEEDS_REVIEW
vw:climatezone:temperate,ClimateZone,Temperate,Package005_Agriculture,cz-003,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,75,VST-NEEDS_REVIEW
vw:climatezone:tropical,ClimateZone,Tropical,Package005_Agriculture,cz-001,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,77,VST-NEEDS_REVIEW
vw:climatezone:wet,ClimateZone,Wet,Package005_Agriculture,cz-007,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,76,VST-NEEDS_REVIEW
vw:country:india,Country,India,Package001_Geography,n/a,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,85,VST-NEEDS_REVIEW
vw:crop:ashwagandha,Crop,Ashwagandha,Package005_Agriculture,crop-042,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,70,VST-NEEDS_REVIEW
vw:crop:banana,Crop,Banana,Package005_Agriculture,crop-030,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,76,VST-NEEDS_REVIEW
vw:crop:barley,Crop,Barley,Package005_Agriculture,crop-004,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,73,VST-NEEDS_REVIEW
vw:crop:black-pepper,Crop,Black Pepper,Package005_Agriculture,crop-037,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,74,VST-NEEDS_REVIEW
vw:crop:brinjal,Crop,Brinjal,Package005_Agriculture,crop-026,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,73,VST-NEEDS_REVIEW
vw:crop:cabbage,Crop,Cabbage,Package005_Agriculture,crop-028,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,73,VST-NEEDS_REVIEW
vw:crop:cardamom,Crop,Cardamom,Package005_Agriculture,crop-038,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,72,VST-NEEDS_REVIEW
vw:crop:cashew,Crop,Cashew,Package005_Agriculture,crop-045,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,73,VST-NEEDS_REVIEW
vw:crop:chickpea,Crop,Chickpea,Package005_Agriculture,crop-009,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,77,VST-NEEDS_REVIEW
vw:crop:chilli,Crop,Chilli,Package005_Agriculture,crop-036,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,77,VST-NEEDS_REVIEW
vw:crop:citrus-sweet-orange,Crop,Citrus (Sweet Orange),Package005_Agriculture,crop-031,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,75,VST-NEEDS_REVIEW
vw:crop:coconut,Crop,Coconut,Package005_Agriculture,crop-044,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,74,VST-NEEDS_REVIEW
vw:crop:coriander,Crop,Coriander,Package005_Agriculture,crop-039,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,73,VST-NEEDS_REVIEW
vw:crop:cotton,Crop,Cotton,Package005_Agriculture,crop-020,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,77,VST-NEEDS_REVIEW
vw:crop:cumin,Crop,Cumin,Package005_Agriculture,crop-040,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,73,VST-NEEDS_REVIEW
vw:crop:finger-millet,Crop,Finger Millet,Package005_Agriculture,crop-007,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,74,VST-NEEDS_REVIEW
vw:crop:foxtail-millet,Crop,Foxtail Millet,Package005_Agriculture,crop-008,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,70,VST-NEEDS_REVIEW
vw:crop:ginger,Crop,Ginger,Package005_Agriculture,crop-041,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,73,VST-NEEDS_REVIEW
vw:crop:grapes,Crop,Grapes,Package005_Agriculture,crop-032,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,75,VST-NEEDS_REVIEW
vw:crop:groundnut,Crop,Groundnut,Package005_Agriculture,crop-014,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,77,VST-NEEDS_REVIEW
vw:crop:guava,Crop,Guava,Package005_Agriculture,crop-033,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,73,VST-NEEDS_REVIEW
vw:crop:jute,Crop,Jute,Package005_Agriculture,crop-022,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,70,VST-NEEDS_REVIEW
vw:crop:lentil,Crop,Lentil,Package005_Agriculture,crop-013,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,75,VST-NEEDS_REVIEW
vw:crop:maize,Crop,Maize,Package005_Agriculture,crop-003,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,77,VST-NEEDS_REVIEW
vw:crop:mango,Crop,Mango,Package005_Agriculture,crop-029,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,77,VST-NEEDS_REVIEW
vw:crop:moong-green-gram,Crop,Moong (Green Gram),Package005_Agriculture,crop-011,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,75,VST-NEEDS_REVIEW
vw:crop:mustard,Crop,Mustard,Package005_Agriculture,crop-018,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,75,VST-NEEDS_REVIEW
vw:crop:okra-lady-finger,Crop,Okra (Lady Finger),Package005_Agriculture,crop-027,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,73,VST-NEEDS_REVIEW
vw:crop:onion,Crop,Onion,Package005_Agriculture,crop-025,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,76,VST-NEEDS_REVIEW
vw:crop:pearl-millet,Crop,Pearl Millet,Package005_Agriculture,crop-005,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,76,VST-NEEDS_REVIEW
vw:crop:pigeon-pea,Crop,Pigeon Pea,Package005_Agriculture,crop-010,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,76,VST-NEEDS_REVIEW
vw:crop:pomegranate,Crop,Pomegranate,Package005_Agriculture,crop-034,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,73,VST-NEEDS_REVIEW
vw:crop:potato,Crop,Potato,Package005_Agriculture,crop-024,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,77,VST-NEEDS_REVIEW
