step_id,scheme_id,scheme_short_name,step_number,step_name,step_description,channel,responsible_actor,typical_timeline,output_of_step,data_source,source_url,collection_date,confidence_score,verification_status,notes
step-017,sch-025,NMMSS,2,NSP registration,Selected student registers on the National Scholarship Portal,Online,Student or parent,PENDING_VERIFICATION,Application reference number,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Timelines are the bare sentinel where no statutory or published service-standard period was found
step-018,sch-025,NMMSS,3,Institution verification,School verifies enrolment and the student's details,Online,School (institute nodal officer),PENDING_VERIFICATION,Application verified at level 1,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Timelines are the bare sentinel where no statutory or published service-standard period was found
step-019,sch-025,NMMSS,4,District and state verification,District and state nodal officers verify in sequence,Online,District / state nodal officer,PENDING_VERIFICATION,Application forwarded to ministry,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,Timelines are the bare sentinel where no statutory or published service-standard period was found
step-020,sch-025,NMMSS,5,Scholarship disbursal,Scholarship credited by direct benefit transfer,Online,Ministry of Education (PFMS),Annual,Amount credited to student account,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Timelines are the bare sentinel where no statutory or published service-standard period was found
step-021,sch-025,NMMSS,6,Annual renewal,Student renews on NSP subject to prescribed academic performance,Online,Student,Annual,Renewal approved,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Timelines are the bare sentinel where no statutory or published service-standard period was found
step-022,sch-031,AB PM-JAY,1,Eligibility check,Beneficiary checks eligibility on the portal or at a facility,Online,Beneficiary or Ayushman Mitra,PENDING_VERIFICATION,Eligibility confirmed,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Timelines are the bare sentinel where no statutory or published service-standard period was found
step-023,sch-031,AB PM-JAY,2,Ayushman card generation,Card generated after Aadhaar-based identity verification,CSC / MeeSeva,Ayushman Mitra / CSC operator,PENDING_VERIFICATION,Ayushman card issued,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Timelines are the bare sentinel where no statutory or published service-standard period was found
step-024,sch-031,AB PM-JAY,3,Hospital admission,Beneficiary presents the card at an empanelled hospital,Offline,Empanelled hospital; Ayushman Mitra,PENDING_VERIFICATION,Case registered under the scheme,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Timelines are the bare sentinel where no statutory or published service-standard period was found
step-025,sch-031,AB PM-JAY,4,Pre-authorisation,Hospital seeks pre-authorisation for the treatment package,Online,Hospital; State Health Agency,PENDING_VERIFICATION,Pre-authorisation approved,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,Timelines are the bare sentinel where no statutory or published service-standard period was found
step-026,sch-031,AB PM-JAY,5,Cashless treatment,Treatment provided with no payment at the point of care,Offline,Empanelled hospital,PENDING_VERIFICATION,Treatment completed,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Timelines are the bare sentinel where no statutory or published service-standard period was found
step-027,sch-031,AB PM-JAY,6,Claim settlement,Hospital claim settled by the State Health Agency,Online,State Health Agency,PENDING_VERIFICATION,Payment released to hospital,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Timelines are the bare sentinel where no statutory or published service-standard period was found
step-028,sch-034,MGNREGS,1,Job card application,Household applies to the Gram Panchayat for a job card,Offline,Household,PENDING_VERIFICATION,Job card issued,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Timelines are the bare sentinel where no statutory or published service-standard period was found
step-029,sch-034,MGNREGS,2,Work demand,Adult member submits a written demand for work,Offline,Worker,PENDING_VERIFICATION,Dated receipt of demand issued,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Timelines are the bare sentinel where no statutory or published service-standard period was found
step-030,sch-034,MGNREGS,3,Work allocation,"Panchayat allocates work, statutorily within a prescribed period",Offline,Gram Panchayat,PENDING_VERIFICATION,Muster roll opened,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Timelines are the bare sentinel where no statutory or published service-standard period was found
step-031,sch-034,MGNREGS,4,Attendance and measurement,Attendance recorded and work measured for wage computation,Offline,Mate; technical assistant,PENDING_VERIFICATION,Measurement book entry,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Timelines are the bare sentinel where no statutory or published service-standard period was found
step-032,sch-034,MGNREGS,5,Wage payment,Wages paid to the worker's account by direct benefit transfer,Online,Programme officer (NREGASoft / PFMS),Within the statutory period,Wages credited,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Timelines are the bare sentinel where no statutory or published service-standard period was found
step-033,sch-021,PMKVY 4.0,1,Candidate registration,Candidate registers on Skill India Digital and selects a job role,Online,Candidate,PENDING_VERIFICATION,Candidate profile created,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Timelines are the bare sentinel where no statutory or published service-standard period was found
step-034,sch-021,PMKVY 4.0,2,Training centre enrolment,Candidate enrols in a batch at an empanelled training centre,Offline,Training centre,PENDING_VERIFICATION,Batch enrolment confirmed,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Timelines are the bare sentinel where no statutory or published service-standard period was found
step-035,sch-021,PMKVY 4.0,3,Training delivery,NSQF-aligned training delivered per the Qualification Pack,Offline,Training partner,PENDING_VERIFICATION,Training hours completed,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Timelines are the bare sentinel where no statutory or published service-standard period was found
step-036,sch-021,PMKVY 4.0,4,Assessment,Third-party assessment conducted by the Sector Skill Council,Offline,Sector Skill Council assessor,PENDING_VERIFICATION,Assessment result recorded,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Timelines are the bare sentinel where no statutory or published service-standard period was found
step-037,sch-021,PMKVY 4.0,5,Certification,NCVET-recognised certificate issued on passing,Online,NSDC / Sector Skill Council,PENDING_VERIFICATION,Digital certificate issued,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Timelines are the bare sentinel where no statutory or published service-standard period was found
step-038,sch-021,PMKVY 4.0,6,Placement assistance,Training partner provides placement linkage support,Offline,Training partner,PENDING_VERIFICATION,Placement offer (not guaranteed),MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,Timelines are the bare sentinel where no statutory or published service-standard period was found
step-039,sch-036,PMAY-G,1,Beneficiary identification,Household identified from the permanent wait list and verified,Offline,Gram Panchayat; block office,PENDING_VERIFICATION,Name in the sanctioned list,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Timelines are the bare sentinel where no statutory or published service-standard period was found
step-040,sch-036,PMAY-G,2,Gram Sabha validation,Gram Sabha validates the list publicly,Offline,Gram Sabha,PENDING_VERIFICATION,List validated,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,Timelines are the bare sentinel where no statutory or published service-standard period was found
step-041,sch-036,PMAY-G,3,Sanction and first instalment,Sanction issued and first instalment released,Online,District Rural Development Agency,PENDING_VERIFICATION,First instalment credited,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Timelines are the bare sentinel where no statutory or published service-standard period was found
step-042,sch-036,PMAY-G,4,Milestone inspection,Construction progress geo-tagged and inspected per stage,Offline,Block technical staff,PENDING_VERIFICATION,Milestone certified,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Timelines are the bare sentinel where no statutory or published service-standard period was found
step-043,sch-036,PMAY-G,5,Subsequent instalments,Remaining instalments released against certified milestones,Online,DRDA (AwaasSoft / PFMS),PENDING_VERIFICATION,House completed,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,Timelines are the bare sentinel where no statutory or published service-standard period was found
