recommendation_id,profile_code,profile_description,profile_attributes,scheme_id,scheme_short_name,priority_score,priority_rank,recommendation_basis,suggested_next_scheme_id,related_scheme_ids,future_opportunity,data_source,source_url,collection_date,confidence_score,verification_status,notes
rec-013,PROF-FARMER-ORGANIC,Farmer in a cluster converting to organic turmeric cultivation,occupation=farmer; crops=turmeric; intent=organic conversion,sch-012,AIF,68,3,Relevant once post-harvest storage or processing infrastructure is needed,PENDING_VERIFICATION,sch-019,Collective infrastructure through an FPO,Rule-based synthesis over this package's eligibility_criteria.csv,https://www.myscheme.gov.in/,2026-07-25,60,VST-NEEDS_REVIEW,"priority_score is a deterministic rule-engine input derived from eligibility overlap, not an empirical outcome measure"
rec-014,PROF-WOMAN-ENTREPRENEUR,Woman first-time entrepreneur planning a food processing micro unit,gender=female; intent=new enterprise; sector=food processing; experience=first-time,sch-016,Stand-Up India,88,1,Woman entrepreneur with a greenfield project is the exact target,sch-017,sch-014;sch-015,Scale beyond micro into small enterprise,Rule-based synthesis over this package's eligibility_criteria.csv,https://www.myscheme.gov.in/,2026-07-25,60,VST-NEEDS_REVIEW,"priority_score is a deterministic rule-engine input derived from eligibility overlap, not an empirical outcome measure"
rec-015,PROF-WOMAN-ENTREPRENEUR,Woman first-time entrepreneur planning a food processing micro unit,gender=female; intent=new enterprise; sector=food processing; experience=first-time,sch-014,PMEGP,86,2,Margin money subsidy materially reduces the own-contribution burden,sch-019,sch-015;sch-017,PMFME upgradation once formalised,Rule-based synthesis over this package's eligibility_criteria.csv,https://www.myscheme.gov.in/,2026-07-25,60,VST-NEEDS_REVIEW,"priority_score is a deterministic rule-engine input derived from eligibility overlap, not an empirical outcome measure"
rec-016,PROF-WOMAN-ENTREPRENEUR,Woman first-time entrepreneur planning a food processing micro unit,gender=female; intent=new enterprise; sector=food processing; experience=first-time,sch-019,PMFME,82,3,Sector-specific: designed for micro food processing formalisation,sch-012,sch-014,Branding and marketing support for retail entry,Rule-based synthesis over this package's eligibility_criteria.csv,https://www.myscheme.gov.in/,2026-07-25,60,VST-NEEDS_REVIEW,"priority_score is a deterministic rule-engine input derived from eligibility overlap, not an empirical outcome measure"
rec-017,PROF-WOMAN-ENTREPRENEUR,Woman first-time entrepreneur planning a food processing micro unit,gender=female; intent=new enterprise; sector=food processing; experience=first-time,sch-017,CGTMSE,74,4,Removes the collateral barrier; invoked by the lender not the borrower,PENDING_VERIFICATION,sch-015,Larger credit lines as the unit grows,Rule-based synthesis over this package's eligibility_criteria.csv,https://www.myscheme.gov.in/,2026-07-25,60,VST-NEEDS_REVIEW,"priority_score is a deterministic rule-engine input derived from eligibility overlap, not an empirical outcome measure"
rec-018,PROF-WOMAN-ENTREPRENEUR,Woman first-time entrepreneur planning a food processing micro unit,gender=female; intent=new enterprise; sector=food processing; experience=first-time,sch-021,PMKVY 4.0,68,5,Food processing Qualification Pack training before or during setup,PENDING_VERIFICATION,sch-018,Certified skill improves lender confidence,Rule-based synthesis over this package's eligibility_criteria.csv,https://www.myscheme.gov.in/,2026-07-25,60,VST-NEEDS_REVIEW,"priority_score is a deterministic rule-engine input derived from eligibility overlap, not an empirical outcome measure"
rec-019,PROF-YOUTH-RURAL,"Rural youth aged 22, class XII pass, seeking employment",age=22; education=class XII; residence=rural; intent=employment,sch-023,DDU-GKY,88,1,Placement-linked training designed for exactly this profile,sch-021,sch-021;sch-022,Placement then upskilling on the job,Rule-based synthesis over this package's eligibility_criteria.csv,https://www.myscheme.gov.in/,2026-07-25,60,VST-NEEDS_REVIEW,"priority_score is a deterministic rule-engine input derived from eligibility overlap, not an empirical outcome measure"
rec-020,PROF-YOUTH-RURAL,"Rural youth aged 22, class XII pass, seeking employment",age=22; education=class XII; residence=rural; intent=employment,sch-021,PMKVY 4.0,84,2,Short-term NSQF training with certification and placement assistance,sch-022,sch-023;sch-024,Apprenticeship or direct employment,Rule-based synthesis over this package's eligibility_criteria.csv,https://www.myscheme.gov.in/,2026-07-25,60,VST-NEEDS_REVIEW,"priority_score is a deterministic rule-engine input derived from eligibility overlap, not an empirical outcome measure"
rec-021,PROF-YOUTH-RURAL,"Rural youth aged 22, class XII pass, seeking employment",age=22; education=class XII; residence=rural; intent=employment,sch-022,PM-NAPS,79,3,Apprenticeship provides stipend plus workplace experience,sch-015,sch-021,Regular employment or own enterprise,Rule-based synthesis over this package's eligibility_criteria.csv,https://www.myscheme.gov.in/,2026-07-25,60,VST-NEEDS_REVIEW,"priority_score is a deterministic rule-engine input derived from eligibility overlap, not an empirical outcome measure"
rec-022,PROF-YOUTH-RURAL,"Rural youth aged 22, class XII pass, seeking employment",age=22; education=class XII; residence=rural; intent=employment,sch-034,MGNREGS,66,4,Immediate income floor while training or job search continues,PENDING_VERIFICATION,sch-035,Not a career path; a consumption bridge,Rule-based synthesis over this package's eligibility_criteria.csv,https://www.myscheme.gov.in/,2026-07-25,60,VST-NEEDS_REVIEW,"priority_score is a deterministic rule-engine input derived from eligibility overlap, not an empirical outcome measure"
rec-023,PROF-YOUTH-RURAL,"Rural youth aged 22, class XII pass, seeking employment",age=22; education=class XII; residence=rural; intent=employment,sch-015,PMMY,62,5,Relevant only if the intent shifts from employment to self-employment,PENDING_VERIFICATION,sch-014,Micro enterprise as an alternative track,Rule-based synthesis over this package's eligibility_criteria.csv,https://www.myscheme.gov.in/,2026-07-25,60,VST-NEEDS_REVIEW,"priority_score is a deterministic rule-engine input derived from eligibility overlap, not an empirical outcome measure"
rec-024,PROF-ARTISAN,Traditional carpenter working on own account in a rural district,occupation=artisan; trade=carpentry; employment=own-account; residence=rural,sch-018,PM Vishwakarma,92,1,Carpenter is a notified trade; the scheme is purpose-built for this profile,sch-015,sch-014;sch-021,"Toolkit, credit and digital market access in one package",Rule-based synthesis over this package's eligibility_criteria.csv,https://www.myscheme.gov.in/,2026-07-25,60,VST-NEEDS_REVIEW,"priority_score is a deterministic rule-engine input derived from eligibility overlap, not an empirical outcome measure"
rec-025,PROF-ARTISAN,Traditional carpenter working on own account in a rural district,occupation=artisan; trade=carpentry; employment=own-account; residence=rural,sch-015,PMMY,76,2,Working capital for materials once the trade is formalised,sch-017,sch-014,Larger credit as order volume grows,Rule-based synthesis over this package's eligibility_criteria.csv,https://www.myscheme.gov.in/,2026-07-25,60,VST-NEEDS_REVIEW,"priority_score is a deterministic rule-engine input derived from eligibility overlap, not an empirical outcome measure"
rec-026,PROF-ARTISAN,Traditional carpenter working on own account in a rural district,occupation=artisan; trade=carpentry; employment=own-account; residence=rural,sch-014,PMEGP,70,3,Applies if scaling from own-account work to a small workshop,PENDING_VERIFICATION,sch-017,Employment generation beyond the family,Rule-based synthesis over this package's eligibility_criteria.csv,https://www.myscheme.gov.in/,2026-07-25,60,VST-NEEDS_REVIEW,"priority_score is a deterministic rule-engine input derived from eligibility overlap, not an empirical outcome measure"
rec-027,PROF-URBAN-POOR-FAMILY,Urban low-income family of four with no health insurance and no pucca house,residence=urban; income=EWS; household size=4; assets=none,sch-031,AB PM-JAY,90,1,Catastrophic health expenditure is the single largest impoverishment risk,sch-001,sch-032;sch-039,Health security enables asset accumulation,Rule-based synthesis over this package's eligibility_criteria.csv,https://www.myscheme.gov.in/,2026-07-25,60,VST-NEEDS_REVIEW,"priority_score is a deterministic rule-engine input derived from eligibility overlap, not an empirical outcome measure"
rec-028,PROF-URBAN-POOR-FAMILY,Urban low-income family of four with no health insurance and no pucca house,residence=urban; income=EWS; household size=4; assets=none,sch-039,NFSA/PDS,86,2,Statutory food entitlement; immediate consumption relief,sch-001,sch-038,Frees income for other needs,Rule-based synthesis over this package's eligibility_criteria.csv,https://www.myscheme.gov.in/,2026-07-25,60,VST-NEEDS_REVIEW,"priority_score is a deterministic rule-engine input derived from eligibility overlap, not an empirical outcome measure"
rec-029,PROF-URBAN-POOR-FAMILY,Urban low-income family of four with no health insurance and no pucca house,residence=urban; income=EWS; household size=4; assets=none,sch-037,PMAY-U,80,3,EWS vertical with credit-linked interest subsidy,sch-001,sch-036,Housing asset creation,Rule-based synthesis over this package's eligibility_criteria.csv,https://www.myscheme.gov.in/,2026-07-25,60,VST-NEEDS_REVIEW,"priority_score is a deterministic rule-engine input derived from eligibility overlap, not an empirical outcome measure"
rec-030,PROF-URBAN-POOR-FAMILY,Urban low-income family of four with no health insurance and no pucca house,residence=urban; income=EWS; household size=4; assets=none,sch-001,PMJDY,78,4,Account is the precondition for every DBT-based benefit,sch-002,sch-002;sch-003,Enables all other scheme transfers,Rule-based synthesis over this package's eligibility_criteria.csv,https://www.myscheme.gov.in/,2026-07-25,60,VST-NEEDS_REVIEW,"priority_score is a deterministic rule-engine input derived from eligibility overlap, not an empirical outcome measure"
rec-031,PROF-URBAN-POOR-FAMILY,Urban low-income family of four with no health insurance and no pucca house,residence=urban; income=EWS; household size=4; assets=none,sch-002,PMSBY,70,5,Very low premium accident cover for the earning member,sch-003,sch-003;sch-004,Life and pension cover as income stabilises,Rule-based synthesis over this package's eligibility_criteria.csv,https://www.myscheme.gov.in/,2026-07-25,60,VST-NEEDS_REVIEW,"priority_score is a deterministic rule-engine input derived from eligibility overlap, not an empirical outcome measure"
rec-032,PROF-SENIOR-CITIZEN,Rural citizen aged 68 below the poverty line with no formal pension,age=68; residence=rural; income=BPL; pension=none,sch-038,NSAP,90,1,Old age pension vertical matches age and income criteria exactly,sch-039,sch-039;sch-031,State top-up materially increases the amount,Rule-based synthesis over this package's eligibility_criteria.csv,https://www.myscheme.gov.in/,2026-07-25,60,VST-NEEDS_REVIEW,"priority_score is a deterministic rule-engine input derived from eligibility overlap, not an empirical outcome measure"
rec-033,PROF-SENIOR-CITIZEN,Rural citizen aged 68 below the poverty line with no formal pension,age=68; residence=rural; income=BPL; pension=none,sch-039,NFSA/PDS,84,2,Food entitlement is the second pillar of old-age security,sch-031,sch-038,Reduces cash needed for food,Rule-based synthesis over this package's eligibility_criteria.csv,https://www.myscheme.gov.in/,2026-07-25,60,VST-NEEDS_REVIEW,"priority_score is a deterministic rule-engine input derived from eligibility overlap, not an empirical outcome measure"
rec-034,PROF-SENIOR-CITIZEN,Rural citizen aged 68 below the poverty line with no formal pension,age=68; residence=rural; income=BPL; pension=none,sch-031,AB PM-JAY,82,3,No upper age limit; health risk is highest in this group,PENDING_VERIFICATION,sch-032,Cashless hospitalisation removes distress borrowing,Rule-based synthesis over this package's eligibility_criteria.csv,https://www.myscheme.gov.in/,2026-07-25,60,VST-NEEDS_REVIEW,"priority_score is a deterministic rule-engine input derived from eligibility overlap, not an empirical outcome measure"
rec-035,PROF-TECH-STARTUP,"Two-person technology startup, DPIIT-recognised, pre-revenue",sector=technology; stage=pre-revenue; recognition=DPIIT; team=2,sch-020,SISFS,88,1,Pre-revenue DPIIT-recognised startup is the precise eligibility profile,sch-017,sch-015,Follow-on venture funding after prototype validation,Rule-based synthesis over this package's eligibility_criteria.csv,https://www.myscheme.gov.in/,2026-07-25,60,VST-NEEDS_REVIEW,"priority_score is a deterministic rule-engine input derived from eligibility overlap, not an empirical outcome measure"
rec-036,PROF-TECH-STARTUP,"Two-person technology startup, DPIIT-recognised, pre-revenue",sector=technology; stage=pre-revenue; recognition=DPIIT; team=2,sch-015,PMMY,64,2,Fits only if the venture is better characterised as a micro enterprise,PENDING_VERIFICATION,sch-014,Bridge finance before institutional rounds,Rule-based synthesis over this package's eligibility_criteria.csv,https://www.myscheme.gov.in/,2026-07-25,60,VST-NEEDS_REVIEW,"priority_score is a deterministic rule-engine input derived from eligibility overlap, not an empirical outcome measure"
rec-037,PROF-TECH-STARTUP,"Two-person technology startup, DPIIT-recognised, pre-revenue",sector=technology; stage=pre-revenue; recognition=DPIIT; team=2,sch-017,CGTMSE,60,3,"Relevant later, when seeking collateral-free bank credit",PENDING_VERIFICATION,sch-015,Debt without dilution as revenue begins,Rule-based synthesis over this package's eligibility_criteria.csv,https://www.myscheme.gov.in/,2026-07-25,60,VST-NEEDS_REVIEW,"priority_score is a deterministic rule-engine input derived from eligibility overlap, not an empirical outcome measure"
