mapping_id,scheme_id,scheme_short_name,package001_dist_id,dist_ref,district_name,state_scope,district_level_agency,application_channel,district_specific_variation,data_source,source_url,collection_date,confidence_score,verification_status,notes
dsm-0026,sch-014,PMEGP,3047ff5d-7947-489e-9b85-74ba0197be66,TG-HYD,Hyderabad,Telangana,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0027,sch-014,PMEGP,d5eb8f6c-0a30-482b-a66b-b71ef0807c3d,TG-RRD,Ranga Reddy,Telangana,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0028,sch-014,PMEGP,2f88f1aa-4e27-42e9-b163-09372b546552,TG-VKB,Vikarabad,Telangana,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0029,sch-014,PMEGP,ad8a2cd7-e5a2-478a-88cc-c53c24d06f7e,TG-NRP,Narayanpet,Telangana,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0030,sch-014,PMEGP,a762e29d-b3f4-4049-8eab-482792b30100,TG-MBN,Mahabubnagar,Telangana,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0031,sch-014,PMEGP,37adc172-0f7b-4669-a8dc-303cff89b502,TG-NGK,Nagarkurnool,Telangana,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0032,sch-014,PMEGP,88ed3461-7af3-47c0-8dba-1fd58bcdb4f4,TG-WNP,Wanaparthy,Telangana,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0033,sch-014,PMEGP,9cce7f5b-ce3f-4bb0-87c4-32567b1198a4,TG-JGD,Jogulamba Gadwal,Telangana,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0034,sch-014,PMEGP,709ae67e-2e80-4ff2-9457-def43c3a75df,AP-SRI,Srikakulam,Andhra Pradesh,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0035,sch-014,PMEGP,f49867e4-4272-4e38-9918-7da19fc95b32,AP-PAR,Parvathipuram Manyam,Andhra Pradesh,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0036,sch-014,PMEGP,473e5bdb-d08a-4873-9942-d3fe0fb907f6,AP-VIZ,Vizianagaram,Andhra Pradesh,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0037,sch-014,PMEGP,88e201e0-7157-42e7-8c49-78dd22d1e70c,AP-VIS,Visakhapatnam,Andhra Pradesh,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0038,sch-014,PMEGP,e2766aff-1f71-4401-93ba-4ba8bc3d8ab6,AP-ALL,Alluri Sitharama Raju,Andhra Pradesh,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0039,sch-014,PMEGP,43940937-d49d-46bc-bf31-336bdb8d0072,AP-ANK,Anakapalli,Andhra Pradesh,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0040,sch-014,PMEGP,10ba356d-0289-482f-bc5d-55ee7adfa9c8,AP-POL,Polavaram,Andhra Pradesh,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0041,sch-014,PMEGP,160b4158-b8e3-4f38-ba85-0f9de408b39d,AP-KAK,Kakinada,Andhra Pradesh,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0042,sch-014,PMEGP,3f5f2e8a-a13d-4889-a0d0-8f558d20c245,AP-EAS,East Godavari,Andhra Pradesh,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0043,sch-014,PMEGP,a4804fbb-e644-4101-ae56-95195a25c3d9,AP-KON,Dr. B. R. Ambedkar Konaseema,Andhra Pradesh,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0044,sch-014,PMEGP,652ea484-ad9d-4056-8cbf-283b982cfd01,AP-ELU,Eluru,Andhra Pradesh,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0045,sch-014,PMEGP,29b87be3-4ff3-4325-87aa-d47a52501239,AP-WES,West Godavari,Andhra Pradesh,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0046,sch-014,PMEGP,1cb600af-8640-465f-a1ab-cfcdbd38c7db,AP-NTR,NTR,Andhra Pradesh,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0047,sch-014,PMEGP,71aa6838-7eb7-4a91-b09f-ccf59cffa4fb,AP-KRI,Krishna,Andhra Pradesh,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0048,sch-014,PMEGP,a78da0a5-99d5-4729-a7f5-f6972fb28978,AP-PAL,Palnadu,Andhra Pradesh,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0049,sch-014,PMEGP,d5299947-775b-49ed-9ddf-68116cd4ea31,AP-GUN,Guntur,Andhra Pradesh,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0050,sch-014,PMEGP,56dfdd26-8e65-456f-a2a9-f32b079748fa,AP-BAP,Bapatla,Andhra Pradesh,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0051,sch-014,PMEGP,5645ff67-1c01-4b3b-95ae-2506cc7eaa2c,AP-PRA,Prakasam,Andhra Pradesh,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0052,sch-014,PMEGP,e95d3496-9cc2-4d39-ac93-ea7827089418,AP-MAR,Markapuram,Andhra Pradesh,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0053,sch-014,PMEGP,e472f701-3d26-4bc2-a5f0-d811ca5d042e,AP-NEL,Sri Potti Sriramulu Nellore,Andhra Pradesh,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0054,sch-014,PMEGP,b35798a9-d3a2-4ff0-b330-b3a1199c4551,AP-KUR,Kurnool,Andhra Pradesh,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0055,sch-014,PMEGP,6e0bd6d7-c4cd-47cb-a568-3859d7f584f5,AP-NAN,Nandyal,Andhra Pradesh,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0056,sch-014,PMEGP,155d1569-c077-4433-b4e0-6ceadfd0622a,AP-ATP,Ananthapuramu,Andhra Pradesh,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0057,sch-014,PMEGP,edca209e-ddf4-423c-bf22-ddf359bc576d,AP-SSS,Sri Sathya Sai,Andhra Pradesh,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0058,sch-014,PMEGP,f0de900a-6a79-45cc-aed2-01d31752edea,AP-CUD,YSR Kadapa,Andhra Pradesh,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0059,sch-014,PMEGP,573f08b6-ac9a-4025-8cf5-4803690b7651,AP-ANN,Annamayya,Andhra Pradesh,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0060,sch-014,PMEGP,db24bd82-9d6f-4b3c-afdf-7961543769f4,AP-TIR,Tirupati,Andhra Pradesh,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0061,sch-014,PMEGP,c3a879b3-f320-47ec-8104-d1c8137b672a,AP-CHI,Chittoor,Andhra Pradesh,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0062,sch-034,MGNREGS,a0248e18-5e38-4b14-8c0b-dfa7105971dd,TG-ADB,Adilabad,Telangana,Gram Panchayat / District Programme Coordinator,Offline work demand at Gram Panchayat,PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,District Programme Coordinator is statutorily the District Collector or CEO
dsm-0063,sch-034,MGNREGS,5eedf97f-f311-4ec9-ac9e-03da47fde723,TG-KBA,Kumuram Bheem Asifabad,Telangana,Gram Panchayat / District Programme Coordinator,Offline work demand at Gram Panchayat,PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,District Programme Coordinator is statutorily the District Collector or CEO
dsm-0064,sch-034,MGNREGS,24e7d017-1120-4f39-b6e3-8eb6c8f93e82,TG-MCL,Mancherial,Telangana,Gram Panchayat / District Programme Coordinator,Offline work demand at Gram Panchayat,PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,District Programme Coordinator is statutorily the District Collector or CEO
dsm-0065,sch-034,MGNREGS,1b1a69fd-b7d2-4547-9898-fef4ae0f28ec,TG-NRM,Nirmal,Telangana,Gram Panchayat / District Programme Coordinator,Offline work demand at Gram Panchayat,PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,District Programme Coordinator is statutorily the District Collector or CEO
dsm-0066,sch-034,MGNREGS,b6fb561d-e551-4b7a-b15b-6f81e5a3ec20,TG-NZB,Nizamabad,Telangana,Gram Panchayat / District Programme Coordinator,Offline work demand at Gram Panchayat,PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,District Programme Coordinator is statutorily the District Collector or CEO
dsm-0067,sch-034,MGNREGS,3606f526-a8fe-4eee-892c-ca996b59b03e,TG-JGT,Jagtial,Telangana,Gram Panchayat / District Programme Coordinator,Offline work demand at Gram Panchayat,PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,District Programme Coordinator is statutorily the District Collector or CEO
dsm-0068,sch-034,MGNREGS,e17d2fa9-1dfa-4d56-83d5-9f962d6e3469,TG-PDP,Peddapalli,Telangana,Gram Panchayat / District Programme Coordinator,Offline work demand at Gram Panchayat,PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,District Programme Coordinator is statutorily the District Collector or CEO
dsm-0069,sch-034,MGNREGS,e08443e2-2ae2-4e3b-a41d-68c06063d269,TG-KMR,Kamareddy,Telangana,Gram Panchayat / District Programme Coordinator,Offline work demand at Gram Panchayat,PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,District Programme Coordinator is statutorily the District Collector or CEO
dsm-0070,sch-034,MGNREGS,165eaf89-5d17-4efa-b5d8-6909d8f0e84f,TG-RSL,Rajanna Sircilla,Telangana,Gram Panchayat / District Programme Coordinator,Offline work demand at Gram Panchayat,PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,District Programme Coordinator is statutorily the District Collector or CEO
dsm-0071,sch-034,MGNREGS,086394be-1e67-4761-a069-e9d2dd6f7bd0,TG-KRM,Karimnagar,Telangana,Gram Panchayat / District Programme Coordinator,Offline work demand at Gram Panchayat,PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,District Programme Coordinator is statutorily the District Collector or CEO
dsm-0072,sch-034,MGNREGS,9fed3cf2-18e0-4c2d-9355-80d3b34b1ebd,TG-JSB,Jayashankar Bhupalpally,Telangana,Gram Panchayat / District Programme Coordinator,Offline work demand at Gram Panchayat,PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,District Programme Coordinator is statutorily the District Collector or CEO
dsm-0073,sch-034,MGNREGS,13bb4a71-c81b-4eb8-8d27-59bf21d96c85,TG-SNG,Sangareddy,Telangana,Gram Panchayat / District Programme Coordinator,Offline work demand at Gram Panchayat,PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,District Programme Coordinator is statutorily the District Collector or CEO
dsm-0074,sch-034,MGNREGS,3a1a968d-5bd8-433b-8b99-5d2b04b69269,TG-MDK,Medak,Telangana,Gram Panchayat / District Programme Coordinator,Offline work demand at Gram Panchayat,PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,District Programme Coordinator is statutorily the District Collector or CEO
