scheme_id,scheme_name,short_name,category_id,category_name,ministry,department,government_level,launch_year,objective,benefit_summary,financial_assistance,subsidy_component,loan_support,coverage,application_mode,official_portal,status,also_in_package,data_source,source_url,collection_date,confidence_score,verification_status,notes
sch-011,Soil Health Card Scheme,SHC,cat-004,Agriculture,Ministry of Agriculture and Farmers Welfare,Department of Agriculture and Farmers Welfare,Central,2015,Provide farmers with soil nutrient status and fertiliser recommendations,Free soil testing and a nutrient-recommendation card per holding,"Not applicable (service, not cash)",No,No,National,Offline (soil testing laboratory; village agriculture office); Online (SHC portal),https://soilhealth.dac.gov.in/,Active,Package005_Agriculture,Soil Health Card portal,https://soilhealth.dac.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Service delivery scheme; no cash transfer component
sch-012,Agriculture Infrastructure Fund,AIF,cat-004,Agriculture,Ministry of Agriculture and Farmers Welfare,Department of Agriculture and Farmers Welfare,Central,2020,Finance post-harvest management and community farming asset creation,Interest subvention and credit guarantee on term loans for eligible projects,PENDING_VERIFICATION,No,Yes,"National; FPOs, PACS, cooperatives, agri-entrepreneurs, startups",Online (AIF portal); Offline (lending bank),https://agriinfra.dac.gov.in/,Active,Package005_Agriculture,Agriculture Infrastructure Fund portal,https://agriinfra.dac.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Interest subvention applies up to a prescribed loan ceiling per project
sch-013,Pradhan Mantri Kisan Urja Suraksha evam Utthaan Mahabhiyan,PM-KUSUM,cat-023,Renewable Energy,Ministry of New and Renewable Energy,MNRE,Central,2019,Solarise agriculture pumps and enable farmer solar power generation,"Capital subsidy on standalone solar pumps, grid-connected pump solarisation and small solar plants",PENDING_VERIFICATION,Yes,Yes,"National; three components (A, B, C) with differing eligibility",Online (state nodal agency portal); Offline (DISCOM; state nodal agency),https://pmkusum.mnre.gov.in/,Active,PENDING_VERIFICATION,PM-KUSUM portal; Ministry of New and Renewable Energy,https://pmkusum.mnre.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Central and state subsidy shares plus farmer contribution; ratios differ by component
sch-014,Prime Minister's Employment Generation Programme,PMEGP,cat-020,Entrepreneurship,"Ministry of Micro, Small and Medium Enterprises",Office of Development Commissioner (MSME); KVIC,Central,2008,Generate self-employment through micro-enterprise creation in rural and urban areas,Bank loan with margin money subsidy on project cost,PENDING_VERIFICATION,Yes,Yes,"National; individuals above 18, SHGs, institutions, cooperatives",Online (PMEGP e-portal),https://www.kviconline.gov.in/pmegpeportal/,Active,Package004_Industries_and_Livelihoods,PMEGP e-portal; KVIC,https://www.kviconline.gov.in/pmegpeportal/,2026-07-25,76,VST-NEEDS_REVIEW,Margin money subsidy percentage differs by category (general vs special) and area (rural vs urban)
sch-015,Pradhan Mantri MUDRA Yojana,PMMY,cat-005,MSME,Ministry of Finance,"Department of Financial Services, Ministry of Finance",Central,2015,Collateral-free institutional credit to non-farm micro enterprises,"Term loan or working capital under Shishu, Kishore, Tarun and Tarun Plus categories",PENDING_VERIFICATION,No,Yes,National; non-corporate non-farm micro enterprises,Offline (bank; NBFC; MFI); Online (Jan Samarth portal),https://www.mudra.org.in/,Active,Package004_Industries_and_Livelihoods,MUDRA; Department of Financial Services,https://www.mudra.org.in/,2026-07-25,77,VST-NEEDS_REVIEW,Loan ceilings per category are revised by notification; re-verify at portal
sch-016,Stand-Up India Scheme,Stand-Up India,cat-008,Scheduled Castes,Ministry of Finance,"Department of Financial Services, Ministry of Finance",Central,2016,"Facilitate bank loans to SC, ST and women entrepreneurs for greenfield enterprises",Composite bank loan (term loan plus working capital) for a first-time greenfield venture,PENDING_VERIFICATION,No,Yes,"National; SC, ST and women entrepreneurs above 18",Online (Stand-Up India portal); Offline (scheduled commercial bank),https://www.standupmitra.in/,Active,Package004_Industries_and_Livelihoods,Stand-Up India portal,https://www.standupmitra.in/,2026-07-25,75,VST-NEEDS_REVIEW,Greenfield requirement: applicant must be a first-time entrepreneur in that activity
sch-017,Credit Guarantee Fund Trust for Micro and Small Enterprises,CGTMSE,cat-005,MSME,"Ministry of Micro, Small and Medium Enterprises",Office of Development Commissioner (MSME); SIDBI,Central,2000,Enable collateral-free credit to micro and small enterprises through guarantee cover,"Guarantee cover to the lender on eligible credit facilities, removing the collateral barrier","Not applicable (guarantee to lender, not cash to borrower)",No,Yes,National; micro and small enterprises borrowing from member lending institutions,Offline (through the lending institution; not a direct citizen application),https://www.cgtmse.in/,Active,Package004_Industries_and_Livelihoods,CGTMSE,https://www.cgtmse.in/,2026-07-25,74,VST-NEEDS_REVIEW,The borrower does not apply directly; the lender invokes cover
sch-018,PM Vishwakarma,PM Vishwakarma,cat-020,Entrepreneurship,"Ministry of Micro, Small and Medium Enterprises",Ministry of MSME,Central,2023,End-to-end support to traditional artisans and craftspeople in eighteen trades,"Skill training with stipend, toolkit incentive, collateral-free credit and digital/marketing support",PENDING_VERIFICATION,Yes,Yes,National; artisans in eighteen notified traditional trades,Online (PM Vishwakarma portal); Offline (Common Service Centre),https://pmvishwakarma.gov.in/,Active,Package004_Industries_and_Livelihoods,PM Vishwakarma portal,https://pmvishwakarma.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Multi-component scheme; credit is released in tranches conditional on training
sch-019,PM Formalisation of Micro Food Processing Enterprises,PMFME,cat-005,MSME,Ministry of Food Processing Industries,MoFPI,Central,2020,Formalise and upgrade micro food-processing enterprises with a One District One Product focus,"Credit-linked capital subsidy on project cost, plus seed capital to SHG members and branding support",PENDING_VERIFICATION,Yes,Yes,"National; individual micro food processors, SHGs, FPOs, cooperatives",Online (PMFME portal),https://pmfme.mofpi.gov.in/,Active,PENDING_VERIFICATION,PMFME portal; Ministry of Food Processing Industries,https://pmfme.mofpi.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Subsidy is capped per unit; ODOP alignment affects prioritisation
sch-020,Startup India Seed Fund Scheme,SISFS,cat-022,Innovation,Ministry of Commerce and Industry,DPIIT,Central,2021,"Provide early-stage capital for proof of concept, prototype and market entry","Grant for validation and prototyping, plus convertible debenture or debt for scale-up",PENDING_VERIFICATION,No,Yes,National; DPIIT-recognised startups incorporated within a prescribed period,"Online (Startup India portal, via selected incubators)",https://seedfund.startupindia.gov.in/,Active,Package004_Industries_and_Livelihoods,Startup India Seed Fund portal,https://seedfund.startupindia.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,"Applications are routed through empanelled incubators, not filed directly with DPIIT"
sch-021,Pradhan Mantri Kaushal Vikas Yojana 4.0,PMKVY 4.0,cat-024,Skill Development,Ministry of Skill Development and Entrepreneurship,MSDE; NSDC,Central,2015,"Short-term skill training, upskilling and Recognition of Prior Learning with certification","Free NSQF-aligned training with assessment, certification and placement assistance",PENDING_VERIFICATION,No,No,"National; youth and workers, with RPL for existing workers",Online (Skill India Digital); Offline (empanelled training centre),https://www.skillindiadigital.gov.in/,Active,Package006_Skills_and_Training,MSDE; NSDC; Skill India Digital,https://www.skillindiadigital.gov.in/,2026-07-25,76,VST-NEEDS_REVIEW,Successive versions (1.0 to 4.0) changed funding and delivery model
sch-022,Pradhan Mantri National Apprenticeship Promotion Scheme,PM-NAPS,cat-024,Skill Development,Ministry of Skill Development and Entrepreneurship,Directorate General of Training,Central,2016,Promote apprenticeship training by sharing stipend cost with employers,Government share of apprentice stipend reimbursed to the employer via DBT,PENDING_VERIFICATION,No,No,National; establishments engaging apprentices and the apprentices themselves,Online (apprenticeshipindia.gov.in),https://www.apprenticeshipindia.gov.in/,Active,Package006_Skills_and_Training,Apprenticeship India portal; DGT,https://www.apprenticeshipindia.gov.in/,2026-07-25,75,VST-NEEDS_REVIEW,Formerly NAPS; stipend-sharing ratio set by scheme guidelines
sch-023,Deen Dayal Upadhyaya Grameen Kaushalya Yojana,DDU-GKY,cat-014,Employment,Ministry of Rural Development,Ministry of Rural Development,Central,2014,Placement-linked skill training for rural poor youth,Free residential or non-residential training with mandatory placement linkage and post-placement support,PENDING_VERIFICATION,No,No,National; rural youth 15-35 from poor households (relaxed for vulnerable groups),Offline (project implementing agency); Online (Kaushal Panjee),https://ddugky.gov.in/,Active,Package006_Skills_and_Training,DDU-GKY portal; Ministry of Rural Development,https://ddugky.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Placement percentage is a contractual obligation on the training partner
sch-024,Skill Loan Scheme,Skill Loan,cat-024,Skill Development,"Department of Financial Services, Ministry of Finance",Indian Banks' Association model scheme,Central,2015,Institutional credit for vocational training and skill courses,Collateral-free education loan for skill courses with moratorium during training,PENDING_VERIFICATION,No,Yes,National; candidates admitted to eligible NSQF-aligned courses,Online (Jan Samarth / Vidya Lakshmi); Offline (bank branch),https://www.jansamarth.in/,Active,Package006_Skills_and_Training,Indian Banks' Association model scheme; Department of Financial Services,https://www.jansamarth.in/,2026-07-25,70,VST-NEEDS_REVIEW,Loan ceiling and eligible-course list are set by the IBA model scheme
sch-025,National Means-cum-Merit Scholarship Scheme,NMMSS,cat-002,Scholarships,Ministry of Education,Department of School Education and Literacy,Central,2008,Arrest dropout at class VIII and encourage continuation to secondary stage,"Annual scholarship to selected students from class IX to XII, paid by DBT",PENDING_VERIFICATION,No,No,National; class VIII students below a prescribed parental income ceiling,Online (National Scholarship Portal),https://scholarships.gov.in/,Active,Package002_Education,National Scholarship Portal; Ministry of Education,https://scholarships.gov.in/,2026-07-25,76,VST-NEEDS_REVIEW,Selection is by state-conducted examination; renewal requires prescribed marks
sch-026,Central Sector Scheme of Scholarships for College and University Students,CSSS,cat-002,Scholarships,Ministry of Education,Department of Higher Education,Central,2008,Support meritorious students from low-income families in higher education,"Annual scholarship for graduation and post-graduation, paid by DBT",PENDING_VERIFICATION,No,No,National; top percentile of class XII boards below an income ceiling,Online (National Scholarship Portal),https://scholarships.gov.in/,Active,Package002_Education,National Scholarship Portal; Ministry of Education,https://scholarships.gov.in/,2026-07-25,75,VST-NEEDS_REVIEW,Quota is allocated by board and stream; professional-course rates differ
sch-027,PM Young Achievers Scholarship Award Scheme for Vibrant India,PM-YASASVI,cat-010,Backward Classes,Ministry of Social Justice and Empowerment,Department of Social Justice and Empowerment,Central,2021,"Scholarship support for OBC, EBC and DNT students at school and higher-education stages","Pre-matric and post-matric scholarship, and top-class school education support",PENDING_VERIFICATION,No,No,"National; OBC, EBC and DNT students below an income ceiling",Online (National Scholarship Portal / YASASVI portal),https://yet.nta.ac.in/,Active,Package002_Education,Ministry of Social Justice and Empowerment; NTA,https://socialjustice.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Consolidated several earlier OBC/EBC/DNT scholarship schemes
sch-028,Post-Matric Scholarship for Scheduled Caste Students,PMS-SC,cat-008,Scheduled Castes,Ministry of Social Justice and Empowerment,Department of Social Justice and Empowerment,Central,1944,Enable SC students to pursue post-matriculation education,"Maintenance allowance, fee reimbursement and additional allowances",PENDING_VERIFICATION,No,No,National; SC students below a prescribed parental income ceiling,Online (National Scholarship Portal; state portal),https://scholarships.gov.in/,Active,PENDING_VERIFICATION,Ministry of Social Justice and Empowerment; National Scholarship Portal,https://socialjustice.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,One of India's oldest continuing scholarship schemes; delivered largely through states
sch-029,Samagra Shiksha,Samagra Shiksha,cat-001,Education,Ministry of Education,Department of School Education and Literacy,Central,2018,Integrated school education programme from pre-school to class XII,"Infrastructure, teacher training, learning materials and equity interventions to states",PENDING_VERIFICATION,No,No,"National; delivered to states, not individual applicants","Not applicable (state-implemented programme, no citizen application)",https://samagra.education.gov.in/,Active,PENDING_VERIFICATION,Samagra Shiksha portal; Ministry of Education,https://samagra.education.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,"Institutional scheme: schools and states are beneficiaries, not individuals"
sch-030,PM Poshan Shakti Nirman,PM POSHAN,cat-001,Education,Ministry of Education,Department of School Education and Literacy,Central,2021,Provide one hot cooked meal to school children to improve nutrition and attendance,Hot cooked mid-day meal in government and government-aided schools,Not applicable (in-kind entitlement),No,No,National; children in classes I-VIII (and pre-primary in some states) in eligible schools,Not applicable (automatic entitlement on school enrolment),https://pmposhan.education.gov.in/,Active,PENDING_VERIFICATION,PM POSHAN portal; Ministry of Education,https://pmposhan.education.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,"Formerly the Mid-Day Meal Scheme; entitlement, not application-based"
sch-031,Ayushman Bharat Pradhan Mantri Jan Arogya Yojana,AB PM-JAY,cat-003,Healthcare,Ministry of Health and Family Welfare,National Health Authority,Central,2018,Health cover for secondary and tertiary hospitalisation for poor and vulnerable families,Cashless family floater hospitalisation cover per year at empanelled hospitals,PENDING_VERIFICATION,No,No,"National; families identified by deprivation criteria, plus state extensions",Offline (empanelled hospital; Ayushman Mitra; CSC); Online (beneficiary portal),https://pmjay.gov.in/,Active,Package003_Healthcare,National Health Authority; PM-JAY portal,https://pmjay.gov.in/,2026-07-25,77,VST-NEEDS_REVIEW,Cover amount per family per year is set by scheme rules; several states run converged schemes
sch-032,Ayushman Bharat Health and Wellness Centres,AB-HWC,cat-003,Healthcare,Ministry of Health and Family Welfare,National Health Mission,Central,2018,Deliver comprehensive primary health care closer to the community,"Free essential drugs, diagnostics, screening and teleconsultation at upgraded facilities",Not applicable (service delivery),No,No,National; universal at the facility level,Not applicable (walk-in service at facility),https://ab-hwc.nhp.gov.in/,Active,PENDING_VERIFICATION,National Health Mission; Ministry of Health and Family Welfare,https://ab-hwc.nhp.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Renamed Ayushman Arogya Mandir; infrastructure scheme with no citizen application
sch-033,Pradhan Mantri Matru Vandana Yojana,PMMVY,cat-006,Women,Ministry of Women and Child Development,Ministry of Women and Child Development,Central,2017,Partial wage compensation and nutrition support for pregnant and lactating mothers,Conditional cash transfer in instalments on meeting maternal and child health conditions,PENDING_VERIFICATION,No,No,"National; pregnant women and lactating mothers, conditions apply by birth order",Online (PMMVY portal); Offline (Anganwadi centre; approved health facility),https://pmmvy.wcd.gov.in/,Active,PENDING_VERIFICATION,PMMVY portal; Ministry of Women and Child Development,https://pmmvy.wcd.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Instalment structure and birth-order conditions revised in the Mission Shakti reorganisation
sch-034,Mahatma Gandhi National Rural Employment Guarantee Scheme,MGNREGS,cat-014,Employment,Ministry of Rural Development,Department of Rural Development,Central,2006,Legal guarantee of wage employment days per rural household per financial year,Guaranteed unskilled manual wage employment with statutory wage paid to a bank or post office account,PENDING_VERIFICATION,No,No,National (rural); every rural household demanding work,Offline (Gram Panchayat work demand); Online (NREGASoft),https://nrega.nic.in/,Active,PENDING_VERIFICATION,MGNREGA portal; Ministry of Rural Development,https://nrega.nic.in/,2026-07-25,77,VST-NEEDS_REVIEW,"Rights-based statutory entitlement under the MGNREG Act 2005, not a discretionary scheme"
sch-035,Deendayal Antyodaya Yojana - National Rural Livelihoods Mission,DAY-NRLM,cat-019,Livelihood,Ministry of Rural Development,Department of Rural Development,Central,2011,Mobilise rural poor households into self-help groups and build sustainable livelihoods,"Revolving fund and community investment support to SHGs, plus bank credit linkage",PENDING_VERIFICATION,No,Yes,National (rural); rural poor households through SHG membership,Offline (SHG formation via village organisation and block unit),https://nrlm.gov.in/,Active,PENDING_VERIFICATION,DAY-NRLM portal; Ministry of Rural Development,https://nrlm.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Delivery is through SHG federations; individuals cannot apply directly
sch-036,Pradhan Mantri Awas Yojana - Gramin,PMAY-G,cat-015,Housing,Ministry of Rural Development,Department of Rural Development,Central,2016,Provide a pucca house with basic amenities to eligible rural households,"Unit assistance in instalments, plus MGNREGA labour days and toilet convergence",PENDING_VERIFICATION,Yes,No,National (rural); households identified by prescribed deprivation criteria,Offline (Gram Panchayat; block office); Online (AwaasSoft),https://pmayg.nic.in/,Active,PENDING_VERIFICATION,PMAY-G portal; Ministry of Rural Development,https://pmayg.nic.in/,2026-07-25,75,VST-NEEDS_REVIEW,Unit assistance differs for plain and hilly/difficult areas
sch-037,Pradhan Mantri Awas Yojana - Urban,PMAY-U,cat-015,Housing,Ministry of Housing and Urban Affairs,MoHUA,Central,2015,Provide affordable housing to urban poor including a credit-linked interest subsidy,"Interest subsidy on home loans, plus assistance under beneficiary-led and partnership verticals",PENDING_VERIFICATION,Yes,Yes,"National (urban); EWS, LIG and MIG categories by vertical",Online (PMAY-U portal); Offline (urban local body; CSC),https://pmay-urban.gov.in/,Active,PENDING_VERIFICATION,PMAY-U portal; Ministry of Housing and Urban Affairs,https://pmay-urban.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Four verticals with different eligibility; CLSS operated through lending institutions
sch-038,National Social Assistance Programme,NSAP,cat-017,Social Welfare,Ministry of Rural Development,Department of Rural Development,Central,1995,"Social assistance pensions for the elderly, widows and persons with disabilities below poverty line","Monthly pension under old age, widow and disability verticals, with state top-up",PENDING_VERIFICATION,No,No,National; BPL households in the respective beneficiary categories,Offline (Gram Panchayat; municipal office); Online (NSAP portal),https://nsap.nic.in/,Active,PENDING_VERIFICATION,NSAP portal; Ministry of Rural Development,https://nsap.nic.in/,2026-07-25,73,VST-NEEDS_REVIEW,"Central rates are low; most states add a substantial top-up, so the amount received varies widely"
sch-039,National Food Security Act entitlements (Public Distribution System),NFSA/PDS,cat-017,Social Welfare,"Ministry of Consumer Affairs, Food and Public Distribution",Department of Food and Public Distribution,Central,2013,Legal entitlement to subsidised food grain for priority households and AAY families,Subsidised food grain per person per month through fair price shops; portable via One Nation One Ration Card,Not applicable (in-kind entitlement),Yes,No,National; priority households and Antyodaya Anna Yojana families,Offline (fair price shop; district supply office); Online (state PDS portal),https://dfpd.gov.in/,Active,PENDING_VERIFICATION,Department of Food and Public Distribution,https://dfpd.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Statutory entitlement under the NFSA 2013; ration card is the access instrument
sch-040,PM Surya Ghar: Muft Bijli Yojana,PM Surya Ghar,cat-023,Renewable Energy,Ministry of New and Renewable Energy,MNRE,Central,2024,Enable residential rooftop solar adoption with free electricity up to a monthly limit,Central financial assistance on rooftop solar capacity plus concessional loan access,PENDING_VERIFICATION,Yes,Yes,National; residential electricity consumers owning a suitable roof,Online (National Portal for Rooftop Solar),https://pmsuryaghar.gov.in/,Active,PENDING_VERIFICATION,PM Surya Ghar portal; Ministry of New and Renewable Energy,https://pmsuryaghar.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,"Launched 2024; subsidy slabs by sanctioned capacity, revised by notification"
