benefit_id,scheme_id,scheme_short_name,benefit_type,benefit_description,benefit_quantum,disbursement_mode,frequency,data_source,source_url,collection_date,confidence_score,verification_status,notes
ben-013,sch-009,SMAM,Infrastructure,Assistance for custom-hiring centres and farm machinery banks,PENDING_VERIFICATION,Project-based release,One time per project,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,"Aimed at FPOs, SHGs and cooperatives"
ben-014,sch-010,PKVY,Grant,Per-hectare assistance across a three-year organic conversion cycle,PENDING_VERIFICATION,Direct Benefit Transfer,Annual within the cycle,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Includes certification and cluster support components
ben-015,sch-011,SHC,Training,Soil testing with a nutrient-recommendation card,Not applicable (service),Physical or digital card,Per cycle,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Service delivery; no cash component
ben-016,sch-012,AIF,Interest Subvention,Interest subvention on term loans for post-harvest projects,PENDING_VERIFICATION,Adjusted in loan account,Annual over tenure,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,Applies up to a prescribed loan ceiling
ben-017,sch-013,PM-KUSUM,Subsidy,Central financial assistance on solar pump or plant capacity,PENDING_VERIFICATION,Paid to vendor or state nodal agency,One time,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,"Central, state and farmer shares differ by component"
ben-018,sch-014,PMEGP,Subsidy,Margin money subsidy on project cost,PENDING_VERIFICATION,Credited to the loan account as back-ended subsidy,One time,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Percentage differs by category and rural/urban location
ben-019,sch-014,PMEGP,Loan,Bank term loan and working capital for the micro enterprise,PENDING_VERIFICATION,Credit to enterprise account,On sanction,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Subsidy is released only after loan disbursement
ben-020,sch-015,PMMY,Loan,"Collateral-free micro credit under Shishu, Kishore, Tarun and Tarun Plus",PENDING_VERIFICATION,Credit to borrower account,On sanction,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,75,VST-NEEDS_REVIEW,Category ceilings revised by notification
ben-021,sch-016,Stand-Up India,Loan,Composite loan (term plus working capital) for a greenfield venture,PENDING_VERIFICATION,Credit to enterprise account,On sanction,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Loan band defined by scheme guidelines
ben-022,sch-017,CGTMSE,Loan,Guarantee cover enabling collateral-free credit,PENDING_VERIFICATION,Guarantee to lender,On credit sanction,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Benefit accrues to the borrower indirectly
ben-023,sch-018,PM Vishwakarma,Training,Basic and advanced skill training with a training stipend,PENDING_VERIFICATION,Direct Benefit Transfer,During training,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Advanced training is conditional on completing basic
ben-024,sch-018,PM Vishwakarma,Equipment Support,Toolkit incentive for trade tools,PENDING_VERIFICATION,e-Voucher or DBT,One time,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Released after basic training
ben-025,sch-018,PM Vishwakarma,Loan,Collateral-free enterprise credit in tranches,PENDING_VERIFICATION,Credit to account,Tranche based,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,Second tranche requires repayment of the first
ben-026,sch-019,PMFME,Subsidy,Credit-linked capital subsidy on eligible project cost,PENDING_VERIFICATION,Back-ended subsidy to loan account,One time,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Capped per unit
ben-027,sch-019,PMFME,Grant,Seed capital to SHG members for working capital and small tools,PENDING_VERIFICATION,Through the SHG federation,One time,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,"Routed via the SHG structure, not paid individually"
ben-028,sch-020,SISFS,Grant,"Grant for proof of concept, prototype development and market entry",PENDING_VERIFICATION,Milestone-based release by incubator,Tranche based,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,"Disbursed by the selected incubator, not by DPIIT"
ben-029,sch-021,PMKVY 4.0,Training,Free NSQF-aligned short-term training with assessment,Not applicable (training cost borne by scheme),Paid to training provider,Per batch,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Placement assistance included but not guaranteed
ben-030,sch-021,PMKVY 4.0,Scholarship,Certification on successful assessment,Not applicable,Digital certificate,On completion,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Certificate is NCVET-recognised
ben-031,sch-022,PM-NAPS,Grant,Government share of apprentice stipend reimbursed to the employer,PENDING_VERIFICATION,Direct Benefit Transfer to apprentice or employer,Monthly during apprenticeship,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Sharing ratio set by scheme guidelines
ben-032,sch-023,DDU-GKY,Training,"Free training with residential option, food and post-placement support",Not applicable (cost borne by scheme),Paid to project implementing agency,Per batch,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Placement is a contractual obligation on the training partner
ben-033,sch-024,Skill Loan,Loan,Collateral-free loan for vocational course fees,PENDING_VERIFICATION,Paid to institution,On sanction,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Moratorium during the course period
ben-034,sch-025,NMMSS,Scholarship,Annual scholarship from class IX to XII,PENDING_VERIFICATION,Direct Benefit Transfer,Annual,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Renewal requires prescribed academic performance
ben-035,sch-026,CSSS,Scholarship,Annual scholarship for graduation and post-graduation,PENDING_VERIFICATION,Direct Benefit Transfer,Annual,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Rate differs for professional courses
ben-036,sch-027,PM-YASASVI,Scholarship,"Pre-matric and post-matric scholarship for OBC, EBC and DNT students",PENDING_VERIFICATION,Direct Benefit Transfer,Annual,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,Top-class school component operates separately
ben-037,sch-028,PMS-SC,Scholarship,Maintenance allowance with fee reimbursement,PENDING_VERIFICATION,Direct Benefit Transfer,Annual,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Course group determines the maintenance rate
ben-038,sch-029,Samagra Shiksha,Infrastructure,"School infrastructure, teacher training and learning materials",PENDING_VERIFICATION,Grant to state implementation society,Annual,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Institutional benefit; no individual entitlement
ben-039,sch-030,PM POSHAN,Grant,One hot cooked meal per school day,Not applicable (in-kind),Served at school,Per school day,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Nutritional norms prescribed by class group
ben-040,sch-031,AB PM-JAY,Insurance,Cashless secondary and tertiary hospitalisation cover,PENDING_VERIFICATION,Cashless settlement at empanelled hospital,Per family per year,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,75,VST-NEEDS_REVIEW,Cover amount set by scheme rules; states may enhance
ben-041,sch-032,AB-HWC,Infrastructure,"Free essential drugs, diagnostics and screening at upgraded facilities",Not applicable (service),At facility,On visit,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,Renamed Ayushman Arogya Mandir
ben-042,sch-033,PMMVY,Grant,Conditional maternity cash benefit in instalments,PENDING_VERIFICATION,Direct Benefit Transfer,Instalments on conditions,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,"Conditions linked to registration, immunisation and birth order"
ben-043,sch-034,MGNREGS,Grant,Statutory wage for guaranteed days of unskilled manual work,PENDING_VERIFICATION,Direct Benefit Transfer,Per fortnight worked,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,75,VST-NEEDS_REVIEW,Wage rate notified per state and revised annually
ben-044,sch-035,DAY-NRLM,Grant,Revolving fund and community investment support to SHGs,PENDING_VERIFICATION,To SHG bank account,One time per SHG,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Precondition for subsequent bank credit linkage
ben-045,sch-035,DAY-NRLM,Interest Subvention,Interest subvention on SHG bank loans,PENDING_VERIFICATION,Adjusted in SHG loan account,Annual,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Rate differs between category and non-category districts
ben-046,sch-036,PMAY-G,Grant,"Unit assistance for pucca house construction, in instalments",PENDING_VERIFICATION,Direct Benefit Transfer,Instalments on construction milestones,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Rate differs for plain and hilly areas
ben-047,sch-037,PMAY-U,Interest Subvention,Credit-linked interest subsidy on home loans,PENDING_VERIFICATION,Credited upfront to the loan account,One time (NPV basis),MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Subsidy differs by income vertical
ben-048,sch-038,NSAP,Pension,Monthly social assistance pension,PENDING_VERIFICATION,Direct Benefit Transfer,Monthly,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Central rate plus a widely varying state top-up
ben-049,sch-039,NFSA/PDS,Grant,Subsidised food grain entitlement per person per month,PENDING_VERIFICATION,In-kind at fair price shop,Monthly,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Portable nationally via One Nation One Ration Card
ben-050,sch-040,PM Surya Ghar,Subsidy,Central financial assistance on rooftop solar capacity,PENDING_VERIFICATION,Direct Benefit Transfer after installation,One time,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Slab structure by sanctioned capacity
ben-051,sch-040,PM Surya Ghar,Loan,Concessional collateral-free loan for the consumer share,PENDING_VERIFICATION,Credit to account,On sanction,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,69,VST-NEEDS_REVIEW,Offered through participating banks
