criterion_id,scheme_id,scheme_short_name,criterion_type,criterion_value,is_mandatory,verification_document_hint,data_source,source_url,collection_date,confidence_score,verification_status,notes
elig-021,sch-015,PMMY,Business Size,"Non-corporate, non-farm micro or small enterprise",Yes,Udyam Registration,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,75,VST-NEEDS_REVIEW,Agriculture allied activities included; crop loans excluded
elig-022,sch-016,Stand-Up India,Category,"SC, ST or woman entrepreneur",Yes,Caste Certificate,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,"For non-individual entities, 51 percent holding by SC/ST/women required"
elig-023,sch-016,Stand-Up India,Other,Greenfield project; applicant must be a first-time entrepreneur in that activity,Yes,PENDING_VERIFICATION,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Greenfield is the defining condition
elig-024,sch-017,CGTMSE,Business Size,Micro or small enterprise as defined under the MSMED Act,Yes,Udyam Registration,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Borrower does not apply; the lender invokes guarantee cover
elig-025,sch-018,PM Vishwakarma,Occupation,Artisan or craftsperson working in one of eighteen notified trades,Yes,PENDING_VERIFICATION,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Family-based traditional trade practice is the qualifying basis
elig-026,sch-018,PM Vishwakarma,Age,18 years and above,Yes,Aadhaar,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Self-employed in the trade on an own-account basis
elig-027,sch-019,PMFME,Business Size,"Micro food-processing enterprise, SHG member, FPO or cooperative",Yes,Udyam Registration,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,"ODOP alignment affects prioritisation, not eligibility"
elig-028,sch-020,SISFS,Business Size,DPIIT-recognised startup incorporated within the prescribed period,Yes,PENDING_VERIFICATION,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,Must not have received substantial prior government funding
elig-029,sch-021,PMKVY 4.0,Age,Candidate within the scheme's prescribed age band,Yes,Aadhaar,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,RPL is aimed at existing workers rather than fresh entrants
elig-030,sch-021,PMKVY 4.0,Education,Course-specific minimum qualification per the Qualification Pack,Yes,Educational Certificates,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,"Varies by job role, not by scheme"
elig-031,sch-022,PM-NAPS,Education,Meets the apprenticeship trade's entry qualification,Yes,Educational Certificates,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Employer-side eligibility applies in parallel
elig-032,sch-023,DDU-GKY,Age,"15 to 35 years, relaxed for specified vulnerable groups",Yes,Aadhaar,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,"Relaxation for women, PwD, and certain marginalised groups"
elig-033,sch-023,DDU-GKY,Income,Rural poor household as identified by prescribed criteria,Yes,Income Certificate,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Rural residence is a separate condition
elig-034,sch-024,Skill Loan,Education,Admitted to an eligible NSQF-aligned course at a recognised institution,Yes,Educational Certificates,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Eligible-course list set by the IBA model scheme
elig-035,sch-025,NMMSS,Education,"Studying in class VIII in a government, local body or aided school",Yes,Bonafide / Study Certificate,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Selection by state-conducted examination
elig-036,sch-025,NMMSS,Income,Parental income below the prescribed ceiling,Yes,Income Certificate,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Ceiling revised by notification
elig-037,sch-026,CSSS,Education,Above the prescribed percentile in the class XII board examination,Yes,Educational Certificates,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Percentile computed board-wise and stream-wise
elig-038,sch-026,CSSS,Income,Family income below the prescribed ceiling,Yes,Income Certificate,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Verified through the National Scholarship Portal
elig-039,sch-027,PM-YASASVI,Category,"OBC, EBC or DNT student",Yes,Caste Certificate,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,Central OBC list governs; state BC lists may differ
elig-040,sch-028,PMS-SC,Category,Scheduled Caste student,Yes,Caste Certificate,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Delivered largely through state governments
elig-041,sch-028,PMS-SC,Education,Enrolled in a post-matriculation course,Yes,Bonafide / Study Certificate,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Course-level rates differ by group
elig-042,sch-029,Samagra Shiksha,Other,"Institutional: government and government-aided schools, not individual applicants",Yes,PENDING_VERIFICATION,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,No citizen eligibility test exists; states and schools are the beneficiaries
elig-043,sch-030,PM POSHAN,Education,Enrolled in classes I-VIII in an eligible school (pre-primary in some states),Yes,Bonafide / Study Certificate,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Automatic entitlement on enrolment; no separate application or means test
elig-044,sch-032,AB-HWC,Other,Universal: any person presenting at an Ayushman Arogya Mandir facility,No,PENDING_VERIFICATION,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,No eligibility screening; service scheme open to all
elig-045,sch-031,AB PM-JAY,Income,Household identified by prescribed deprivation and occupational criteria,Yes,PENDING_VERIFICATION,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,75,VST-NEEDS_REVIEW,Several states extend cover beyond the central beneficiary base
elig-046,sch-031,AB PM-JAY,Other,"No cap on family size, age or gender within an eligible household",No,Aadhaar,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,A deliberate design feature of the scheme
elig-047,sch-033,PMMVY,Gender,Pregnant woman or lactating mother,Yes,Aadhaar,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Conditions differ by birth order
elig-048,sch-034,MGNREGS,Other,Adult member of a rural household willing to do unskilled manual work,Yes,Job Card,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,76,VST-NEEDS_REVIEW,Statutory entitlement on demand; no income test
elig-049,sch-035,DAY-NRLM,Income,Rural poor household identified through participatory identification,Yes,PENDING_VERIFICATION,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,"Access is via SHG membership, not individual application"
elig-050,sch-036,PMAY-G,Other,"Houseless or living in a kutcha house, per prescribed deprivation criteria",Yes,PENDING_VERIFICATION,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Automatic exclusion criteria also apply
elig-051,sch-037,PMAY-U,Income,"EWS, LIG or MIG household by the vertical applied for",Yes,Income Certificate,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Income bands differ by vertical
elig-052,sch-038,NSAP,Age,60 and above for old age pension; no age bar for widow and disability verticals,Yes,Aadhaar,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Enhanced rate above 80 in the old age vertical
elig-053,sch-038,NSAP,Income,Below poverty line household,Yes,Income Certificate,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,State top-up rules vary widely
elig-054,sch-039,NFSA/PDS,Income,Priority household or Antyodaya Anna Yojana family,Yes,Ration Card,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Coverage ratio differs for rural and urban populations
elig-055,sch-040,PM Surya Ghar,Other,Residential electricity consumer with a suitable and legally owned roof,Yes,PENDING_VERIFICATION,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Requires an existing DISCOM connection
