skill_id,skill_name,category_id,category_name,description,difficulty_level,nsqf_level,learning_duration,demand_level,automation_risk,ai_augmentation_level,future_demand,self_employment_score,startup_opportunity,practical_ratio,theory_ratio,recommended_age,minimum_qualification,industry_relevance,salary_range,district_relevance,career_growth,data_source,source_url,collection_date,confidence_score,verification_status,notes
54808f3c-7c7c-4326-8736-5cdb7c509024,Welding (MIG/TIG/Arc),e02aa4f6-958e-4b08-b598-f7f355bcb2f2,Soft Skills & Communication,Metal joining and welding for construction and fabrication.,Intermediate,3,6-12 months,High,Medium,Minimal,Stable,60,Medium,85,15,18-50,Class 10,Manufacturing,"₹16,000-32,000",Both,Welding (MIG/TIG/Arc) specialist → Senior specialist → Manager → Leader,DGT,https://dgt.gov.in,2026-07-24,78,VST-NEEDS_REVIEW,[category_id]: mapped to Soft Skills & Communication
5ed52834-8056-4de7-a537-bfe69e10fc45,Lathe Operation,e02aa4f6-958e-4b08-b598-f7f355bcb2f2,Soft Skills & Communication,Operating traditional and semi-automatic lathe machines.,Intermediate,3,6-12 months,Medium,High,Low,Stable,40,Low,85,15,18-55,Class 8,Manufacturing,"₹15,000-30,000",Urban,Lathe Operation specialist → Senior specialist → Manager → Leader,DGT,https://dgt.gov.in,2026-07-24,75,VST-NEEDS_REVIEW,[category_id]: mapped to Soft Skills & Communication
22fcaac1-6b74-4c59-bc65-e16f4cf8b23c,Electrician (Domestic Wiring),e02aa4f6-958e-4b08-b598-f7f355bcb2f2,Soft Skills & Communication,"Residential electrical installation, wiring, and maintenance.",Beginner,2,6 months,High,Low,Minimal,Stable,75,High,85,15,18-50,Class 8,Construction,"₹12,000-28,000",Both,Electrician (Domestic Wiring) specialist → Senior specialist → Manager → Leader,DGT,https://dgt.gov.in,2026-07-24,80,VST-NEEDS_REVIEW,[category_id]: mapped to Soft Skills & Communication
125cc855-d61d-4a47-b55f-47edfc2eb436,Industrial Electrician,e02aa4f6-958e-4b08-b598-f7f355bcb2f2,Soft Skills & Communication,Electrical systems maintenance and troubleshooting in industrial settings.,Intermediate,3,12-18 months,High,Low,Medium,Stable,45,Medium,80,20,22-50,Class 10,Manufacturing,"₹18,000-40,000",Urban,Industrial Electrician specialist → Senior specialist → Manager → Leader,DGT,https://dgt.gov.in,2026-07-24,77,VST-NEEDS_REVIEW,[category_id]: mapped to Soft Skills & Communication
104601f6-e61e-40ce-9e13-11d359bea41c,Power Distribution Technician,e02aa4f6-958e-4b08-b598-f7f355bcb2f2,Soft Skills & Communication,Operation and maintenance of electrical power distribution systems.,Intermediate,3,12 months,Medium,Low,Medium,Stable,25,Low,75,25,22-55,Class 10,Utilities,"₹18,000-38,000",Both,Power Distribution Technician specialist → Senior specialist → Manager → Leader,DGT,https://dgt.gov.in,2026-07-24,72,VST-NEEDS_REVIEW,[category_id]: mapped to Soft Skills & Communication
ce7a97e5-52d6-466e-b4c3-aef5f604f808,Electronics Repair & Maintenance,738fc50d-97d4-46c4-ad13-0a26e8ffffcf,Electronics,Troubleshooting and repair of consumer and industrial electronic equipment.,Intermediate,3,6-12 months,Medium,Low,Low,Stable,70,High,80,20,18-50,Class 8,Electronics,"₹15,000-32,000",Urban,Electronics Repair & Maintenance specialist → Senior specialist → Manager → Leader,ITI,https://dgt.gov.in,2026-07-24,68,VST-NEEDS_REVIEW,[category_id]: mapped to Electronics
53571913-32a7-4e23-bb80-2fc9b3a29fbd,PCB Assembly & Soldering,e02aa4f6-958e-4b08-b598-f7f355bcb2f2,Soft Skills & Communication,Assembly and soldering of printed circuit boards in manufacturing.,Beginner,2,3-6 months,High,High,Medium,Stable,20,Low,90,10,18-45,Class 8,Electronics,"₹12,000-25,000",Urban,PCB Assembly & Soldering specialist → Senior specialist → Manager → Leader,ESDM,https://nasscom.in,2026-07-24,70,VST-NEEDS_REVIEW,[category_id]: mapped to Soft Skills & Communication
64b32311-f2ef-4516-b39b-e6ec02223468,HVAC Technician,e02aa4f6-958e-4b08-b598-f7f355bcb2f2,Soft Skills & Communication,"Installation and maintenance of heating, ventilation, and air-conditioning systems.",Intermediate,3,8-12 months,High,Low,Low,Growing,60,Medium,80,20,18-50,Class 10,Services,"₹16,000-35,000",Urban,HVAC Technician specialist → Senior specialist → Manager → Leader,Industry,https://www.nasscom.in,2026-07-24,65,VST-NEEDS_REVIEW,[category_id]: mapped to Soft Skills & Communication
32ae2721-70b4-440b-a83b-63fdfa6988ea,Microcontroller Programming,e02aa4f6-958e-4b08-b598-f7f355bcb2f2,Soft Skills & Communication,Programming microcontrollers and embedded systems for IoT and automation.,Advanced,4,4 months,High,Low,Medium,Growing,55,Medium,70,30,20-45,Diploma,Electronics,"₹20,000-42,000",Urban,Microcontroller Programming specialist → Senior specialist → Manager → Leader,Arduino,https://www.arduino.cc,2026-07-24,68,VST-NEEDS_REVIEW,[category_id]: mapped to Soft Skills & Communication
c8bcd555-1120-4d12-90a7-336fe27250bc,Masonry & Brickwork,e02aa4f6-958e-4b08-b598-f7f355bcb2f2,Soft Skills & Communication,Brick-laying and masonry work for residential and commercial construction.,Beginner,2,6 months,High,Low,Minimal,Stable,75,High,90,10,18-55,Class 8,Construction,"₹14,000-28,000",Both,Masonry & Brickwork specialist → Senior specialist → Manager → Leader,ICSDC,https://www.icsdc.org,2026-07-24,70,VST-NEEDS_REVIEW,[category_id]: mapped to Soft Skills & Communication
24328d37-c789-4100-9a1d-5ecfdf10f0e5,Plumbing,e02aa4f6-958e-4b08-b598-f7f355bcb2f2,Soft Skills & Communication,Installation and maintenance of water supply and sanitation systems.,Beginner,2,6-8 months,High,Low,Minimal,Stable,80,High,88,12,18-50,Class 8,Construction,"₹14,000-30,000",Both,Plumbing specialist → Senior specialist → Manager → Leader,ICSDC,https://www.icsdc.org,2026-07-24,75,VST-NEEDS_REVIEW,[category_id]: mapped to Soft Skills & Communication
ef2400ab-5de1-4caa-ae37-f45fda926ea6,Carpentry,e02aa4f6-958e-4b08-b598-f7f355bcb2f2,Soft Skills & Communication,"Woodwork, furniture making, and structural carpentry for construction.",Beginner,2,6-12 months,Medium,Medium,Minimal,Stable,75,High,85,15,18-55,Class 8,Construction,"₹14,000-28,000",Both,Carpentry specialist → Senior specialist → Manager → Leader,ICSDC,https://www.icsdc.org,2026-07-24,72,VST-NEEDS_REVIEW,[category_id]: mapped to Soft Skills & Communication
6e1063d5-3c2e-4c49-a8c9-59aa381554a7,Modern Farming Techniques,e02aa4f6-958e-4b08-b598-f7f355bcb2f2,Soft Skills & Communication,Contemporary agricultural practices including mechanization and soil management.,Intermediate,3,3 months,Medium,Low,High,Growing,80,High,70,30,20-60,Class 10,Agriculture,"₹10,000-20,000",Rural,Modern Farming Techniques specialist → Senior specialist → Manager → Leader,Ministry of Agriculture,https://www.agricoop.nic.in,2026-07-24,68,VST-NEEDS_REVIEW,[category_id]: mapped to Soft Skills & Communication
6b7f03f2-6f23-4fbb-9daf-b13d8b85d4b8,Precision Agriculture & IoT,a7592f45-504f-4040-892b-3efe78f7628b,Agriculture,"Data-driven farming using IoT sensors, drones, and analytics.",Advanced,4,4 months,Medium,Low,High,Growing,60,Medium,65,35,22-55,Diploma,Agriculture,"₹20,000-40,000",Both,Precision Agriculture & IoT specialist → Senior specialist → Manager → Leader,NASSCOM,https://www.nasscom.in,2026-07-24,62,VST-NEEDS_REVIEW,[category_id]: mapped to Agriculture
28856a79-9005-4630-92b2-17ace673fe72,Organic Farming,e02aa4f6-958e-4b08-b598-f7f355bcb2f2,Soft Skills & Communication,Organic and chemical-free agricultural production methods.,Intermediate,3,3 months,Medium,Low,Low,Growing,80,High,75,25,20-60,Class 10,Agriculture,"₹12,000-22,000",Rural,Organic Farming specialist → Senior specialist → Manager → Leader,Ministry of Agriculture,https://www.agricoop.nic.in,2026-07-24,65,VST-NEEDS_REVIEW,[category_id]: mapped to Soft Skills & Communication
e9a9d72b-0c80-4932-b907-ffc466d58717,Food Processing & Preservation,20d2ce4f-d534-4a81-80ed-1e965b7c2b98,Food Processing,"Processing, preservation, and value-addition of agricultural produce.",Intermediate,3,4-6 months,High,Medium,Low,Growing,70,High,80,20,20-50,Class 10,Food,"₹14,000-28,000",Both,Food Processing & Preservation specialist → Senior specialist → Manager → Leader,FSSAI,https://www.mofpi.gov.in,2026-07-24,70,VST-NEEDS_REVIEW,[category_id]: mapped to Food Processing
8fe1a461-1bb2-4a36-acc3-714cee61c56b,Bakery Production,e02aa4f6-958e-4b08-b598-f7f355bcb2f2,Soft Skills & Communication,"Commercial bakery operations including bread, pastry, and confectionery production.",Intermediate,3,3-4 months,Medium,Low,Minimal,Stable,70,High,85,15,18-50,Class 8,Food,"₹12,000-24,000",Urban,Bakery Production specialist → Senior specialist → Manager → Leader,FSSAI,https://www.mofpi.gov.in,2026-07-24,68,VST-NEEDS_REVIEW,[category_id]: mapped to Soft Skills & Communication
0149a497-5b7b-4883-a1dd-4bedda9ba9c0,Automobile Mechanic (Diesel/Petrol),e02aa4f6-958e-4b08-b598-f7f355bcb2f2,Soft Skills & Communication,Repair and maintenance of internal-combustion engine vehicles.,Intermediate,3,12 months,High,High,Low,Declining,70,High,85,15,18-55,Class 10,Automotive,"₹15,000-32,000",Urban,Automobile Mechanic (Diesel/Petrol) specialist → Senior specialist → Manager → Leader,DGT,https://dgt.gov.in,2026-07-24,77,VST-NEEDS_REVIEW,[category_id]: mapped to Soft Skills & Communication
37f56608-1c22-4e5d-8f4d-8b2f17fe0134,EV Technician,e02aa4f6-958e-4b08-b598-f7f355bcb2f2,Soft Skills & Communication,Maintenance and troubleshooting of electric vehicle powertrains and batteries.,Advanced,4,6 months,High,Low,Medium,Growing,50,Medium,75,25,22-50,Diploma,Automotive,"₹20,000-40,000",Urban,EV Technician specialist → Senior specialist → Manager → Leader,SIAM,https://www.siam.in,2026-07-24,65,VST-NEEDS_REVIEW,[category_id]: mapped to Soft Skills & Communication
11fac637-12d6-4a44-ba21-67cd55427e80,Two-Wheeler Mechanic,e02aa4f6-958e-4b08-b598-f7f355bcb2f2,Soft Skills & Communication,Repair and maintenance of motorcycles and scooters.,Beginner,2,6-8 months,High,High,Low,Declining,75,High,88,12,16-50,Class 8,Automotive,"₹12,000-25,000",Both,Two-Wheeler Mechanic specialist → Senior specialist → Manager → Leader,DGT,https://dgt.gov.in,2026-07-24,74,VST-NEEDS_REVIEW,[category_id]: mapped to Soft Skills & Communication
0e14691c-d784-4fe8-913c-c590b17ef606,Solar Panel Installation & Maintenance,e02aa4f6-958e-4b08-b598-f7f355bcb2f2,Soft Skills & Communication,"Installation, operation, and maintenance of solar photovoltaic systems.",Intermediate,3,4-6 months,High,Low,Medium,Growing,65,High,80,20,20-55,Class 10,Energy,"₹16,000-32,000",Both,Solar Panel Installation & Maintenance specialist → Senior specialist → Manager → Leader,IREDA,https://www.ireda.nise.res.in,2026-07-24,72,VST-NEEDS_REVIEW,[category_id]: mapped to Soft Skills & Communication
a0f7a5a5-15de-4111-8e0f-1d45cf9b3e65,Wind Energy Technician,e02aa4f6-958e-4b08-b598-f7f355bcb2f2,Soft Skills & Communication,Installation and maintenance of wind turbines and wind energy systems.,Advanced,4,6 months,Medium,Low,Medium,Growing,25,Low,75,25,22-50,Diploma,Energy,"₹22,000-45,000",Both,Wind Energy Technician specialist → Senior specialist → Manager → Leader,MNRE,https://mnre.gov.in,2026-07-24,63,VST-NEEDS_REVIEW,[category_id]: mapped to Soft Skills & Communication
b064e4d0-4bf8-485b-a951-0e0b3ee86f0c,Industrial Robotics,e02aa4f6-958e-4b08-b598-f7f355bcb2f2,Soft Skills & Communication,Programming and operation of industrial robots for manufacturing.,Advanced,4,5 months,High,Low,Medium,Growing,35,Low,70,30,22-50,Diploma,Manufacturing,"₹25,000-50,000",Urban,Industrial Robotics specialist → Senior specialist → Manager → Leader,FANUC,https://www.fanuc.co.in,2026-07-24,70,VST-NEEDS_REVIEW,[category_id]: mapped to Soft Skills & Communication
4fce613f-3b4b-4d3b-be7f-2bd80afb74f0,PLC Programming & Control Systems,e02aa4f6-958e-4b08-b598-f7f355bcb2f2,Soft Skills & Communication,Programming Programmable Logic Controllers and industrial automation systems.,Advanced,4,4 months,High,Low,Medium,Stable,40,Low,65,35,22-50,Diploma,Manufacturing,"₹22,000-45,000",Urban,PLC Programming & Control Systems specialist → Senior specialist → Manager → Leader,Siemens,https://www.siemens.com,2026-07-24,71,VST-NEEDS_REVIEW,[category_id]: mapped to Soft Skills & Communication
886dfc3b-8fa4-490e-973c-2c0e6f108590,Drone Piloting & Operations,e02aa4f6-958e-4b08-b598-f7f355bcb2f2,Soft Skills & Communication,"Operating and flying unmanned aerial systems for surveying, mapping, and delivery.",Intermediate,3,3-4 months,High,Low,Medium,Growing,60,Medium,70,30,18-50,Class 12,Services,"₹18,000-36,000",Both,Drone Piloting & Operations specialist → Senior specialist → Manager → Leader,DGCA,https://www.dgca.gov.in,2026-07-24,65,VST-NEEDS_REVIEW,[category_id]: mapped to Soft Skills & Communication
2ebdd281-e3f8-403c-a81d-878a7e16c745,IoT Systems Development,e02aa4f6-958e-4b08-b598-f7f355bcb2f2,Soft Skills & Communication,Designing and developing Internet of Things applications and devices.,Advanced,4,4-5 months,High,Low,High,Growing,55,Medium,70,30,22-45,B.Tech,Technology,"₹28,000-55,000",Urban,IoT Systems Development specialist → Senior specialist → Manager → Leader,ARM,https://www.arm.com,2026-07-24,68,VST-NEEDS_REVIEW,[category_id]: mapped to Soft Skills & Communication
232d5672-24d6-4570-8688-4592c87a3a47,Ethical Hacking & Penetration Testing,e02aa4f6-958e-4b08-b598-f7f355bcb2f2,Soft Skills & Communication,Security auditing and authorized hacking to identify and fix vulnerabilities.,Expert,6,4-6 months,High,Low,High,Growing,50,Medium,60,40,22-50,B.Tech,Technology,"₹35,000-75,000",Urban,Ethical Hacking & Penetration Testing specialist → Senior specialist → Manager → Leader,EC-Council,https://www.eccouncil.org,2026-07-24,70,VST-NEEDS_REVIEW,[category_id]: mapped to Soft Skills & Communication
adf0cd56-14f7-4f77-9d56-2bc906561d8a,AWS/Azure Cloud Administration,e02aa4f6-958e-4b08-b598-f7f355bcb2f2,Soft Skills & Communication,Cloud infrastructure management and administration using AWS or Azure.,Intermediate,4,3-4 months,High,Low,Medium,Growing,40,Low,65,35,22-50,Diploma,Technology,"₹30,000-60,000",Urban,AWS/Azure Cloud Administration specialist → Senior specialist → Manager → Leader,AWS,https://aws.amazon.com,2026-07-24,72,VST-NEEDS_REVIEW,[category_id]: mapped to Soft Skills & Communication
41c5ee54-daba-4a8c-963d-b5b5bb6088fd,Garment Manufacturing (Stitching),e02aa4f6-958e-4b08-b598-f7f355bcb2f2,Soft Skills & Communication,Commercial garment construction and sewing for apparel manufacturing.,Beginner,2,3-6 months,Medium,Medium,Low,Stable,65,High,90,10,18-55,Class 8,Textiles,"₹10,000-20,000",Both,Garment Manufacturing (Stitching) specialist → Senior specialist → Manager → Leader,CGTC,https://www.textilescommittee.nic.in,2026-07-24,68,VST-NEEDS_REVIEW,[category_id]: mapped to Soft Skills & Communication
cb0f6c81-5ec8-4024-b6d3-62b0a86ef255,Hotel Management & Front Office,e02aa4f6-958e-4b08-b598-f7f355bcb2f2,Soft Skills & Communication,"Guest services, reception operations, and front office management in hotels.",Intermediate,3,6 months,High,Low,Medium,Stable,30,Low,70,30,18-40,Class 12,Hospitality,"₹14,000-28,000",Urban,Hotel Management & Front Office specialist → Senior specialist → Manager → Leader,IHM,https://www.ihmindia.ac.in,2026-07-24,69,VST-NEEDS_REVIEW,[category_id]: mapped to Soft Skills & Communication
9e12587d-74b2-4945-a9dc-800f8cb801b5,Food Service & Culinary Arts,e02aa4f6-958e-4b08-b598-f7f355bcb2f2,Soft Skills & Communication,"Food preparation, cooking, and kitchen management in commercial settings.",Intermediate,3,6-12 months,High,Low,Low,Stable,70,High,85,15,18-50,Class 8,Hospitality,"₹14,000-30,000",Urban,Food Service & Culinary Arts specialist → Senior specialist → Manager → Leader,IHM,https://www.ihmindia.ac.in,2026-07-24,71,VST-NEEDS_REVIEW,[category_id]: mapped to Soft Skills & Communication
079afaaf-7ba5-4d3c-900f-1ed19563b90f,Warehouse Management,e02aa4f6-958e-4b08-b598-f7f355bcb2f2,Soft Skills & Communication,"Storage, inventory control, and efficient warehouse operations management.",Intermediate,3,3-4 months,High,Medium,High,Growing,35,Low,65,35,20-50,Class 10,Logistics,"₹16,000-32,000",Urban,Warehouse Management specialist → Senior specialist → Manager → Leader,E-commerce,https://www.nasscom.in,2026-07-24,66,VST-NEEDS_REVIEW,[category_id]: mapped to Soft Skills & Communication
f4c16bfc-5142-4915-bdb8-f2b71907a4cf,Supply Chain Logistics,e02aa4f6-958e-4b08-b598-f7f355bcb2f2,Soft Skills & Communication,"Coordination of goods movement, distribution, and supply chain optimization.",Intermediate,4,4 months,High,Low,High,Growing,40,Low,60,40,22-50,Diploma,Logistics,"₹20,000-40,000",Urban,Supply Chain Logistics specialist → Senior specialist → Manager → Leader,APEL,https://www.nasscom.in,2026-07-24,64,VST-NEEDS_REVIEW,[category_id]: mapped to Soft Skills & Communication
e5f2808b-7548-4b6f-b5c9-7a7ca579d26c,Nursing Assistant / Multipurpose Health Worker,e02aa4f6-958e-4b08-b598-f7f355bcb2f2,Soft Skills & Communication,Primary health care support and community health worker roles under health systems.,Intermediate,3,6-12 months,High,Low,Low,Growing,20,Low,75,25,18-45,Class 12,Healthcare,"₹14,000-28,000",Both,Nursing Assistant / Multipurpose Health Worker specialist → Senior specialist → Manager → Leader,MoHFW,https://www.nha.gov.in,2026-07-24,67,VST-NEEDS_REVIEW,[category_id]: mapped to Soft Skills & Communication
4bf4389d-7b81-4958-9ac4-f52382a8ba4d,Video Editing & Content Creation,e02aa4f6-958e-4b08-b598-f7f355bcb2f2,Soft Skills & Communication,"Video production, editing, and content creation for digital media.",Intermediate,3,3-4 months,High,Low,High,Growing,75,High,75,25,18-45,Class 12,Media,"₹15,000-32,000",Urban,Video Editing & Content Creation specialist → Senior specialist → Manager → Leader,YouTube,https://www.youtube.com,2026-07-24,65,VST-NEEDS_REVIEW,[category_id]: mapped to Soft Skills & Communication
