skill_id,skill_name,will_ai_replace,will_ai_assist,human_advantage,future_demand_with_ai,recommended_ai_tools,automation_potential,industry_adoption_rate,learning_priority,data_source,source_url,collection_date,confidence_score,verification_status,notes
c8bcd555-1120-4d12-90a7-336fe27250bc,Masonry & Brickwork,Partial,No,Robotic Bricklaying Emerging,Stable,"Robotic Construction, Drones",Medium,Very Low,Very Low,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
24328d37-c789-4100-9a1d-5ecfdf10f0e5,Plumbing,No,Yes,"IoT Leak Detection, Diagnostics",Stable,"Smart Plumbing Systems, IoT Sensors",Low,Very Low,Very Low,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
ef2400ab-5de1-4caa-ae37-f45fda926ea6,Carpentry,Partial,No,"CNC Routing, Automated Cutting",Stable,"CNC Machines, Robotic Woodworking",Medium,Very Low,Very Low,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
6e1063d5-3c2e-4c49-a8c9-59aa381554a7,Modern Farming Techniques,No,Yes,"Crop Monitoring, Yield Prediction",Growing,"Precision Agriculture AI, Drones",Medium,High,High,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
6b7f03f2-6f23-4fbb-9daf-b13d8b85d4b8,Precision Agriculture & IoT,No,Yes,"Data Analysis, Predictive Analytics",Growing,"AI Crop Models, Satellite Analysis",Low,Very High,Very High,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
28856a79-9005-4630-92b2-17ace673fe72,Organic Farming,No,Yes,"Pest Detection, Yield Optimization",Growing,Computer Vision for Monitoring,Low,Medium,Medium,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
e9a9d72b-0c80-4932-b907-ffc466d58717,Food Processing & Preservation,Partial,Yes,"Quality Control, Optimization",Growing,"Computer Vision QC, Process Automation",High,Medium,Medium,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
8fe1a461-1bb2-4a36-acc3-714cee61c56b,Bakery Production,Partial,Yes,"Production Optimization, Quality Control",Stable,"Computer Vision QC, Robotic Ovens",Medium,Low,Low,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
0149a497-5b7b-4883-a1dd-4bedda9ba9c0,Automobile Mechanic (Diesel/Petrol),Partial,Yes,"Diagnostic Systems, Predictive Maintenance",Declining,"AI Diagnostic Systems, Telematics",Medium,Medium,Low,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
37f56608-1c22-4e5d-8f4d-8b2f17fe0134,EV Technician,Partial,Yes,"Battery Diagnostics, Predictive Maintenance",Growing,"Battery Management AI, Telematics",Medium,Very High,Very High,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
11fac637-12d6-4a44-ba21-67cd55427e80,Two-Wheeler Mechanic,Partial,No,Limited AI Application,Declining,Basic Diagnostics,High,Very Low,Very Low,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
0e14691c-d784-4fe8-913c-c590b17ef606,Solar Panel Installation & Maintenance,Partial,Yes,"Performance Monitoring, Predictive Maintenance",Growing,"IoT Monitoring, Predictive Analytics",Medium,Medium,Medium,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
a0f7a5a5-15de-4111-8e0f-1d45cf9b3e65,Wind Energy Technician,Partial,Yes,"Predictive Maintenance, Load Optimization",Growing,"Wind Turbine AI, Predictive Analytics",Medium,Medium,Medium,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
b064e4d0-4bf8-485b-a951-0e0b3ee86f0c,Industrial Robotics,No,Yes,"Robot Programming, Optimization",Growing,"AI Robot Control, Simulation Software",Low,Very High,Very High,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
4fce613f-3b4b-4d3b-be7f-2bd80afb74f0,PLC Programming & Control Systems,No,Yes,"Control Logic Optimization, Predictive Control",Stable,"AI Control Logic, Simulation",Medium,High,High,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
886dfc3b-8fa4-490e-973c-2c0e6f108590,Drone Piloting & Operations,Partial,Yes,"Autonomous Flight, Path Optimization",Growing,"Autonomous Drones, AI Navigation",Medium,High,High,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
2ebdd281-e3f8-403c-a81d-878a7e16c745,IoT Systems Development,No,Yes,"System Design, Code Generation",Growing,"GitHub Copilot, AI Architects",Low,Very High,Very High,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
232d5672-24d6-4570-8688-4592c87a3a47,Ethical Hacking & Penetration Testing,No,Yes,"Vulnerability Detection, Analysis",Growing,"AI Security Scanners, Threat Detection",Low,Very High,Very High,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
adf0cd56-14f7-4f77-9d56-2bc906561d8a,AWS/Azure Cloud Administration,Partial,Yes,"Infrastructure Optimization, Monitoring",Growing,"Cloud AI Services, AutoScaling",High,Very High,Very High,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
41c5ee54-daba-4a8c-963d-b5b5bb6088fd,Garment Manufacturing (Stitching),Yes,No,Automation & Robotics,Stable,Robotic Stitching Machines,High,Medium,Low,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
cb0f6c81-5ec8-4024-b6d3-62b0a86ef255,Hotel Management & Front Office,Partial,Yes,"Chatbots, Guest Personalization",Growing,"AI Chatbots, Booking AI",Medium,High,High,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
9e12587d-74b2-4945-a9dc-800f8cb801b5,Food Service & Culinary Arts,Partial,Yes,"Menu Optimization, Order Prediction",Stable,"AI Demand Forecasting, Kitchen Display Systems",Low,Medium,Medium,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
079afaaf-7ba5-4d3c-900f-1ed19563b90f,Warehouse Management,Partial,Yes,"Inventory Optimization, Routing",Growing,"AI Inventory Systems, Robotic Sorters",High,Very High,Very High,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
f4c16bfc-5142-4915-bdb8-f2b71907a4cf,Supply Chain Logistics,Partial,Yes,"Route Optimization, Demand Forecasting",Growing,"AI Route Planning, Predictive Analytics",Medium,Very High,Very High,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
e5f2808b-7548-4b6f-b5c9-7a7ca579d26c,Nursing Assistant / Multipurpose Health Worker,No,Yes,"Health Monitoring, Admin Support",Growing,"Wearable AI, Health Monitoring Systems",Low,Medium,Medium,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
4bf4389d-7b81-4958-9ac4-f52382a8ba4d,Video Editing & Content Creation,No,Yes,"Auto-Editing, Background Removal, Upscaling",Growing,"Adobe Firefly, Descript, Runway ML",Low,Very High,Very High,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
