provider_id,provider_name,provider_type,jurisdiction,sample_locations_or_reach,skills_offered_summary,certification_pathways,official_website,data_source,source_url,collection_date,confidence_score,verification_status,notes
636dc4e3-fa5b-4298-9256-37afe517729a,NSDC -- National Skill Development Corporation,Government Skill Body,National,"Pan-India network; NSDC reports 343 training partners (for-profit and not-for-profit) operating training centres nationwide, including in Telangana and Andhra Pradesh.","Cross-sector vocational skilling funded/facilitated through NSDC's Public-Private-Partnership model; flagship delivery channels include Pradhan Mantri Kaushal Vikas Yojana (PMKVY) and Pradhan Mantri Kaushal Kendras (PMKK, see separate row).",NSDC/Sector Skill Council-aligned NSQF certifications delivered by its training-partner network; certificates are recognized under the PMKVY/NCVET framework.,https://nsdcindia.org/,"NSDC official website (nsdcindia.org/training-partner-0, nsdcindia.org/partners); Wikipedia profile of National Skill Development Corporation",https://nsdcindia.org/training-partner-0; https://nsdcindia.org/partners; https://en.wikipedia.org/wiki/National_Skill_Development_Corporation,2026-07-24,75,VST-NEEDS_REVIEW,
fc2661b9-51af-44fa-aa7b-16fdd4dacae8,Maruti Suzuki Training Academy (MSTA) -- NSDC Training Partner,NSDC Training Partner,National,"Headquartered in Gurgaon, Haryana; functions as an enterprise/dealer-network training academy for Maruti Suzuki employees, dealers and vendors nationwide, including in Telangana and Andhra Pradesh dealer networks.","Behavioral, technical and functional automotive-sector skilling for Maruti Suzuki's employee, dealer and vendor ecosystem; complements the separate Automobile Skill Enhancement Centres (ASEC) programme run in government ITIs (see corporate-academy row).",Maruti Suzuki/NSDC-aligned internal certification recognized within the Maruti Suzuki dealer and service ecosystem; feeds automotive-sector employability outcomes.,https://www.marutisuzuki.com/corporate/careers/training-academy,Maruti Suzuki official corporate website; Youth4work institutional profile,https://www.marutisuzuki.com/corporate/careers/training-academy; https://www.university.youth4work.com/Maruti-Suzuki-Training-Academy,2026-07-24,58,VST-NEEDS_REVIEW,"[sample_locations_or_reach]: MSTA's core campus is in Gurgaon (Haryana), outside Telangana/Andhra Pradesh; it is included here as a genuinely real, well-documented NSDC training-partner example (per task instructions to cite a real example partner) rather than a TG/AP-headquartered body -- its national dealer/vendor training reach does extend into both states."
c8aae477-e6ca-4527-9728-8268d56bc1e2,Pradhan Mantri Kaushal Kendra (PMKK) Network,PMKK Centre,National,"812 PMKKs allocated across 36 states/UTs and 707 districts nationally, with 738 established as of recent MSDE/NSDC reporting; within Telangana, PMKK centres are concentrated in Hyderabad, Warangal, Karimnagar and Nalgonda districts, run by private implementation partners contracted through NSDC.","Short-term (typically 300-600 hour) free skill-training batches under the Pradhan Mantri Kaushal Vikas Yojana (PMKVY), spanning multiple sector job roles at model, branded training centres.",NSQF-aligned Sector Skill Council certification issued on completion of PMKVY short-term training and assessment; searchable via the Skill India Digital Hub.,https://nsdcindia.org/pmkk,MSDE official PMKK scheme page; IMPRI India policy-update brief on PMKKs (2025); YouthPower India institutional listing for Hyderabad PMKK,https://www.msde.gov.in/schemes-initiatives/schemes-initiatives-through-nsdc/pradhan-mantri-kaushal-kendras-PMKK; https://www.impriindia.com/insights/policy-update/pradhan-mantri-kaushal-kendras-pmkks/; https://nsdcindia.org/pmkk,2026-07-24,66,VST-NEEDS_REVIEW,[sample_locations_or_reach]: an exact current count of PMKKs specifically within Telangana or Andhra Pradesh (as opposed to the national 812-allocated/738-established figures) was not found in a single authoritative source; the TG district concentration (Hyderabad/Warangal/Karimnagar/Nalgonda) is drawn from a secondary aggregator (YouthPower India) rather than an official state-wise MSDE table.
3e79068b-8181-4fe7-805e-efb84f8074d8,NPTEL -- National Programme on Technology Enhanced Learning,Online Platform,National,"Pan-India online; courses developed by 7 IITs (Bombay, Delhi, Kanpur, Kharagpur, Madras, Guwahati, Roorkee) plus IISc Bangalore, accessible to learners anywhere including Telangana and Andhra Pradesh.","Engineering, science, humanities and skill-based courses across disciplines; free enrollment with certification available for a nominal proctored-exam fee (~Rs 1,000).",NPTEL certificate (via SWAYAM's NC framework) after passing a proctored exam plus weekly assignments; over 500 Indian colleges reportedly grant academic credit transfer for completed NPTEL courses.,https://nptel.ac.in/,NPTEL official 'About Us' page; SWAYAM NPTEL course-provider listing,https://nptel.ac.in/aboutus; https://swayam.gov.in/nc_details/NPTEL,2026-07-24,78,VST-NEEDS_REVIEW,
9e4c4a98-2b62-4f57-b6bc-14147914eced,SWAYAM -- Study Webs of Active-Learning for Young Aspiring Minds,Online Platform,National,"Pan-India online; developed by AICTE (2016/2017 launch window) and hosts courses from IITs, IIMs, central universities and IGNOU, covering school (class 9+) through postgraduate and skill-based courses.","Over 2,000 free online courses across academic and vocational/skill subjects; up to 20% credit transfer permitted toward a learner's degree programme at participating Indian universities.",SWAYAM certificate issued on payment of a nominal certification fee and passing requirements; government-recognized and credit-transferable under UGC guidelines.,https://swayam.gov.in/,AICTE official SWAYAM bureau page; SWAYAM official website,https://www.aicte-india.org/bureaus/swayam; https://swayam.gov.in/,2026-07-24,78,VST-NEEDS_REVIEW,
f7a1e64c-fc9d-4b42-a2cf-914b30c36656,Siemens Centres of Excellence (COE) -- Andhra Pradesh (APSSDC Partnership),Corporate Academy,Andhra Pradesh,"Six Centres of Excellence established across Andhra Pradesh under a Siemens Industry Software-APSSDC agreement, embedded within the state's broader skill-centre/hub network spanning its 26 districts; exact city-level COE addresses were not confirmed in this research pass.","Automotive, Industrial Machinery, Industrial Automation, Aerospace & Defence, and Shipbuilding skilling, alongside broader Technical-Skill Development Institutes (t-SDIs) covering Automotive, Electrician, Electronics, Manufacturing & Fabrication, and Agro & Farm Machinery trades at polytechnic/ITI level.","Siemens-certified industry credentials in CAD/CAM/PLM and automation tooling, delivered alongside NSQF-aligned polytechnic/ITI qualifications through the APSSDC partnership.",https://press.siemens.com/in/en/pressrelease/siemens-drive-skill-gradation-across-industries-india,Siemens official press release on India skill-upgradation initiatives,https://press.siemens.com/in/en/pressrelease/siemens-drive-skill-gradation-across-industries-india,2026-07-24,58,VST-NEEDS_REVIEW,"[sample_locations_or_reach]: the Siemens press release confirms 'six Centers of Excellence' under the APSSDC agreement and lists the five-plus sector focus areas, but does not name the specific host towns/campuses; city-level locations could not be independently confirmed in this pass and are marked here as a gap rather than fabricated."
765507a5-ca9c-4f59-9a2d-6f776f1fe72f,Maruti Suzuki Automobile Skill Enhancement Centres (ASEC),Corporate Academy,National,31 ASEC locations set up inside government ITIs across India as of recent CSR reporting; part of a cumulative Maruti Suzuki vocational-training/CSR investment exceeding Rs 450 crore (as of FY2024-25). Specific Telangana/Andhra Pradesh ASEC sites were not individually confirmed in this pass.,"Automotive servicing and repair trades embedded in government ITI curricula: Mechanic Motor Vehicle (MMV), Auto Body Repair (ABR) and Auto Body Paint (ABP).","DGT/NCVET-recognized ITI trade certification (NTC) in the relevant automotive trade, delivered through the host government ITI with Maruti Suzuki-provided equipment, curriculum inputs and instructor training.",https://www.marutisuzuki.com/corporate/about-us/csr/iti-upgradation-sdd,Maruti Suzuki official CSR/ITI-upgradation page; CSRBox news coverage of the ASEC initiative,https://www.marutisuzuki.com/corporate/about-us/csr/iti-upgradation-sdd; https://csrbox.org/Impact/description/India_CSR_news_Maruti-to-set-up-auto-skill-enhancement-centres-at-15-ITIs_50,2026-07-24,58,VST-NEEDS_REVIEW,"[sample_locations_or_reach]: the 31-location figure and cumulative Rs 450 crore CSR investment are from Maruti Suzuki's own CSR reporting; an earlier CSRBox report cited 15 ITIs, suggesting the network expanded over time. No specific Telangana or Andhra Pradesh ASEC host-ITI was confirmed by name in this research pass."
9a6765cd-70e1-44be-9750-a1b959264824,CADD Centre Training Services,Private Institute,National,"Headquartered in Chennai, Tamil Nadu; operates a franchised network variously reported as 250+ to 400+ training centres across India (plus several other countries), including branches in Telangana and Andhra Pradesh cities, though an exact TG/AP branch list was not directly confirmed in this pass.","CAD/CAM/CAE software training -- AutoCAD, CATIA, SolidWorks, Revit and related design/engineering software tools for mechanical, civil, architecture and manufacturing applications.","CADD Centre's own ISO 9001:2015-certified proprietary certification, industry-recognized within CAD/design-services employers; not an NCVET/NSQF-awarded credential.",https://caddcentre.com/,CADD Centre official corporate website and network page,https://caddcentre.com/; https://caddcentreglobal.com/network.php,2026-07-24,55,VST-NEEDS_REVIEW,"[sample_locations_or_reach]: reported centre counts vary between sources (250+ vs 400+); specific Telangana/Andhra Pradesh branch locations were not individually verified in this research pass, though CADD Centre is confirmed to operate a large pan-India franchise network that plausibly includes both states."
64369762-7728-47f1-9bb0-22ff1f30cc57,NIIT,Private Institute,National,Pan-India footprint (NIIT reports presence in 30+ countries); operates NIIT Skilling/Career Development Centres and NIIT Foundation IT Foundation Centres in tier-3 towns nationally; specific Telangana/Andhra Pradesh centre locations were not individually confirmed in this pass.,"IT and digital skilling: Full Stack development, Data Science, Generative AI, Digital Marketing and Cybersecurity, alongside foundational digital-literacy and employability courses (personality development, communication, work etiquette) via NIIT Foundation centres.",NIIT's own industry-recognized certification tracks (e.g. in software development and digital skills); NIIT Foundation programmes are oriented toward NSDC/PMKVY-aligned livelihood outcomes for underserved learners.,https://www.niit.com/,NIIT official corporate website; NIIT Foundation official website,https://www.niit.com/india/training; https://niitfoundation.org/skill-development-centres/,2026-07-24,55,VST-NEEDS_REVIEW,"[sample_locations_or_reach]: specific Telangana/Andhra Pradesh NIIT or NIIT Foundation centre locations were not individually verified in this research pass; included as a genuine, long-established national private IT-training provider per the task's private-institute category."
6ff52f66-724f-4d4e-b7f4-e2b066a8f810,upGrad,Online Platform,National,"Pan-India online; reports over 10 million learners globally and 300+ hiring partners, accessible to learners in Telangana and Andhra Pradesh alongside the rest of India.","Over 500 courses and 50 specializations spanning AI, data science, marketing, business administration, cloud computing, management, technology, law and humanities.","upGrad-issued certificates plus university-partnered degrees (e.g. MBAs with Liverpool Business School, Golden Gate University, O.P. Jindal Global University) and industry micro-credentials.",https://www.upgrad.com/,upGrad official website and About Us page,https://www.upgrad.com/; https://www.upgrad.com/about/,2026-07-24,58,VST-NEEDS_REVIEW,
79ad7bb3-1d07-4823-809c-b40cb128a058,FutureSkills Prime (MeitY-NASSCOM),Online Platform,National,"Pan-India online platform, a public-private partnership between the Ministry of Electronics & Information Technology (MeitY) and NASSCOM, accessible to learners in Telangana and Andhra Pradesh.","Digital-technology upskilling in AI, data analytics, cloud computing, cybersecurity and other emerging tech areas, delivered with partners including Microsoft, AWS and Cisco.","FutureSkills Prime/partner-issued digital-technology certifications; government incentives (cashback up to Rs 14,500 reported) are available for eligible completions under the scheme.",https://www.futureskillsprime.in/,"FutureSkills Prime official website (About Us, Govt of India Incentives pages); Digital India (MeitY) initiative page; NIELIT official reference",https://www.futureskillsprime.in/about-us/; https://www.digitalindia.gov.in/initiative/futureskills-prime/; https://www.nielit.gov.in/content/future-skills-prime-0,2026-07-24,71,VST-NEEDS_REVIEW,
446beaa1-002d-4771-a86d-829e1c6f4a5d,Skill India Digital Hub (SIDH),Online Platform,National,"Pan-India online (single national government portal); accessible to learners, training providers and assessment agencies in Telangana and Andhra Pradesh as elsewhere.","Unified digital interface for skilling-course discovery, digital enrolment, assessment and certification; interlinks Udyam, e-Shram, National Career Service (NCS) and ASEEM portals for candidate, training-provider and employer services.",Digitally verifiable and portable NCVET/NSQF-aligned skill credentials issued across linked schemes (e.g. PMKVY) via the SIDH platform.,https://www.skillindiadigital.gov.in/,PIB (Press Information Bureau) official press release on Skill India Digital Hub; India.gov.in National Portal service listing,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2222120&reg=3&lang=1; https://www.india.gov.in/services/details/skill-india-digital-hub,2026-07-24,74,VST-NEEDS_REVIEW,"[official_website]: skillindiadigital.gov.in is a Government of India gov.in domain; direct WebFetch was blocked in this environment, so facts are drawn from the PIB press release and India.gov.in National Portal listing rather than a directly loaded page."
c498cb8c-dc18-4cab-9092-24afbf1f3029,NIELIT -- Hyderabad Centre,Government Skill Body,Telangana,"Hyderabad, Telangana; part of NIELIT's national network of regional/extension centres under the Ministry of Electronics & Information Technology (MeitY).","IT-literacy and electronics/IT courses including 'O' Level and 'A' Level programmes (DOEACC/NIELIT scheme), digital-literacy courses (e.g. CCC), and participation in national digital-skilling initiatives such as FutureSkills Prime.","NIELIT 'O'/'A'/'B'/'C' Level certificates, recognized by the Government of India as equivalent to certain foundational/degree-level qualifications in computer applications for specific purposes (e.g. government recruitment eligibility).",https://www.nielit.gov.in/hyderabad/index.php,NIELIT official website (Hyderabad centre page),https://www.nielit.gov.in/hyderabad/index.php,2026-07-24,73,VST-NEEDS_REVIEW,"[official_website]: nielit.gov.in is a Government of India gov.in domain; direct WebFetch was blocked in this environment, so facts rely on search-result snippets and general knowledge of the well-documented NIELIT O/A-Level scheme rather than a directly loaded Hyderabad-centre page."
feeb280d-3870-455e-9c4d-548fbffb1bc3,"National Academy of Construction (NAC), Hyderabad",Government Skill Body,Telangana,"Single flagship campus on a 46.46-acre site in Madhapur, Hitech City, Hyderabad, Telangana; established 1998 under the auspices of the (undivided) Andhra Pradesh state government and now situated in Telangana following the 2014 state bifurcation.","Construction-sector skilling and skill-upgradation for unemployed youth and existing workers (short-term, medium-term and long-term courses), plus postgraduate-level programmes in Project Management.",NAC's own diploma/certificate programmes in construction trades and project management; short-term construction-worker skilling outcomes are also linked to the state Building & Other Construction Workers Welfare Board ecosystem.,https://www.nac.edu.in/,Wikipedia profile of National Academy of Construction; Shiksha institutional listing; nacbocwb.cgg.gov.in (AP/Telangana Building & Other Construction Workers Welfare Board-linked domain),https://en.wikipedia.org/wiki/National_Academy_of_Construction; https://www.shiksha.com/college/nac-hyderabad-national-academy-of-construction-kothaguda-21840; https://nacbocwb.cgg.gov.in/,2026-07-24,58,VST-NEEDS_REVIEW,"[jurisdiction]: NAC was established in 1998 under combined (pre-bifurcation) Andhra Pradesh; its Hyderabad campus is now within Telangana post-2014 bifurcation, so it is classified here under Telangana jurisdiction while noting the institution's historical AP origin. [provider_type]: classified as Government Skill Body given its origin under state-government auspices and its linkage to a state welfare-board domain (nacbocwb.cgg.gov.in), though it functions operationally much like an autonomous training institute."
76f27b6e-0e08-4f36-ab40-39c8a15c307e,DGT -- Directorate General of Training,Government Skill Body,National,"Pan-India; DGT (Ministry of Skill Development & Entrepreneurship) is the central regulator/administrator for the national ITI network, NSTIs, and apprenticeship training, with jurisdiction covering Telangana and Andhra Pradesh ITIs/NSTIs alongside the rest of India.","Regulates and standardizes the Craftsmen Training Scheme (CTS) delivered by ITIs nationwide, the Craft Instructor Training Scheme (CITS) delivered by NSTIs, and apprenticeship training under the Apprentices Act, 1961.","DGT-administered National Trade Certificate (NTC) via the All India Trade Test (AITT), and National Apprenticeship Certificate (NAC) for completed apprenticeships; both recognized under the NCVET/NSQF framework.",https://dgt.gov.in/,DGT and NSTI institutional websites (via search snippets); cross-referenced against NSTI Hyderabad campus pages,https://dgt.gov.in/en/node/688; https://dgt.gov.in/en/node/686,2026-07-24,75,VST-NEEDS_REVIEW,"[official_website]: dgt.gov.in is a Government of India gov.in domain; direct WebFetch was blocked in this environment, so facts are drawn from search-engine snippets of DGT and NSTI subdomain pages rather than a directly loaded page."
