mapping_id,skill_id,skill_name,business_opportunity_name,mapping_type,role_or_application,data_source,source_url,collection_date,confidence_score,verification_status,notes
b24280b0-0eb7-46b3-a43b-ebf4abd8c659,8fe1a461-1bb2-4a36-acc3-714cee61c56b,Bakery Production,Bakery Business,Primary,Production,Manual cross-reference with Package004_Industries,Internal package mapping,2026-07-24,75,VST-NEEDS_REVIEW,[mapping_type]: Primary skill for Bakery Business
550bd991-9606-4072-9f91-92e317ebde12,0149a497-5b7b-4883-a1dd-4bedda9ba9c0,Automobile Mechanic (Diesel/Petrol),Automobile Service Center,Primary,Service,Manual cross-reference with Package004_Industries,Internal package mapping,2026-07-24,75,VST-NEEDS_REVIEW,[mapping_type]: Primary skill for Automobile Service Center
ebded77b-0e20-4386-bc15-f7bcc000a42a,11fac637-12d6-4a44-ba21-67cd55427e80,Two-Wheeler Mechanic,Two-Wheeler Service Center,Primary,Service,Manual cross-reference with Package004_Industries,Internal package mapping,2026-07-24,75,VST-NEEDS_REVIEW,[mapping_type]: Primary skill for Two-Wheeler Service Center
9f926515-90d6-4a93-88b7-95934bd5c5ee,0e14691c-d784-4fe8-913c-c590b17ef606,Solar Panel Installation & Maintenance,Solar Energy Installation,Primary,Installation,Manual cross-reference with Package004_Industries,Internal package mapping,2026-07-24,75,VST-NEEDS_REVIEW,[mapping_type]: Primary skill for Solar Energy Installation
e26c0c53-b2c1-4018-86ee-6bc420cea2cf,b064e4d0-4bf8-485b-a951-0e0b3ee86f0c,Industrial Robotics,Factory Automation Service,Primary,Implementation,Manual cross-reference with Package004_Industries,Internal package mapping,2026-07-24,75,VST-NEEDS_REVIEW,[mapping_type]: Primary skill for Factory Automation Service
fdcba6ef-d797-44ea-a1b7-ba13fa34fa57,4fce613f-3b4b-4d3b-be7f-2bd80afb74f0,PLC Programming & Control Systems,Factory Automation Service,Primary,Programming,Manual cross-reference with Package004_Industries,Internal package mapping,2026-07-24,75,VST-NEEDS_REVIEW,[mapping_type]: Primary skill for Factory Automation Service
095a4227-cbb2-42f5-87ec-661991d1ab42,886dfc3b-8fa4-490e-973c-2c0e6f108590,Drone Piloting & Operations,Aerial Surveying Service,Primary,Operations,Manual cross-reference with Package004_Industries,Internal package mapping,2026-07-24,75,VST-NEEDS_REVIEW,[mapping_type]: Primary skill for Aerial Surveying Service
c696044e-5310-4a33-a7aa-cb4d33a68101,2ebdd281-e3f8-403c-a81d-878a7e16c745,IoT Systems Development,Smart Farm IoT Platform,Primary,Development,Manual cross-reference with Package004_Industries,Internal package mapping,2026-07-24,75,VST-NEEDS_REVIEW,[mapping_type]: Primary skill for Smart Farm IoT Platform
3a48fdc2-b101-4d98-a039-804a29aa3e3c,232d5672-24d6-4570-8688-4592c87a3a47,Ethical Hacking & Penetration Testing,Cybersecurity Consulting,Primary,Security,Manual cross-reference with Package004_Industries,Internal package mapping,2026-07-24,75,VST-NEEDS_REVIEW,[mapping_type]: Primary skill for Cybersecurity Consulting
6c7ceb89-2b47-4f53-a734-f027616ed15e,adf0cd56-14f7-4f77-9d56-2bc906561d8a,AWS/Azure Cloud Administration,Cloud Infrastructure Company,Primary,Administration,Manual cross-reference with Package004_Industries,Internal package mapping,2026-07-24,75,VST-NEEDS_REVIEW,[mapping_type]: Primary skill for Cloud Infrastructure Company
0986ce7b-fa3e-4afa-9a7d-1cc527b349a5,41c5ee54-daba-4a8c-963d-b5b5bb6088fd,Garment Manufacturing (Stitching),Apparel Manufacturing Unit,Primary,Production,Manual cross-reference with Package004_Industries,Internal package mapping,2026-07-24,75,VST-NEEDS_REVIEW,[mapping_type]: Primary skill for Apparel Manufacturing Unit
5d10ffb4-dcbb-49f3-bd9f-035156bb7d7c,cb0f6c81-5ec8-4024-b6d3-62b0a86ef255,Hotel Management & Front Office,Hotel/Hospitality Business,Primary,Management,Manual cross-reference with Package004_Industries,Internal package mapping,2026-07-24,75,VST-NEEDS_REVIEW,[mapping_type]: Primary skill for Hotel/Hospitality Business
91cc78e4-9ecd-4876-9e71-ec7556c16106,9e12587d-74b2-4945-a9dc-800f8cb801b5,Food Service & Culinary Arts,Restaurant or Cloud Kitchen,Primary,Operations,Manual cross-reference with Package004_Industries,Internal package mapping,2026-07-24,75,VST-NEEDS_REVIEW,[mapping_type]: Primary skill for Restaurant or Cloud Kitchen
f1b58572-326b-4d78-a5fe-c99807c5b327,079afaaf-7ba5-4d3c-900f-1ed19563b90f,Warehouse Management,Warehousing Logistics Hub,Primary,Management,Manual cross-reference with Package004_Industries,Internal package mapping,2026-07-24,75,VST-NEEDS_REVIEW,[mapping_type]: Primary skill for Warehousing Logistics Hub
c99c64f6-a906-4bca-838d-a9190a1e8f8d,f4c16bfc-5142-4915-bdb8-f2b71907a4cf,Supply Chain Logistics,Distribution Network,Primary,Coordination,Manual cross-reference with Package004_Industries,Internal package mapping,2026-07-24,75,VST-NEEDS_REVIEW,[mapping_type]: Primary skill for Distribution Network
ff1af303-4c6c-428f-92ca-c95211cdb804,PENDING_VERIFICATION,MSME Entrepreneurship & Startup Launch,Any MSME Venture,Primary,Leadership,Manual cross-reference with Package004_Industries,Internal package mapping,2026-07-24,75,VST-NEEDS_REVIEW,[mapping_type]: Primary skill for Any MSME Venture
