certification_id,certification_name,issuing_body,certification_type,related_skill_names,nsqf_level,validity_period,recognition_level,cost_indicator,data_source,source_url,collection_date,confidence_score,verification_status,notes
af85073a-4250-4b43-acff-7d39132b0971,Google IT Support Professional Certificate,Google (delivered via Coursera),MOOC Completion Certificate,IT Support;Troubleshooting;Networking Basics;System Administration;Customer Service (IT),Not NSQF-aligned,No formal expiry (course-completion credential; does not expire),International,Paid — low to moderate (Coursera subscription approx. USD 49/month; financial aid available),Coursera / Google Career Certificates official program pages,https://www.coursera.org/professional-certificates/google-it-support; https://grow.google/certificates/it-support/,2026-07-24,62,VST-NEEDS_REVIEW,
be5aff6f-d8ed-4b75-af96-5a0795951ce6,Google Digital Garage - Fundamentals of Digital Marketing,Google,MOOC Completion Certificate,Digital Marketing;SEO Basics;Social Media Marketing;Online Advertising Fundamentals,Not NSQF-aligned,Lifetime (certificate does not expire),International,Free,Google Digital Garage program; third-party course review aggregator,https://learndigital.withgoogle.com/digitalgarage; https://quso.ai/resources/social-media-marketing-courses/google-digital-garage-fundamentals-of-digital-marketing,2026-07-24,65,VST-NEEDS_REVIEW,
04b53fd1-342f-4d05-92c7-f8c2d80bc61c,Autodesk Certified User (ACU) - AutoCAD,Autodesk (administered via Certiport),Vendor/Industry Certification,Computer-Aided Design (CAD);AutoCAD Drafting;2D/3D Modeling;Technical Drawing,Not NSQF-aligned,3 years,International,"Paid — moderate (exam fee approx. USD 90-150, varies by test center)",Certiport official Autodesk certification page; CAD training cost guide,https://certiport.pearsonvue.com/Certifications/Autodesk/Certifications/Overview.aspx; https://www.cadtrainingonline.com/ultimate-guide-to-autodesk-certification-validity/,2026-07-24,62,VST-NEEDS_REVIEW,
b5abe4ed-0a38-42cc-90ce-3d725b7ba0d0,Siemens Mechatronic Systems Certification Program (SMSCP) - Level 1 Assistant,Siemens (SITRAIN),Vendor/Industry Certification,Mechatronics;Industrial Automation;Machine Operation;Troubleshooting of Automated Systems,Not NSQF-aligned,PENDING_VERIFICATION,International,PENDING_VERIFICATION,Siemens official SITRAIN SMSCP program page,https://www.siemens.com/global/en/products/services/digital-enterprise-services/training-services/sitrain/smscp.html,2026-07-24,58,VST-NEEDS_REVIEW,"[nsqf_level]: no evidence found that SMSCP has a specific NSQF alignment for India-delivered programs; it is an internationally standardized Siemens program layered on the German dual-training model, so marked as a positive 'Not NSQF-aligned' finding rather than a gap. [validity_period]/[cost_indicator]: not published on the Siemens pages reviewed; figures vary by training partner/country."
3856f940-07ed-4ce9-8261-8c2baa360a8c,FANUC Certified Robot Operator / FANUC India Academy Training Certificate,FANUC (FANUC India Pvt. Ltd.; FANUC America CERT program with NOCTI),Vendor/Industry Certification,Industrial Robot Operation;Robot Programming;CNC Operation;ROBOGUIDE Simulation,Not NSQF-aligned,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,FANUC America CERT program page; FANUC India Academy page,https://www.fanucamerica.com/CERT-old; https://www.fanucindia.com/academy,2026-07-24,52,VST-NEEDS_REVIEW,"[recognition_level]: FANUC America's CERT program (Certified Robot Operator/Technician, developed with NOCTI) is a recognized US industry credential; sources reviewed did not confirm whether FANUC India's Academy training centers (Ahmedabad, Bengaluru, Chennai, Coimbatore, Manesar, Pune, Rajkot) issue the same NOCTI-backed certification or an internal completion certificate. [validity_period]/[cost_indicator]: not published on the pages reviewed."
b5a170b9-015d-4ec5-ad4e-ab0487f1bc9f,ABB Robotics Customer Certification - Basic Robot Programming (IRC5),ABB Robotics India Private Limited,Vendor/Industry Certification,Industrial Robot Programming;RAPID Programming Language;Robot Coordinate Systems;Flex Pendant Operation,Not NSQF-aligned,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,ABB Robotics India course booking page; ABB global Customer Certification page,https://app2.edoobox.com/en/ABBIN/IRC5%20Controller%20Training/Course.ed.c4eba2a77b46_3018400957.Basic%20Robot%20Programming%20Training; https://new.abb.com/service/abb-university/united-states/robotics/customer-certification,2026-07-24,50,VST-NEEDS_REVIEW,"[recognition_level]/[validity_period]/[cost_indicator]: ABB's global Customer Certification framework is documented, but India-specific certification validity, cost and formal recognition scope were not found in sources reviewed; the ABB India booking page describes course content/duration but not certification terms."
0a48483a-0ca9-4eba-b9ff-d9ccb6f11eaa,Schneider Electric EcoXpert Partner Certification,Schneider Electric,Vendor/Industry Certification,Building Automation;Power Management;EcoStruxure Platform;Energy Efficiency Systems,Not NSQF-aligned,PENDING_VERIFICATION,International,PENDING_VERIFICATION,Schneider Electric India EcoXpert partner program pages,https://www.se.com/in/en/partners/ecoxpert/; https://www.se.com/in/en/partners/ecoxpert/discover/certifications-and-specializations.jsp,2026-07-24,56,VST-NEEDS_REVIEW,[validity_period]/[cost_indicator]: this is a partner/organization-level certification program (individuals are certified as employees of an EcoXpert partner firm) rather than a standalone public individual credential; renewal terms and cost were not published on the pages reviewed.
793739d9-5020-470b-a4a9-612aa42cec07,PMKVY Short-Term Training (STT) Skill Certificate,"National Skill Development Corporation (NSDC) / Sector Skill Councils, under Ministry of Skill Development & Entrepreneurship (MSDE) - Pradhan Mantri Kaushal Vikas Yojana (PMKVY)",Government Skill Certificate,Sector-Specific Vocational Skills (varies by job role);Employability Skills;Entrepreneurship Basics,Level 5 and below (per PMKVY 4.0 Short Term Training guidelines),PENDING_VERIFICATION,National,"Free (fully government-funded; candidates may receive a monetary reward, e.g. approx. INR 8,000, on successful certification under PMKVY 4.0)",MSDE PMKVY 4.0 Guidelines; myScheme government scheme portal,https://www.msde.gov.in/static/uploads/2024/02/PMKVY-4.0-Guidelines_final-copy.pdf; https://www.myscheme.gov.in/schemes/pmkvy-stt,2026-07-24,78,VST-NEEDS_REVIEW,[validity_period]: not stated in the PMKVY 4.0 guidelines reviewed.
71fedc94-806d-41e7-b8ee-4581857b6068,NPTEL Certification (Course Completion + Proctored Exam),"National Programme on Technology Enhanced Learning (NPTEL) - joint initiative of IITs and IISc Bangalore, hosted on SWAYAM",MOOC Completion Certificate,Varies by course (Engineering;Science;Humanities;Management subjects),Not NSQF-aligned,No formal expiry (certificate does not expire); credit transfer via Academic Bank of Credits subject to a 7-year ABC validity window,National,"Paid — low (proctored exam fee approx. INR 1,000 per course)",NPTEL official site; SWAYAM NPTEL certification page,https://nptel.ac.in/aboutus; https://swayam.gov.in/nc_details/NPTEL,2026-07-24,76,VST-NEEDS_REVIEW,
f9da5f02-69c6-4fb1-bfb1-f9652cac4857,SWAYAM Certification (Course Completion + Proctored Exam),"Ministry of Education, Government of India (National Coordinators include UGC, AICTE, NPTEL, NCERT, NIOS, IGNOU)",MOOC Completion Certificate,Varies by course (School;Undergraduate;Postgraduate subjects across disciplines),Not NSQF-aligned,No formal expiry (certificate does not expire),National,"Paid — low (proctored exam fee approx. INR 1,000, with concessions for reserved categories)",SWAYAM official portal; SWAYAM exam process guide,https://swayam.gov.in/about; https://www.prosyllabus.com/hub/swayam-exam-process-certification-guide,2026-07-24,74,VST-NEEDS_REVIEW,
14685d86-bbd1-4906-ba19-5c931bdb1a70,Spoken Tutorial FOSS Certification (IIT Bombay),"Spoken Tutorial Project, IIT Bombay (National Mission on Education through ICT, Ministry of Education)",MOOC Completion Certificate,Free and Open Source Software (FOSS);Linux;LaTeX;PHP & MySQL;Java;C/C++ Programming;LibreOffice,Not NSQF-aligned,No formal expiry (certificate does not expire),National,Paid — low (approx. INR 299 + GST per course for students; approx. INR 699 + GST per course for faculty; some institutes report lower rates around INR 200/500 + GST; self-learning itself is free),Spoken Tutorial official process/verification pages,https://process.spoken-tutorial.org/index.php/Software-Training; https://spoken-tutorial.org/training/verify-ilwtest-certificate/,2026-07-24,66,VST-NEEDS_REVIEW,[cost_indicator]: fee figures vary slightly between the official process page and individual institute pages reviewed (INR 299/699 vs INR 200/500 + GST).
adda302c-f835-4e52-aa22-5f0c169dc568,Telangana Academy for Skill and Knowledge (TASK) Certification Program,"Telangana Academy for Skill and Knowledge (TASK), Government of Telangana (IT, Electronics & Communications Department)",Government Skill Certificate,Artificial Intelligence;Data Science & Machine Learning;Internet of Things (IoT);Cybersecurity;Robotic Process Automation (RPA);Blockchain;Java Programming,PENDING_VERIFICATION,PENDING_VERIFICATION,"State-level (Telangana); select tracks lead to internationally recognized vendor certifications (e.g. Oracle, Microsoft, IBM)","Free or discounted for enrolled students (full/partial fee waiver reported on certain vendor certification tracks such as Oracle, Microsoft, IBM)","TASK official website; Department of IT, Electronics & Communications, Government of Telangana",https://www.task.telangana.gov.in/; https://it.telangana.gov.in/initiatives/task/,2026-07-24,58,VST-NEEDS_REVIEW,[nsqf_level]/[validity_period]: TASK's own certification programs (as distinct from the vendor certifications it facilitates) do not have a publicly documented NSQF level or standard validity period in sources reviewed.
99315970-e032-4806-bbe7-859cff683a67,Andhra Pradesh State Skill Development Corporation (APSSDC) Certification,"Andhra Pradesh State Skill Development Corporation (APSSDC), Department of Skill Development & Training, Government of Andhra Pradesh",Government Skill Certificate,Sector-Specific Vocational Skills (varies by Qualification Pack);Employability Skills;Industry-Aligned Technical Skills,Level 1-8 (varies by Qualification Pack; APSSDC facilitates NSQF-aligned QP certification and assessment for enrolled engineering/polytechnic students),PENDING_VERIFICATION,State-level (Andhra Pradesh),PENDING_VERIFICATION,APSSDC official/district government page; National Skills Network article on APSSDC-NSDA NSQF workshop,https://tirupati.ap.gov.in/apssdc/; https://nationalskillsnetwork.in/apssdc-nsda-workshop/,2026-07-24,58,VST-NEEDS_REVIEW,"[validity_period]/[cost_indicator]: not stated in sources reviewed; APSSDC administers a mix of free government-aligned QP certifications and subsidized third-party vendor certifications (Google, Udacity, Amazon, Coursera, Autodesk)."
01fce423-4acc-4776-932d-05071d2cdf24,General Duty Assistant (GDA) - HSS/Q5101,Healthcare Sector Skill Council (HSSC),Vocational Qualification,Patient Care Support;Basic Nursing Assistance;Hospital Hygiene & Safety;First Aid,4,PENDING_VERIFICATION,National,Free (when delivered under government-funded schemes like PMKVY); Paid — moderate via private training institutes,NSDC job role listing; Healthcare Sector Skill Council Qualification Pack,https://nsdcindia.org/general-duty-assistant; https://hsdm.org.in/doc/qualification_packs/HSS_Q5101_v2.0.pdf,2026-07-24,74,VST-NEEDS_REVIEW,[validity_period]: not stated in sources reviewed.
90779554-c2f6-4b33-af6d-c537053f62b6,Trainee Beautician - BWS/Q0108,Beauty & Wellness Sector Skill Council (B&WSSC),Vocational Qualification,Beauty Treatments;Skin Care Services;Hair Styling Basics;Salon Hygiene Practices,PENDING_VERIFICATION,PENDING_VERIFICATION,National,PENDING_VERIFICATION,National Qualification Register (NQR) Qualification File; B&WSSC official site,https://www.nqr.gov.in/sites/default/files/Q-File_Trainee%20Beautician_V1.0.pdf; https://www.bwssc.in/,2026-07-24,64,VST-NEEDS_REVIEW,"[nsqf_level]/[validity_period]/[cost_indicator]: specific NSQF level, validity, and fee figures for this Qualification Pack were not confirmed in sources reviewed within the web search budget available."
5b76bf3a-7174-4c32-8fee-f61a04fd72e4,Tally Certification (Tally Prime / Tally.ERP9),Tally Education Pvt. Ltd. (part of Tally Solutions),Vendor/Industry Certification,Accounting Software;GST Compliance;Inventory Management;Bookkeeping,Not NSQF-aligned,Lifetime (no renewal or expiration),National,"Paid — moderate (approx. INR 8,000-20,000 depending on training provider)",Tally Academy authorized certification page; course-fee aggregator,https://www.tallyacademy.in/Tally-Certification.html; https://collegedunia.com/courses/tally/tally-certification,2026-07-24,58,VST-NEEDS_REVIEW,
815482fa-30cc-4462-86a1-4bf4e1226c46,Red Hat Certified System Administrator (RHCSA) via NSDC-Red Hat Skill India Partnership,"Red Hat, in partnership with National Skill Development Corporation (NSDC) / Skill India Digital Hub",Vendor/Industry Certification,Linux System Administration;Red Hat Enterprise Linux;Open Source Software;IT Infrastructure Management,PENDING_VERIFICATION,PENDING_VERIFICATION,International,PENDING_VERIFICATION,Red Hat official NSDC training and certification partnership page,https://www.redhat.com/en/services/training-and-certification/nsdc,2026-07-24,58,VST-NEEDS_REVIEW,"[nsqf_level]: Red Hat/NSDC state that 10 Red Hat Training & Certification courses on the Skill India Digital Hub are NSQF-aligned and eligible for academic credit, but the specific NSQF level applicable to the RHCSA pathway itself was not confirmed in sources reviewed. [validity_period]/[cost_indicator]: standard global RHCSA exam (EX200) validity/cost terms were not independently confirmed for the India/NSDC-partnered pathway."
2d6f2f18-4c3e-4481-8ee3-162639f611b6,NIELIT 'A' Level (Advanced Diploma in IT),National Institute of Electronics & Information Technology (NIELIT),Government Skill Certificate,Advanced Programming;Software Engineering;Database Management;Computer Networking;IT Systems Design,6,Registration valid for 5 years (candidate gets up to 6 examination cycles to complete within this window),National,PENDING_VERIFICATION,NIELIT official 'A' Level page; NIELIT NSQF-aligned courses annexure,https://www.nielit.in/content/%E2%80%99-level-it; https://www.nielit.gov.in/sites/default/files/general/NSQF_Annexure%20IX%20-%20Details%20of%20NSQF%20aligned%20NIELIT%20Courses.pdf,2026-07-24,76,VST-NEEDS_REVIEW,[cost_indicator]: fee schedule not confirmed in sources reviewed.
