mapping_id,industry_name,skill_id,skill_name,demand_level,required_skill_level,market_opportunity,data_source,source_url,collection_date,confidence_score,verification_status,notes
d2423966-8e10-4625-b307-d2a52d87906e,Power & Utilities,125cc855-d61d-4a47-b55f-47edfc2eb436,Industrial Electrician,High,Required,High,"NASSCOM Industry Skills Mapping, LinkedIn Jobs Report",https://www.nasscom.in/knowledge-center,2026-07-24,68,VST-NEEDS_REVIEW,[demand_level]: based on industry job openings and growth forecasts
0a365942-7447-4dfb-97b2-79acb14907c4,Power & Utilities,104601f6-e61e-40ce-9e13-11d359bea41c,Power Distribution Technician,High,Required,High,"NASSCOM Industry Skills Mapping, LinkedIn Jobs Report",https://www.nasscom.in/knowledge-center,2026-07-24,68,VST-NEEDS_REVIEW,[demand_level]: based on industry job openings and growth forecasts
723a9b61-8d20-4723-9679-ae5fb851373d,Power & Utilities,0e14691c-d784-4fe8-913c-c590b17ef606,Solar Panel Installation & Maintenance,Medium,Preferred,High,"NASSCOM Industry Skills Mapping, LinkedIn Jobs Report",https://www.nasscom.in/knowledge-center,2026-07-24,68,VST-NEEDS_REVIEW,[demand_level]: based on industry job openings and growth forecasts
ac7e8bb7-d640-461b-9280-5caf679ccca9,Agriculture & Agro-Processing,6e1063d5-3c2e-4c49-a8c9-59aa381554a7,Modern Farming Techniques,Medium,Preferred,Medium,"NASSCOM Industry Skills Mapping, LinkedIn Jobs Report",https://www.nasscom.in/knowledge-center,2026-07-24,68,VST-NEEDS_REVIEW,[demand_level]: based on industry job openings and growth forecasts
47cecf6d-766d-479a-8bfd-b8c605551aff,Agriculture & Agro-Processing,6b7f03f2-6f23-4fbb-9daf-b13d8b85d4b8,Precision Agriculture & IoT,Medium,Preferred,High,"NASSCOM Industry Skills Mapping, LinkedIn Jobs Report",https://www.nasscom.in/knowledge-center,2026-07-24,68,VST-NEEDS_REVIEW,[demand_level]: based on industry job openings and growth forecasts
16f28daa-ccea-4a05-b5ab-94065972db61,Food & Beverage Manufacturing,e9a9d72b-0c80-4932-b907-ffc466d58717,Food Processing & Preservation,High,Required,High,"NASSCOM Industry Skills Mapping, LinkedIn Jobs Report",https://www.nasscom.in/knowledge-center,2026-07-24,68,VST-NEEDS_REVIEW,[demand_level]: based on industry job openings and growth forecasts
f080824b-84db-4ee3-a659-75af149d8dc2,Food & Beverage Manufacturing,8fe1a461-1bb2-4a36-acc3-714cee61c56b,Bakery Production,Medium,Required,Medium,"NASSCOM Industry Skills Mapping, LinkedIn Jobs Report",https://www.nasscom.in/knowledge-center,2026-07-24,68,VST-NEEDS_REVIEW,[demand_level]: based on industry job openings and growth forecasts
99f185fa-aeaa-4fe7-bf11-ae2837ddb6b4,Automotive Repair & Services,0149a497-5b7b-4883-a1dd-4bedda9ba9c0,Automobile Mechanic (Diesel/Petrol),High,Required,High,"NASSCOM Industry Skills Mapping, LinkedIn Jobs Report",https://www.nasscom.in/knowledge-center,2026-07-24,68,VST-NEEDS_REVIEW,[demand_level]: based on industry job openings and growth forecasts
757d6a7c-66ab-4c66-b106-1df922a6a3ef,Automotive Repair & Services,11fac637-12d6-4a44-ba21-67cd55427e80,Two-Wheeler Mechanic,High,Required,High,"NASSCOM Industry Skills Mapping, LinkedIn Jobs Report",https://www.nasscom.in/knowledge-center,2026-07-24,68,VST-NEEDS_REVIEW,[demand_level]: based on industry job openings and growth forecasts
2d544088-3d06-42ea-962c-12a193cc9734,Automotive Repair & Services),37f56608-1c22-4e5d-8f4d-8b2f17fe0134,EV Technician,Medium,Preferred,High,"NASSCOM Industry Skills Mapping, LinkedIn Jobs Report",https://www.nasscom.in/knowledge-center,2026-07-24,68,VST-NEEDS_REVIEW,[demand_level]: based on industry job openings and growth forecasts
8e5dad9a-0c87-4072-b04f-9eba6e400435,Renewable Energy,0e14691c-d784-4fe8-913c-c590b17ef606,Solar Panel Installation & Maintenance,High,Required,High,"NASSCOM Industry Skills Mapping, LinkedIn Jobs Report",https://www.nasscom.in/knowledge-center,2026-07-24,68,VST-NEEDS_REVIEW,[demand_level]: based on industry job openings and growth forecasts
0902aa13-7c20-4b8f-a3e0-4546782e1e6f,Renewable Energy,a0f7a5a5-15de-4111-8e0f-1d45cf9b3e65,Wind Energy Technician,Medium,Required,Medium,"NASSCOM Industry Skills Mapping, LinkedIn Jobs Report",https://www.nasscom.in/knowledge-center,2026-07-24,68,VST-NEEDS_REVIEW,[demand_level]: based on industry job openings and growth forecasts
7708e181-af24-4824-b042-8295c98a5b23,Textiles & Apparel,41c5ee54-daba-4a8c-963d-b5b5bb6088fd,Garment Manufacturing (Stitching),High,Required,High,"NASSCOM Industry Skills Mapping, LinkedIn Jobs Report",https://www.nasscom.in/knowledge-center,2026-07-24,68,VST-NEEDS_REVIEW,[demand_level]: based on industry job openings and growth forecasts
435c1c25-a257-4598-8f5c-4b85c702a207,Hospitality & Tourism,cb0f6c81-5ec8-4024-b6d3-62b0a86ef255,Hotel Management & Front Office,High,Required,High,"NASSCOM Industry Skills Mapping, LinkedIn Jobs Report",https://www.nasscom.in/knowledge-center,2026-07-24,68,VST-NEEDS_REVIEW,[demand_level]: based on industry job openings and growth forecasts
a5d0d6e9-464d-4ae8-b4e5-c9e6b2443ac7,Hospitality & Tourism,9e12587d-74b2-4945-a9dc-800f8cb801b5,Food Service & Culinary Arts,High,Required,High,"NASSCOM Industry Skills Mapping, LinkedIn Jobs Report",https://www.nasscom.in/knowledge-center,2026-07-24,68,VST-NEEDS_REVIEW,[demand_level]: based on industry job openings and growth forecasts
a87ce393-cc38-4739-a127-de3b0116a131,Logistics & E-commerce,079afaaf-7ba5-4d3c-900f-1ed19563b90f,Warehouse Management,High,Required,High,"NASSCOM Industry Skills Mapping, LinkedIn Jobs Report",https://www.nasscom.in/knowledge-center,2026-07-24,68,VST-NEEDS_REVIEW,[demand_level]: based on industry job openings and growth forecasts
2b82a3d7-8b58-4366-a912-85fbc7d3521c,Logistics & E-commerce,f4c16bfc-5142-4915-bdb8-f2b71907a4cf,Supply Chain Logistics,High,Required,High,"NASSCOM Industry Skills Mapping, LinkedIn Jobs Report",https://www.nasscom.in/knowledge-center,2026-07-24,68,VST-NEEDS_REVIEW,[demand_level]: based on industry job openings and growth forecasts
d468d696-c5eb-4051-8ee7-e351621f1f85,Healthcare Services,e5f2808b-7548-4b6f-b5c9-7a7ca579d26c,Nursing Assistant / Multipurpose Health Worker,High,Required,High,"NASSCOM Industry Skills Mapping, LinkedIn Jobs Report",https://www.nasscom.in/knowledge-center,2026-07-24,68,VST-NEEDS_REVIEW,[demand_level]: based on industry job openings and growth forecasts
ee3622f2-bb5d-4c28-9f60-a3d73f341efc,Media & Content Creation,4bf4389d-7b81-4958-9ac4-f52382a8ba4d,Video Editing & Content Creation,High,Required,High,"NASSCOM Industry Skills Mapping, LinkedIn Jobs Report",https://www.nasscom.in/knowledge-center,2026-07-24,68,VST-NEEDS_REVIEW,[demand_level]: based on industry job openings and growth forecasts
6fba2e3e-e148-49e6-88c8-c20dc86cfc20,Retail & Commerce,PENDING_VERIFICATION,Business Analyst,Medium,Preferred,Medium,"NASSCOM Industry Skills Mapping, LinkedIn Jobs Report",https://www.nasscom.in/knowledge-center,2026-07-24,68,VST-NEEDS_REVIEW,[demand_level]: based on industry job openings and growth forecasts
