source_id,organisation,url,collector,parser,frequency,trust_score,last_collection,next_collection,active,consuming_packages,consuming_dataset_count,rows_citing_source,observed_confidence_avg,trust_rationale,frequency_rationale,pipeline_rationale
src-011,Official college website; aggregator cross-check,https://aimsrchittoor.edu.in/ ; https://mbbscouncil.com/listing/apollo-institute-of-medical-sciences-and-research-chittoor/,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,55,2026-07-22,2027-07-22,TRUE,Package003_Healthcare,1,1,88.0,Tier 3 - other public source,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-012,AISHE Official Website,https://aishe.gov.in/about-survey/,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,85,2026-07-22,2027-07-22,TRUE,Package002_Education,1,1,86.0,Tier 1 - Government of India domain,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-013,APEDA (Agricultural and Processed Food Products Export Development Authority),https://apeda.gov.in/,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,SEMI_ANNUAL,85,2026-07-25,2027-01-23,TRUE,Package005_Agriculture;Package008_MSME,3,8,69.9,Tier 1 - Government of India domain,Market platform coverage and participation expand continuously,HTML portal page; figures are published in tables
src-014,"WebSearch aggregated (APIIC official site, Wikipedia via search summary, Business Standard, Dhruva Industrial Consultants)",https://apiic.in/; https://en.wikipedia.org/wiki/Andhra_Pradesh_Industrial_Infrastructure_Corporation,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,55,2026-07-22,2027-07-22,TRUE,Package004_Industries,1,1,72.0,Tier 3 - other public source,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-015,"WebSearch aggregated (APIS official site, IndiaFilings, StartupIndia state policy page, StartupFlora, StartupGrantsIndia)",https://apis.ap.gov.in/; https://www.startupindia.gov.in/content/sih/en/state-startup-policies/Andhra-Pradesh-state-policy.html,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,QUARTERLY,85,2026-07-22,2026-10-21,TRUE,Package004_Industries,1,1,75.0,Tier 1 - Government of India domain,Scheme parameters change with budget cycles and notifications,HTML portal page; figures are published in tables
src-016,WebSearch,https://apmc.ap.gov.in/about.html; https://apmc.ap.gov.in/,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,85,2026-07-21,2027-07-21,TRUE,Package003_Healthcare,1,1,83.0,Tier 1 - Government of India domain,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-017,ABB Robotics India course booking page; ABB global Customer Certification page,https://app2.edoobox.com/en/ABBIN/IRC5%20Controller%20Training/Course.ed.c4eba2a77b46_3018400957.Basic%20Robot%20Programming%20Training; https://new.abb.com/service/abb-university/united-states/robotics/customer-certification,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,55,2026-07-24,2027-07-24,TRUE,Package006_Skills_and_Training,1,1,50.0,Tier 3 - other public source,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-018,WebSearch,https://appharmacycouncil.gov.in/site/history; https://appharmacycouncil.gov.in/site/aboutus; https://pci.gov.in/en/all-state-pharma-council/andhra-pradesh/,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,85,2026-07-22,2027-07-22,TRUE,Package003_Healthcare,1,1,88.0,Tier 1 - Government of India domain,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-019,WebSearch cross-check (multiple secondary sources),https://apsche.ap.gov.in/,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,85,2026-07-22,2027-07-22,TRUE,Package002_Education,1,1,76.0,Tier 1 - Government of India domain,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-020,WebSearch,https://apvvp.ap.gov.in/; https://en.wikipedia.org/wiki/Andhra_Pradesh_Vaidya_Vidhana_Parishad; https://hmfw.ap.gov.in/apvvp-org.aspx,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,85,2026-07-21,2027-07-21,TRUE,Package003_Healthcare,1,1,82.0,Tier 1 - Government of India domain,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-021,AWS,https://aws.amazon.com,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,55,2026-07-24,2027-07-24,TRUE,Package006_Skills_and_Training,1,1,72.0,Tier 3 - other public source,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-022,"bapatla.ap.gov.in; Medindia (WebSearch snippets only, no direct fetch)",https://bapatla.ap.gov.in/public-utility/area-hospital-bapatla/,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,85,2026-07-22,2027-07-22,TRUE,Package003_Healthcare,1,1,80.0,Tier 1 - Government of India domain,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-023,ISRO/NRSC Bhuvan; ICAR,https://bhuvan.nrsc.gov.in/,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,85,2026-07-24,2027-07-24,TRUE,Package005_Agriculture,1,1,64.0,Tier 1 - Government of India domain,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-024,"Aggregator search snippets (blog.rmgoe.org, medicalneetug.com)",https://blog.rmgoe.org/government-medical-college-nagarkurnool/,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,55,2026-07-22,2027-07-22,TRUE,Package003_Healthcare,1,1,85.0,Tier 3 - other public source,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-025,WebSearch aggregation (secondary/portal cross-check; official site inaccessible via WebFetch this session),https://braou.ac.in/; https://en.wikipedia.org/wiki/Dr._B.R._Ambedkar_Open_University,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,75,2026-07-22,2027-07-22,TRUE,Package002_Education,1,1,80.0,Tier 2 - academic institution,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-026,WebSearch cross-check (multiple secondary education portals),https://bse.telangana.gov.in/,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,85,2026-07-22,2027-07-22,TRUE,Package002_Education,1,1,73.0,Tier 1 - Government of India domain,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-027,CADD Centre official corporate website and network page,https://caddcentre.com/; https://caddcentreglobal.com/network.php,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,55,2026-07-24,2027-07-24,TRUE,Package006_Skills_and_Training,1,1,55.0,Tier 3 - other public source,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-028,Secondary reporting on AP POLYCET 2026 counselling data; CollegeDekho/Collegedunia aggregation,https://careeredutech.com/ap-polycet-2026-result-rank-card-counselling/,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,55,2026-07-24,2027-07-24,TRUE,Package006_Skills_and_Training,1,1,56.0,Tier 3 - other public source,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-029,Healthcare Sector Skill Council (HSSC) General Duty Assistant Qualification Pack (HSS/Q5101); CBSE vocational curriculum documentation of the GDA job role,https://cbseacademic.nic.in/web_material/Curriculum21/publication/srsec/813_Health_Care.pdf; https://www.healthcare-ssc.in/pdf/GDA_FG_Revise.pdf; https://thecareergalaxy.com/blog/general-duty-assistant-course,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,85,2026-07-24,2027-07-24,TRUE,Package006_Skills_and_Training,1,1,60.0,Tier 1 - Government of India domain,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-030,Central Drugs Standard Control Organisation,https://cdsco.gov.in/,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,SEMI_ANNUAL,85,2026-07-25,2027-01-23,TRUE,Package008_MSME,2,2,66.5,Tier 1 - Government of India domain,Compliance thresholds and product lists are revised periodically,HTML portal page; figures are published in tables
src-031,WebSearch,https://cdsco.gov.in/opencms/opencms/en/Home/; https://en.wikipedia.org/wiki/Central_Drugs_Standard_Control_Organisation; https://dghs.mohfw.gov.in/cdsco.php,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,SEMI_ANNUAL,85,2026-07-22,2027-01-20,TRUE,Package003_Healthcare,1,1,85.0,Tier 1 - Government of India domain,Compliance thresholds and product lists are revised periodically,HTML portal page; figures are published in tables
src-032,Certiport official Autodesk certification page; CAD training cost guide,https://certiport.pearsonvue.com/Certifications/Autodesk/Certifications/Overview.aspx; https://www.cadtrainingonline.com/ultimate-guide-to-autodesk-certification-validity/,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,55,2026-07-24,2027-07-24,TRUE,Package006_Skills_and_Training,1,1,62.0,Tier 3 - other public source,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-033,Certiport official program page; aggregator discussion of India pricing,https://certiport.pearsonvue.com/Certifications/Microsoft/MOS/Overview.aspx; https://www.quora.com/How-much-does-Microsoft-Office-specialist-certification-cost-in-India,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,55,2026-07-24,2027-07-24,TRUE,Package006_Skills_and_Training,1,1,55.0,Tier 3 - other public source,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-034,Official APSCHE CETS EAPCET portal cross-checked via Testbook and Collegedunia,https://cets.apsche.ap.gov.in/EAPCET/,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,85,2026-07-21,2027-07-21,TRUE,Package002_Education,1,1,88.0,Tier 1 - Government of India domain,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-035,Official APSCHE CETS LAWCET portal cross-checked via Shiksha and Collegedunia,https://cets.apsche.ap.gov.in/LAWCET/,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,85,2026-07-21,2027-07-21,TRUE,Package002_Education,1,1,86.0,Tier 1 - Government of India domain,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-036,WebSearch aggregation summarizing MoHFW/CGHS material via secondary sources,https://cghs.mohfw.gov.in/ ; https://www.starhealth.in/health-insurance/central-government-health-scheme/ ; https://services.india.gov.in/service/detail/central-government-health-scheme-cghs,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,QUARTERLY,85,2026-07-22,2026-10-21,TRUE,Package003_Healthcare,1,1,87.0,Tier 1 - Government of India domain,Scheme parameters change with budget cycles and notifications,HTML portal page; figures are published in tables
src-037,WebSearch,https://chfw.telangana.gov.in/; https://nhm.gov.in/index4.php?lang=1&level=0&linkid=60&lid=73; https://nhsrcindia.org/state/telangana,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,85,2026-07-22,2027-07-22,TRUE,Package003_Healthcare,1,1,84.0,Tier 1 - Government of India domain,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-038,chittoor.ap.gov.in; Mappls; Medindia (via WebSearch snippets),https://chittoor.ap.gov.in/public-utility-category/hospitals/,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,85,2026-07-22,2027-07-22,TRUE,Package003_Healthcare,1,1,82.0,Tier 1 - Government of India domain,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-039,Coconut Development Board,https://coconutboard.gov.in/,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,85,2026-07-24,2027-07-24,TRUE,Package005_Agriculture,1,1,74.0,Tier 1 - Government of India domain,Agronomic guidance is stable between research cycles,HTML portal page; figures are published in tables
src-040,Ministry of Commerce and Industry,https://commerce.gov.in/,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,85,2026-07-25,2027-07-25,TRUE,Package005_Agriculture;Package008_MSME,8,13,67.7,Tier 1 - Government of India domain,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-041,"ICAR, Ministry of Agriculture",https://cooperatives.nic.in/,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,85,2026-07-24,2027-07-24,TRUE,Package005_Agriculture,1,1,75.0,Tier 1 - Government of India domain,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-042,Central Pollution Control Board,https://cpcb.nic.in/,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,SEMI_ANNUAL,85,2026-07-25,2027-01-23,TRUE,Package008_MSME,3,5,67.4,Tier 1 - Government of India domain,Compliance thresholds and product lists are revised periodically,HTML portal page; figures are published in tables
src-043,"WebSearch aggregation of platform and industry-blog sources; WebSearch aggregation of live-commerce, video-editing-AI and market-size sources (2026-07-24 pass)",https://creatorflow.so/blog/instagram-live-shopping/; https://support.google.com/youtube/answer/12257682; https://www.businesstoday.in/technology/news/story/youtube-shopping-now-in-india-affiliate-program-to-expand-creator-revenue-streams-451645-2024-10-26; https://www.ceoinsightsindia.com/news/meesho-s-new-platform-enhances-shopping-experience-with-influencerled-content-nwid-20063.html; https://sklegalconsultancy.in/instagram-shops-india-2025-seller-success/; https://www.capcut.com/tools/ai-video-editor; https://www.mordorintelligence.com/industry-reports/india-social-commerce-market; https://aitechnews.in/ai-tools-indian-small-business-2026-whatsapp-gst-automation/,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,55,2026-07-22; 2026-07-24 (v2 enrichment),PENDING_VERIFICATION,TRUE,Package004_Industries,1,1,76.0,Tier 3 - other public source,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-044,Central Silk Board; Ministry of Textiles,https://csb.gov.in/,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,85,2026-07-24,2027-07-24,TRUE,Package005_Agriculture,1,1,72.0,Tier 1 - Government of India domain,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-045,CSC e-Governance Services India Limited,https://csc.gov.in/,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,85,2026-07-25,2027-07-25,TRUE,Package007_Government_Schemes,1,1,72.0,Tier 1 - Government of India domain,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-046,Official CBSE CTET portal,https://ctet.nic.in/,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,85,2026-07-21,2027-07-21,TRUE,Package002_Education,1,1,88.0,Tier 1 - Government of India domain,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-047,Official NTA CUET(UG) portal,https://cuet.nta.nic.in/,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,85,2026-07-21,2027-07-21,TRUE,Package002_Education,1,1,90.0,Tier 1 - Government of India domain,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-048,Department of Animal Husbandry & Dairying,https://dahd.nic.in/,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,85,2026-07-24,2027-07-24,TRUE,Package005_Agriculture,3,5,68.2,Tier 1 - Government of India domain,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-049,Directorate of Cashewnut and Cocoa Development,https://dccd.gov.in/,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,85,2026-07-24,2027-07-24,TRUE,Package005_Agriculture,2,2,69.5,Tier 1 - Government of India domain,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-050,WebSearch,https://dciindia.gov.in/; https://www.pib.gov.in/PressReleasePage.aspx?PRID=2242888&reg=48&lang=2; https://telanganatoday.com/centre-replaces-dental-council-of-india-with-national-dental-commission,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,QUARTERLY,85,2026-07-22,2026-10-21,TRUE,Package003_Healthcare,1,1,86.0,Tier 1 - Government of India domain,Scheme parameters change with budget cycles and notifications,HTML portal page; figures are published in tables
src-051,"WebSearch aggregated (dcmsme.gov.in course/scheme PDFs, Grainmart News, IndiaFilings)",https://dcmsme.gov.in/Courses-Details..pdf; https://www.dcmsme.gov.in/schemes/mtr_Guidelines.pdf; https://www.indiafilings.com/learn/tool-rooms-msme-technology-centres,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,85,2026-07-24,2027-07-24,TRUE,Package006_Skills_and_Training,1,1,72.0,Tier 1 - Government of India domain,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-052,DDU-GKY portal; Ministry of Rural Development,https://ddugky.gov.in/,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,85,2026-07-25,2027-07-25,TRUE,Package007_Government_Schemes,1,1,74.0,Tier 1 - Government of India domain,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-053,WebSearch cross-check (depwd.gov.in listed among results; corroborated by depwd.maharashtra.gov.in mirror),https://depwd.gov.in/en/scholarship/,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,85,2026-07-22,2027-07-22,TRUE,Package002_Education,1,1,86.0,Tier 1 - Government of India domain,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-054,Google,https://developer.android.com,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,55,2026-07-24,2027-07-24,TRUE,Package006_Skills_and_Training,1,1,70.0,Tier 3 - other public source,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-055,Department of Food and Public Distribution,https://dfpd.gov.in/,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,85,2026-07-25,2027-07-25,TRUE,Package007_Government_Schemes,2,2,73.0,Tier 1 - Government of India domain,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-056,"WebSearch aggregation: iti.directory listing and DGE (Directorate General of Employment, Govt. of India) district employment exchange node",https://dge.gov.in/dge/node/10110,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,85,2026-07-24,2027-07-24,TRUE,Package006_Skills_and_Training,1,1,68.0,Tier 1 - Government of India domain,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-057,"WebSearch aggregation: iti.directory Nalgonda listing; DGE (Directorate General of Employment, Govt. of India) district employment exchange node for the adjoining Govt. ITI (Girls) campus",https://dge.gov.in/dge/node/10116,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,85,2026-07-24,2027-07-24,TRUE,Package006_Skills_and_Training,1,1,62.0,Tier 1 - Government of India domain,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-058,"WebSearch aggregation: DGE (Directorate General of Employment, Govt. of India) district employment exchange node; iti.telangana.gov.in Annexure-I ITI list (surfaced in search, not directly fetched)",https://dge.gov.in/dge/node/10125,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,85,2026-07-24,2027-07-24,TRUE,Package006_Skills_and_Training,1,1,66.0,Tier 1 - Government of India domain,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-059,"WebSearch aggregation: DGE (Directorate General of Employment, Govt. of India) district employment exchange node; Justdial listing",https://dge.gov.in/dge/node/10136,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,85,2026-07-24,2027-07-24,TRUE,Package006_Skills_and_Training,1,1,64.0,Tier 1 - Government of India domain,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-060,DGT,https://dgt.gov.in,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,85,2026-07-24,2027-07-24,TRUE,Package006_Skills_and_Training,1,9,75.2,Tier 1 - Government of India domain,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-061,"WebSearch aggregated (DGT official site, National Skill Training Institute pages, Wikipedia summary via search)",https://dgt.gov.in/en/CTS; https://dgt.gov.in/en/CITS; https://en.wikipedia.org/wiki/Industrial_training_institute,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,85,2026-07-24,2027-07-24,TRUE,Package006_Skills_and_Training,1,1,80.0,Tier 1 - Government of India domain,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-062,"WebSearch aggregated (DGT official site, World Bank project page, Karnataka/Maharashtra state skill department pages)",https://dgt.gov.in/en/Strive; http://projects.worldbank.org/P156867?lang=en; https://www.dvet.gov.in/en/schemes/strive/,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,85,2026-07-24,2027-07-24,TRUE,Package006_Skills_and_Training,1,1,68.0,Tier 1 - Government of India domain,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-063,DGT and NSTI institutional websites (via search snippets); cross-referenced against NSTI Hyderabad campus pages,https://dgt.gov.in/en/node/688; https://dgt.gov.in/en/node/686,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,85,2026-07-24,2027-07-24,TRUE,Package006_Skills_and_Training,1,1,75.0,Tier 1 - Government of India domain,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-064,DGT/NCVT Fitter CTS 2.0 Qualification File; DGT presentation on apprenticeship progression options,https://dgt.gov.in/sites/default/files/2023-12/Fitter_CTS2.0_NSQF-4_0.pdf; https://dgt.gov.in/sites/default/files/v2%20DGT%20long%20presentation%20(2)_0%20(1).pdf,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.pdf_parser.PDFParser,ANNUAL,85,2026-07-24,2027-07-24,TRUE,Package006_Skills_and_Training,1,1,70.0,Tier 1 - Government of India domain,No faster cadence justified by observed change rate,URL serves a PDF document
