organisation,distinct_urls,consuming_packages,rows_citing,trust_score
Official CBSE CTET portal,1,Package002_Education,1,85
Official NTA CUET(UG) portal,1,Package002_Education,1,85
"WebSearch aggregated (dcmsme.gov.in course/scheme PDFs, Grainmart News, IndiaFilings)",1,Package006_Skills_and_Training,1,85
DDU-GKY portal; Ministry of Rural Development,1,Package007_Government_Schemes,1,85
WebSearch cross-check (depwd.gov.in listed among results; corroborated by depwd.maharashtra.gov.in mirror),1,Package002_Education,1,85
Google,1,Package006_Skills_and_Training,1,55
"WebSearch aggregation: iti.directory listing and DGE (Directorate General of Employment, Govt. of India) district employment exchange node",1,Package006_Skills_and_Training,1,85
"WebSearch aggregation: iti.directory Nalgonda listing; DGE (Directorate General of Employment, Govt. of India) district employment exchange node for the adjoining Govt. ITI (Girls) campus",1,Package006_Skills_and_Training,1,85
"WebSearch aggregation: DGE (Directorate General of Employment, Govt. of India) district employment exchange node; iti.telangana.gov.in Annexure-I ITI list (surfaced in search, not directly fetched)",1,Package006_Skills_and_Training,1,85
"WebSearch aggregation: DGE (Directorate General of Employment, Govt. of India) district employment exchange node; Justdial listing",1,Package006_Skills_and_Training,1,85
"WebSearch aggregated (DGT official site, National Skill Training Institute pages, Wikipedia summary via search)",1,Package006_Skills_and_Training,1,85
"WebSearch aggregated (DGT official site, World Bank project page, Karnataka/Maharashtra state skill department pages)",1,Package006_Skills_and_Training,1,85
DGT and NSTI institutional websites (via search snippets); cross-referenced against NSTI Hyderabad campus pages,1,Package006_Skills_and_Training,1,85
DGT/NCVT Fitter CTS 2.0 Qualification File; DGT presentation on apprenticeship progression options,1,Package006_Skills_and_Training,1,85
DGT/NCVT Welder (Fabrication & Fitting) CTS 2.0 Qualification File; ITI trade guides describing self-employment outcomes,1,Package006_Skills_and_Training,1,85
"State land records portals (Dharani, Webland)",1,Package007_Government_Schemes,1,85
WebSearch aggregate summary referencing dme.telangana.gov.in hospital list,1,Package003_Healthcare,1,85
DPIIT; Department of Science and Technology,1,Package007_Government_Schemes,1,85
WebSearch aggregation summarizing AP govt/health department material via secondary sources,1,Package003_Healthcare,1,85
Department of Science and Technology,1,Package008_MSME,1,85
"WebSearch aggregation: dte.telangana.gov.in college-information listing snippet (id=628), Shiksha, Careers360",1,Package006_Skills_and_Training,1,85
Official TGCHE EAPCET portal cross-checked via Testbook and Careers360,1,Package002_Education,1,75
Official TGCHE EdCET portal cross-checked via Careers360 news,1,Package002_Education,1,75
Vikaspedia best-practices profile of TASK; Telangana IT Department (it.telangana.gov.in) initiative page; Telangana Web Directory,1,Package006_Skills_and_Training,1,55
Wikipedia; neetadmission.in,1,Package003_Healthcare,1,45
WebSearch cross-check (Wikipedia and secondary education portals - conflicting dates found),1,Package002_Education,1,45
"WebSearch cross-check (schools360.in office-relocation report, Wikipedia)",1,Package002_Education,1,45
"WebSearch cross-check (CISCE self-description, secondary sources)",1,Package002_Education,1,45
"WebSearch aggregated (Wikipedia summary via search, apnaafatehpur.in, bharatmadad.com, projectsarthi.com)",1,Package006_Skills_and_Training,1,45
HexaHealth; ZoomInfo; Wikipedia; gmcsecunderabad.org (via search snippet),1,Package003_Healthcare,1,45
"Wikipedia (Government General Hospital, Nizamabad); gmcnzb.org",1,Package003_Healthcare,1,45
Wikipedia; Anantapur district government portal,1,Package003_Healthcare,1,45
gmcatp.edu.in; Wikipedia (via WebSearch snippets),1,Package003_Healthcare,1,45
rims-kadapa.in; Wikipedia (via WebSearch snippets),1,Package003_Healthcare,1,45
Wikipedia; official college website; Nizamabad district government portal,1,Package003_Healthcare,1,45
Aggregator college-listing sites via WebSearch snippets,1,Package003_Healthcare,1,45
Wikipedia; official college website; aggregator cross-check,1,Package003_Healthcare,1,45
Wikipedia; indcareer.com,1,Package003_Healthcare,1,45
Wikipedia; official college website (kmcwgl.com),1,Package003_Healthcare,1,45
amc.edu.in; visakhapatnam.ap.gov.in; Wikipedia (via WebSearch snippets),1,Package003_Healthcare,1,45
Wikipedia; justmbbs.com,1,Package003_Healthcare,1,45
kurnoolmedicalcollege.ac.in; Wikipedia; kurnool.ap.gov.in (via WebSearch snippets),1,Package003_Healthcare,1,45
Wikipedia; institution group website,1,Package003_Healthcare,1,45
Wikipedia profile of National Academy of Construction; Shiksha institutional listing; nacbocwb.cgg.gov.in (AP/Telangana Building & Other Construction Workers Welfare Board-linked domain),1,Package006_Skills_and_Training,1,45
Mappls; multiple hospital directories; Wikipedia,1,Package003_Healthcare,1,45
"Wikipedia; Medindia; Yappe; hospital directories (WebSearch snippets only, no direct fetch)",1,Package003_Healthcare,1,45
HexaHealth; Medindia; Wikipedia (Siddhartha Medical College) via WebSearch snippets,1,Package003_Healthcare,1,45
Wikipedia; official college website (smcvja.in),1,Package003_Healthcare,1,45
Wikipedia (Sri_Venkateswara_Medical_College),1,Package003_Healthcare,1,45
Wikipedia; tirupati.ap.gov.in (via WebSearch snippets),1,Package003_Healthcare,1,45
"WebSearch aggregation of government-scheme-adjacent secondary sources (direct .gov.in fetch blocked this session); WebSearch aggregation of FPO-registration, ICAR AI-advisory and ONDC-growth sources (2026-07-24 pass)",1,Package004_Industries,1,85
"Cross-checked via Careers360, Collegedekho and Manabadi; conducting body confirmed via apsbtet.ap.gov.in",1,Package002_Education,1,55
"Aggregated secondary reporting (Careers360, JNTU Fast Result, SmartUpdate24) citing SBTET Telangana POLYCET participating-college data",1,Package006_Skills_and_Training,1,55
"Cross-checked via Careers360, Shiksha and Collegedekho (application portal cets.apsche.ap.gov.in)",1,Package002_Education,1,55
WebSearch aggregation summarizing ESIC official material via secondary sources,1,Package003_Healthcare,1,85
NTA Official Website,1,Package002_Education,1,85
Official NTA CUET(PG) exam portal,1,Package002_Education,1,85
Official NTA ICAR exam portal,1,Package002_Education,1,85
WebSearch cross-check (fellowship.tribal.gov.in and tribal.nic.in listed among results; scholarships.gov.in PDF guideline also found),1,Package002_Education,1,85
Government e-Marketplace,1,Package008_MSME,1,85
gmceluru.ap.gov.in; Medindia (via WebSearch snippets),1,Package003_Healthcare,1,85
gmckhammam.org (via WebSearch snippet),1,Package003_Healthcare,1,55
gmckothagudem.org (via WebSearch snippet); collnod.com,1,Package003_Healthcare,1,55
gmcnagarkurnool.org (via WebSearch snippet),1,Package003_Healthcare,1,55
gmcrajamahendravaram.ap.gov.in; mbbscouncil.com (via WebSearch snippets),1,Package003_Healthcare,1,85
"gmcrajannasircilla.org; targetstudy.com; studentkhabri.com (WebSearch snippets only, no direct fetch)",1,Package003_Healthcare,1,55
gmcsiddipet.org (via WebSearch snippet),1,Package003_Healthcare,1,55
gmcvikarabad.ac.in (via WebSearch snippet),1,Package003_Healthcare,1,75
"gmcvizianagaram.ap.gov.in (via WebSearch snippet, including official hospital profile PDF found in results)",1,Package003_Healthcare,1,85
gmcyadadri.org (via WebSearch snippet),1,Package003_Healthcare,1,55
WebSearch aggregation: institution's own domain (govtpolykalikiri.ac.in) surfaced in results; corroborated by list.polytechniccolleges.in,1,Package006_Skills_and_Training,1,75
"Institution's official Telangana DTE-hosted website (via search snippet); corroborated by Wikipedia and education-portal listings (CollegeDekho, UniversityKart)",1,Package006_Skills_and_Training,1,85
gunturmedicalcollege.edu.in; Wikipedia; Medindia (via WebSearch snippets),1,Package003_Healthcare,1,55
Hugging Face,1,Package006_Skills_and_Training,1,55
Official TGCHE ICET portal cross-checked via Shiksha and MBAUniverse,1,Package002_Education,1,75
Official CAT portal (iimcat.ac.in) cross-checked via MBAUniverse and Careers360,1,Package002_Education,1,75
Indian Spices Board,1,Package005_Agriculture,1,85
"WebSearch aggregated (IndiaFilings, Wikipedia via search summary, HMDA, Directorate of Town and Country Planning Telangana)",1,Package004_Industries,1,85
WebSearch aggregation: iti.directory Adilabad listing,1,Package006_Skills_and_Training,1,55
WebSearch aggregation: iti.directory Karimnagar listing,1,Package006_Skills_and_Training,1,55
WebSearch aggregation: iti.directory Khammam-region listing (institute located in Kothagudem town),1,Package006_Skills_and_Training,1,55
WebSearch aggregation: iti.directory Kurnool listing; universitydunia.com listing,1,Package006_Skills_and_Training,1,55
WebSearch aggregation: iti.directory Mahbubnagar-region listing (established 01-Jan-1986 per source),1,Package006_Skills_and_Training,1,55
"WebSearch aggregation: targetstudy.com, iti.directory (NTR district), ampletrails.com vocational-training-provider listing",1,Package006_Skills_and_Training,1,55
WebSearch aggregation: iti.directory Adilabad listing; universitydunia.com listing,1,Package006_Skills_and_Training,1,55
WebSearch aggregation: iti.directory Karimnagar-region listing (institute located in Peddapalli town),1,Package006_Skills_and_Training,1,55
"Telangana State ITI Admissions Prospectus 2025, Government of Telangana",1,Package006_Skills_and_Training,1,85
jangaon.telangana.gov.in (via WebSearch snippet),1,Package003_Healthcare,1,85
Official JEE Advanced portal (jeeadv.ac.in) and Information Brochure PDF,1,Package002_Education,1,75
Official NTA portal; cross-checked via Careers360 and CollegeSearch,1,Package002_Education,1,85
"WebSearch cross-check (jnanabhumi.ap.gov.in UPSC empanelment form found directly; corroborated by indiascholarships.in, cleartax.in, rtiwala.com, sarkariyojana.com)",1,Package002_Education,1,85
"WebSearch cross-check (jnboverseas1.apcfss.in listed among results as the dedicated official portal; corroborated by wemakescholars.com, studentcover.in, fly.finance)",1,Package002_Education,1,55
WebSearch aggregation of platform/industry-trend sources; WebSearch aggregation of creator-success-story and video-editing-AI sources (2026-07-24 pass),1,Package004_Industries,1,55
WebSearch aggregate summary referencing Kamareddy district facilities,1,Package003_Healthcare,1,85
kamareddy.telangana.gov.in (via WebSearch snippet),1,Package003_Healthcare,1,85
karimnagar.telangana.gov.in (via WebSearch snippet),1,Package003_Healthcare,1,85
"WebSearch aggregated (KIP Financial Consultancy, Unique Group, eUdyamAadhar)",1,Package004_Industries,1,55
"WebSearch aggregated (KP IAS Academy, TGFPS, Dhruva Industrial Consultants, India SME Forum)",1,Package004_Industries,1,55
"WebSearch aggregated (KP IAS Academy, MSME Council, Dhruva Industrial Consultants)",1,Package004_Industries,1,55
krishna.ap.gov.in; gmcmachilipatnam-ap-gov.com (via WebSearch snippets),1,Package003_Healthcare,1,85
Aggregator search snippets; Krishna district government portal,1,Package003_Healthcare,1,85
Ministry of Labour and Employment,1,Package007_Government_Schemes,1,85
"Cross-checked via Toprankers, Shiksha and Careers360 Law (application portal lawcet.tgche.ac.in)",1,Package002_Education,1,55
"Cross-checked via Shiksha, Careers360 Law and Indcareer (application portal cets.apsche.ap.gov.in/LAWCET)",1,Package002_Education,1,55
Google Digital Garage program; third-party course review aggregator,1,Package006_Skills_and_Training,1,55
mahabubabad.telangana.gov.in (via WebSearch snippet),1,Package003_Healthcare,1,85
WebSearch aggregation summarizing MoHFW official material and secondary/aggregator sources,1,Package003_Healthcare,1,85
India Meteorological Department; Gramin Krishi Mausam Sewa,1,Package005_Agriculture,1,85
"Aggregator search snippets (edufever, mbbscouncil)",1,Package003_Healthcare,1,55
"WebSearch aggregation: institution's own domain (mbtsgovtpolyguntur.ac.in) surfaced in results; corroborated by Shikshan.org, Shiksha, StudyGuideIndia",1,Package006_Skills_and_Training,1,75
Official ESIC college website,1,Package003_Healthcare,1,85
"Aggregator search snippets (medicalneetpg.com, medicalneetug.com)",1,Package003_Healthcare,1,55
Careers360 / aggregator search snippets,1,Package003_Healthcare,1,55
Ministry of Information and Broadcasting,1,Package008_MSME,1,85
Ministry of Minority Affairs,1,Package007_Government_Schemes,1,85
MNRE,1,Package006_Skills_and_Training,1,85
Food Processing Board,1,Package005_Agriculture,1,85
Ministry of Housing and Urban Affairs,1,Package007_Government_Schemes,1,85
MSME-DI Hyderabad District Industrial Profile; KVIC/PMEGP guidelines (kviconline.gov.in); PMFME scheme portal (pmfme.mofpi.gov.in); Government of Telangana MSME Policy Order; AP Food Processing Policy 4.0; ASVR Engineering and SFT Machinery (namkeen/snack machinery suppliers); Institute for Industrial Development (IID) namkeen course listing; Mondaq coverage of FSSAI's Oct 2025 spice-manufacturing enforcement sweep; DigitalDawn.in e-commerce-platform comparison (2026),1,Package004_Industries,1,85
International Organization for Standardization; NABCB,1,Package008_MSME,1,55
ESDM,1,Package006_Skills_and_Training,1,62
Official NBEMS/NBE portals (natboard.edu.in / nbe.edu.in) cross-checked via Testbook and Careers360 news coverage,1,Package002_Education,1,55
Official NBEMS portal (natboard.edu.in) cross-checked via Careers360 news,1,Package002_Education,1,55
"Official NBEMS NEET-SS exam portal cross-checked via Doctutorials, Shiksha and Careers360 Medicine",1,Package002_Education,1,55
AICTE official website; National Skills Network summary of AICTE skill-development initiatives; Assam Engineering Institute scheme page as illustrative implementation,1,Package006_Skills_and_Training,1,55
NCERT Official Website,1,Package002_Education,1,85
NCTE Official Website,1,Package002_Education,1,85
NCVET Official Website,1,Package002_Education,1,85
"Retailers Association's Skill Council of India (RASCI) Qualification Packs, adopted by NCVET (Office Order: Adoption of 20 Qualifications of RASCI)",1,Package006_Skills_and_Training,1,85
"NCVET Final RPL Guidelines, 2023",1,Package006_Skills_and_Training,1,85
Official NTA NEET portal,1,Package002_Education,1,85
Aggregator search snippets (neetadmission.in),1,Package003_Healthcare,1,55
"neetsupport.com; rmgoe.org; medak.telangana.gov.in (WebSearch snippets only, no direct fetch)",1,Package003_Healthcare,1,55
Careers360 news reporting on AP government's Rs 100 crore ITI/polytechnic/skill-college modernization announcement (Nov 2023) and AP PM-SETU/Vizag ITI Cluster coverage (2026),1,Package006_Skills_and_Training,1,55
"WebSearch cross-check (multiple secondary aggregators: buddy4study.com, vajiramandravi.com, careers360.com)",1,Package002_Education,1,55
"WebSearch aggregated (Careers360, TMS, sarkariyojana.com, Uttarakhand Skill Development Dept portal, PIB)",1,Package006_Skills_and_Training,1,55
"WebSearch cross-check (careers360.com news article, buddy4study.com, schemesinindia.in - consistent figures)",1,Package002_Education,1,55
"PMFME Model DPR - Maize Flour Mill Unit (NIFTEM, hosted under MoFPI's PMFME scheme); PMFME Model DPR - Wheat Flour Mill Unit (Rajasthan PMFME SNA hosting the same central model DPR); IndiaMART flour-mill/atta-chakki machinery supplier directory listings; PMFME Rajasthan SNA food-processing machinery supplier list",1,Package004_Industries,1,75
NIOS Official Website (cross-checked with WebSearch summary),1,Package002_Education,1,75
NPTEL,1,Package006_Skills_and_Training,1,75
ICAR-NPTEL,1,Package005_Agriculture,1,75
NSDC/Skill India Digital Hub course listings; Media & Entertainment Skills Council (MESC) Digital Marketing Manager Qualification File and Model Curriculum,1,Package006_Skills_and_Training,1,85
Apparel Made-ups & Home Furnishing Sector Skill Council (AMHSSC) Self Employed Tailor NSQF Qualification File,1,Package006_Skills_and_Training,1,85
Tourism and Hospitality Skill Council (THSC) Qualification Packs for Food & Beverage Service roles,1,Package006_Skills_and_Training,1,85
NSAP portal; Ministry of Rural Development,1,Package007_Government_Schemes,1,85
Ministry of Skill Development and Entrepreneurship,1,Package007_Government_Schemes,1,55
"NSDC PMKVY course page; DGT/NCVT syllabus; Telangana State Electrical Licensing Regulations 2018 summaries (Electrical4u, Indiankanoon); PIB PM Vishwakarma trade list; Barefoot College institutional profile (Grokipedia, Emotive Program); EV charging market reports (Forvis Mazars, IBEF, Elektree); BEE Star Rating programme materials; Urban Company earnings data (Indeed.com, Al Jazeera); rooftop solar PV installer training providers (ERC India, TPSDI, kWatt Solutions)",1,Package004_Industries,1,55
NSDC job role listing; Careers360 course listing,1,Package006_Skills_and_Training,1,55
NSDC job role listing; Capital Goods Skill Council Qualification Pack,1,Package006_Skills_and_Training,1,55
NSDC job role listing; National Qualification Register (NQR) Qualification File,1,Package006_Skills_and_Training,1,55
NSDC job role listing; Healthcare Sector Skill Council Qualification Pack,1,Package006_Skills_and_Training,1,55
NSDC official website - National Occupational Standards and Model Curriculum listings,1,Package006_Skills_and_Training,1,55
"NSDC/PMKVY course pages; DGT/NCVT ITI syllabus portals; PMMY official guidance; PM Vishwakarma official trade list (PIB); Sulekha/Justdial/Urban Company platform descriptions; Urban Company IPO earnings disclosures (Outlook Business, Indeed.com); Al Jazeera investigative report on Urban Company gig economics; India Construction Industry Report 2025 (Businesswire/ResearchAndMarkets); Knight Frank Skilled Employment in Construction report; RO Care India company materials",1,Package004_Industries,1,55
"NSDC official website (nsdcindia.org/training-partner-0, nsdcindia.org/partners); Wikipedia profile of National Skill Development Corporation",1,Package006_Skills_and_Training,1,55
"PMEGP/KVIC project-profile case summary; NSDC PMKVY course page; DGT/NCVT ITI syllabus; APSSDC course listing; Ador Welding company materials; peer-reviewed occupational-health studies on Indian welders (PMC); CNC/laser-cutting service providers (Fast Cutting India, Weldarc India, Cyclotron Industries)",1,Package004_Industries,1,55
"DGT and NSTI institutional websites (nstiwhyderabad.dgt.gov.in, nstihyderabad2.dgt.gov.in, dgt.gov.in) via search snippets",1,Package006_Skills_and_Training,1,85
DPIIT; ONDC,1,Package008_MSME,1,55
Ministry of Panchayati Raj,1,Package007_Government_Schemes,1,85
"peddapalli.telangana.gov.in; thehansindia.com (WebSearch snippets only, no direct fetch)",1,Package003_Healthcare,1,85
Official TGCHE PGECET portal cross-checked via Careerpower and Sarvgyan,1,Package002_Education,1,75
PMAY-U portal; Ministry of Housing and Urban Affairs,1,Package007_Government_Schemes,1,85
PMAY-G portal; Ministry of Rural Development,1,Package007_Government_Schemes,1,85
PMFME portal; Ministry of Food Processing Industries,1,Package007_Government_Schemes,1,85
National Health Authority; PM-JAY portal,1,Package007_Government_Schemes,1,85
PMJDY scheme portal; Department of Financial Services,1,Package007_Government_Schemes,1,85
PM-KUSUM portal; Ministry of New and Renewable Energy,1,Package007_Government_Schemes,1,85
PMMVY portal; Ministry of Women and Child Development,1,Package007_Government_Schemes,1,85
PM POSHAN portal; Ministry of Education,1,Package007_Government_Schemes,1,85
PM Surya Ghar portal; Ministry of New and Renewable Energy,1,Package007_Government_Schemes,1,85
PM Vishwakarma portal,1,Package007_Government_Schemes,1,85
Official SBTET Telangana POLYCET portal cross-checked via Sakshi Education and Collegedunia,1,Package002_Education,1,85
Aggregator search snippets; institution group website,1,Package003_Healthcare,1,55
Siemens official press release on India skill-upgradation initiatives,1,Package006_Skills_and_Training,1,55
Spoken Tutorial official process/verification pages,1,Package006_Skills_and_Training,1,55
IT-ITeS Sector Skill Council (NASSCOM) Technical Support Executive/Engineer Qualification Packs; MeitY-cleared cloud computing Qualification Packs referenced in IT-ITeS SSC emerging-technology offerings,1,Package006_Skills_and_Training,1,55
IT-ITeS Sector Skill Council (NASSCOM) Technical Support Executive and Technical Support Engineer Qualification Packs and Participant Handbooks,1,Package006_Skills_and_Training,1,55
"WebSearch aggregated (rural.gov.in press release, PIB press release, DD India feature)",1,Package006_Skills_and_Training,1,85
Samagra Shiksha portal; Ministry of Education,1,Package007_Government_Schemes,1,85
SCERT AP Portal / secondary news source on 2025 office relocation,1,Package002_Education,1,85
SCERT Telangana Portal (via WebSearch cross-check),1,Package002_Education,1,85
