mapping_id,business_id,business_name,raw_material_name,material_class,package005_crop_id,package005_crop_name,supplier_type,availability,seasonality,price_volatility,data_source,source_url,collection_date,confidence_score,verification_status,notes
rmap-014,mb-008,CNC Machining Job Shop,Alloy Steel and Aluminium Bar Stock,Metal,PENDING_VERIFICATION,PENDING_VERIFICATION,Steel distributor / principal-supplied,High,Year-round,High,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,69,VST-NEEDS_REVIEW,"Input is not an agricultural crop, so no Package005 reference applies"
rmap-015,mb-009,Sheet Metal Fabrication Unit,MS and GI Sheet,Metal,PENDING_VERIFICATION,PENDING_VERIFICATION,Steel distributor,High,Year-round,High,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,69,VST-NEEDS_REVIEW,"Input is not an agricultural crop, so no Package005 reference applies"
rmap-016,mb-010,Tool and Die Making Unit,"Tool Steel (D2, H13)",Metal,PENDING_VERIFICATION,PENDING_VERIFICATION,Specialist steel distributor / import,Medium,Year-round,Medium,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,"Input is not an agricultural crop, so no Package005 reference applies"
rmap-017,mb-011,Industrial Automation Integration,"PLC, Drives, Sensors and Cabling",Electronic Component,PENDING_VERIFICATION,PENDING_VERIFICATION,OEM authorised distributor,Medium,Year-round,Medium,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,65,VST-NEEDS_REVIEW,"Input is not an agricultural crop, so no Package005 reference applies"
rmap-018,mb-012,Electrical Panel Manufacturing,"Switchgear, Busbar and Enclosures",Electrical Component,PENDING_VERIFICATION,PENDING_VERIFICATION,OEM authorised distributor,High,Year-round,Medium,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,67,VST-NEEDS_REVIEW,"Input is not an agricultural crop, so no Package005 reference applies"
rmap-019,mb-013,Foundry (Small Scale),Pig Iron and Foundry Scrap,Metal,PENDING_VERIFICATION,PENDING_VERIFICATION,Scrap dealer / mini steel plant,High,Year-round,Very High,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,65,VST-NEEDS_REVIEW,"Input is not an agricultural crop, so no Package005 reference applies"
rmap-020,mb-021,Solar Panel Assembly Unit,"Solar Cells, Glass, EVA and Backsheet",Electronic Component,PENDING_VERIFICATION,PENDING_VERIFICATION,Import / domestic cell maker,Medium,Year-round,High,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,63,VST-NEEDS_REVIEW,"Input is not an agricultural crop, so no Package005 reference applies"
rmap-021,mb-022,EV Charging Station Operator,Charging Hardware and Transformer,Electrical Component,PENDING_VERIFICATION,PENDING_VERIFICATION,OEM / EPC supplier,Medium,Year-round,Medium,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,63,VST-NEEDS_REVIEW,"Input is not an agricultural crop, so no Package005 reference applies"
rmap-022,mb-023,EV Two-Wheeler Service Centre,Battery Modules and Spare Parts,Electronic Component,PENDING_VERIFICATION,PENDING_VERIFICATION,OEM authorised channel,Low,Year-round,Medium,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,62,VST-NEEDS_REVIEW,"Input is not an agricultural crop, so no Package005 reference applies"
rmap-023,mb-024,Garment Manufacturing Unit,Fabric and Trims,Textile,PENDING_VERIFICATION,PENDING_VERIFICATION,Fabric market / buyer-nominated mill,High,Year-round,Medium,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,"Input is not an agricultural crop, so no Package005 reference applies"
rmap-024,mb-025,Handloom and Handicraft Enterprise,Cotton and Silk Yarn,Textile,crop-020,Cotton,Yarn dealer / cooperative,Medium,Year-round,Medium,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,67,VST-NEEDS_REVIEW,Input is a Package005 crop; referenced by crop_id rather than restated
rmap-025,mb-026,Technical Textiles Unit,Technical Fibre and Coating Chemicals,Textile,PENDING_VERIFICATION,PENDING_VERIFICATION,Specialist supplier / import,Low,Year-round,Medium,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,61,VST-NEEDS_REVIEW,"Input is not an agricultural crop, so no Package005 reference applies"
rmap-026,mb-030,Packaging Materials Unit,Kraft Paper and Ink,Paper and Chemical,PENDING_VERIFICATION,PENDING_VERIFICATION,Paper mill / distributor,High,Year-round,High,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,"Input is not an agricultural crop, so no Package005 reference applies"
rmap-027,mb-031,Plastic Waste Recycling Unit,Post-Consumer Plastic Waste,Recovered Material,PENDING_VERIFICATION,PENDING_VERIFICATION,Aggregator / urban local body / EPR channel,Medium,Year-round,High,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,65,VST-NEEDS_REVIEW,"Input is not an agricultural crop, so no Package005 reference applies"
rmap-028,mb-032,E-Waste Dismantling and Recovery,End-of-Life Electronics,Recovered Material,PENDING_VERIFICATION,PENDING_VERIFICATION,Aggregator / bulk consumer / EPR channel,Medium,Year-round,High,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,63,VST-NEEDS_REVIEW,"Input is not an agricultural crop, so no Package005 reference applies"
rmap-029,mb-033,Bio-Fertiliser and Vermicompost Unit,Cattle Dung and Farm Waste,Agricultural Residue,PENDING_VERIFICATION,PENDING_VERIFICATION,Local farmer / dairy,High,Year-round,Low,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,67,VST-NEEDS_REVIEW,"Input is not an agricultural crop, so no Package005 reference applies"
rmap-030,mb-034,Detergent and Cleaning Products Unit,"Surfactants, Builders and Fragrance",Chemical,PENDING_VERIFICATION,PENDING_VERIFICATION,Chemical distributor,High,Year-round,Medium,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,"Input is not an agricultural crop, so no Package005 reference applies"
rmap-031,mb-035,Diagnostic Laboratory,Reagents and Consumables,Chemical,PENDING_VERIFICATION,PENDING_VERIFICATION,Diagnostic reagent distributor,High,Year-round,Low,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,65,VST-NEEDS_REVIEW,"Input is not an agricultural crop, so no Package005 reference applies"
rmap-032,mb-036,Medical Devices Assembly Unit,Device Components and Sterile Packaging,Electronic Component,PENDING_VERIFICATION,PENDING_VERIFICATION,Qualified vendor / import,Medium,Year-round,Medium,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,60,VST-NEEDS_REVIEW,"Input is not an agricultural crop, so no Package005 reference applies"
rmap-033,mb-040,3D Printing and Prototyping Service,"PLA, ABS Filament and Photopolymer Resin",Polymer,PENDING_VERIFICATION,PENDING_VERIFICATION,Specialist distributor / import,Medium,Year-round,Medium,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,61,VST-NEEDS_REVIEW,"Input is not an agricultural crop, so no Package005 reference applies"
