intelligence_id,business_id,business_name,investment_band,capex_intensity,working_capital_intensity,roi_category,payback_category,scalability,technology_adoption_requirement,composite_risk,growth_potential,future_outlook,key_success_factor,data_source,source_url,collection_date,confidence_score,verification_status,notes
ii-021,mb-021,Solar Panel Assembly Unit,Small,High,High,Variable,Long,Medium,High,High,Growing,Uncertain,ALMM listing for government-linked demand,Derived from msme_businesses.csv attributes; MSME-DI project profile framing,https://msme.gov.in/,2026-07-25,64,VST-NEEDS_REVIEW,"investment_band mirrors udyam_classification; no rupee figure is asserted. roi_category, payback_category and scalability are ordinal judgements, not computed returns"
ii-022,mb-022,EV Charging Station Operator,Micro,Very High,Medium,Variable,Long,High,High,High,Growing,Uncertain,Site selection against current EV penetration,Derived from msme_businesses.csv attributes; MSME-DI project profile framing,https://msme.gov.in/,2026-07-25,63,VST-NEEDS_REVIEW,"investment_band mirrors udyam_classification; no rupee figure is asserted. roi_category, payback_category and scalability are ordinal judgements, not computed returns"
ii-023,mb-023,EV Two-Wheeler Service Centre,Micro,Low,Low,Moderate,Short,Medium,High,Medium,Growing,Positive,EV-specific diagnostic skill,Derived from msme_businesses.csv attributes; MSME-DI project profile framing,https://msme.gov.in/,2026-07-25,64,VST-NEEDS_REVIEW,"investment_band mirrors udyam_classification; no rupee figure is asserted. roi_category, payback_category and scalability are ordinal judgements, not computed returns"
ii-024,mb-024,Garment Manufacturing Unit,Small,High,High,Moderate,Medium,High,High,Medium,Stable,Stable,Buyer compliance audits and delivery reliability,Derived from msme_businesses.csv attributes; MSME-DI project profile framing,https://msme.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,"investment_band mirrors udyam_classification; no rupee figure is asserted. roi_category, payback_category and scalability are ordinal judgements, not computed returns"
ii-025,mb-025,Handloom and Handicraft Enterprise,Micro,High,Medium,Moderate,Medium,Low,Medium,Medium,Stable,Positive,GI tagging and direct e-commerce access,Derived from msme_businesses.csv attributes; MSME-DI project profile framing,https://msme.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,"investment_band mirrors udyam_classification; no rupee figure is asserted. roi_category, payback_category and scalability are ordinal judgements, not computed returns"
ii-026,mb-026,Technical Textiles Unit,Small,High,High,Attractive,Long,High,High,Medium,Growing,Positive,Testing and certification capability,Derived from msme_businesses.csv attributes; MSME-DI project profile framing,https://msme.gov.in/,2026-07-25,64,VST-NEEDS_REVIEW,"investment_band mirrors udyam_classification; no rupee figure is asserted. roi_category, payback_category and scalability are ordinal judgements, not computed returns"
ii-027,mb-027,Cold Storage Facility,Medium,Very High,Medium,Moderate,Long,Medium,Very High,Medium,Growing,Positive,Utilisation rate and power cost,Derived from msme_businesses.csv attributes; MSME-DI project profile framing,https://msme.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,"investment_band mirrors udyam_classification; no rupee figure is asserted. roi_category, payback_category and scalability are ordinal judgements, not computed returns"
ii-028,mb-028,Warehouse and Distribution Centre,Small,High,Medium,Moderate,Medium,High,High,Medium,Growing,Positive,Anchor client plus diversification,Derived from msme_businesses.csv attributes; MSME-DI project profile framing,https://msme.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,"investment_band mirrors udyam_classification; no rupee figure is asserted. roi_category, payback_category and scalability are ordinal judgements, not computed returns"
ii-029,mb-029,Last-Mile Delivery Fleet Operator,Micro,Low,Medium,Variable,Short,High,Very High,High,Growing,Uncertain,Route density and driver retention,Derived from msme_businesses.csv attributes; MSME-DI project profile framing,https://msme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,"investment_band mirrors udyam_classification; no rupee figure is asserted. roi_category, payback_category and scalability are ordinal judgements, not computed returns"
ii-030,mb-030,Packaging Materials Unit,Small,High,High,Moderate,Medium,Medium,Very High,Medium,Stable,Positive,Proximity to manufacturing clusters,Derived from msme_businesses.csv attributes; MSME-DI project profile framing,https://msme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,"investment_band mirrors udyam_classification; no rupee figure is asserted. roi_category, payback_category and scalability are ordinal judgements, not computed returns"
ii-031,mb-031,Plastic Waste Recycling Unit,Small,High,Medium,Moderate,Medium,Medium,High,Medium,Growing,Positive,Feedstock collection reliability,Derived from msme_businesses.csv attributes; MSME-DI project profile framing,https://msme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,"investment_band mirrors udyam_classification; no rupee figure is asserted. roi_category, payback_category and scalability are ordinal judgements, not computed returns"
ii-032,mb-032,E-Waste Dismantling and Recovery,Small,High,Medium,Moderate,Medium,Medium,High,High,Growing,Positive,CPCB authorisation and recovery yield,Derived from msme_businesses.csv attributes; MSME-DI project profile framing,https://msme.gov.in/,2026-07-25,63,VST-NEEDS_REVIEW,"investment_band mirrors udyam_classification; no rupee figure is asserted. roi_category, payback_category and scalability are ordinal judgements, not computed returns"
ii-033,mb-033,Bio-Fertiliser and Vermicompost Unit,Micro,High,Low,Moderate,Short,Low,High,Low,Growing,Positive,FCO registration and agronomic credibility,Derived from msme_businesses.csv attributes; MSME-DI project profile framing,https://msme.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,"investment_band mirrors udyam_classification; no rupee figure is asserted. roi_category, payback_category and scalability are ordinal judgements, not computed returns"
ii-034,mb-034,Detergent and Cleaning Products Unit,Micro,High,Medium,Moderate,Short,Medium,High,Medium,Stable,Stable,Distribution reach and brand trust,Derived from msme_businesses.csv attributes; MSME-DI project profile framing,https://msme.gov.in/,2026-07-25,67,VST-NEEDS_REVIEW,"investment_band mirrors udyam_classification; no rupee figure is asserted. roi_category, payback_category and scalability are ordinal judgements, not computed returns"
ii-035,mb-035,Diagnostic Laboratory,Micro,Low,Medium,Attractive,Medium,Medium,High,Medium,Growing,Positive,Qualified pathologist and accreditation,Derived from msme_businesses.csv attributes; MSME-DI project profile framing,https://msme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,"investment_band mirrors udyam_classification; no rupee figure is asserted. roi_category, payback_category and scalability are ordinal judgements, not computed returns"
ii-036,mb-036,Medical Devices Assembly Unit,Small,High,High,Attractive,Long,High,High,High,Growing,Positive,CDSCO licence and ISO 13485 system,Derived from msme_businesses.csv attributes; MSME-DI project profile framing,https://msme.gov.in/,2026-07-25,61,VST-NEEDS_REVIEW,"investment_band mirrors udyam_classification; no rupee figure is asserted. roi_category, payback_category and scalability are ordinal judgements, not computed returns"
ii-037,mb-037,Skill Training Centre,Micro,Low,Low,Variable,Medium,Medium,High,Medium,Stable,Uncertain,Scheme affiliation and placement outcomes,Derived from msme_businesses.csv attributes; MSME-DI project profile framing,https://msme.gov.in/,2026-07-25,67,VST-NEEDS_REVIEW,"investment_band mirrors udyam_classification; no rupee figure is asserted. roi_category, payback_category and scalability are ordinal judgements, not computed returns"
ii-038,mb-038,Homestay and Rural Tourism Enterprise,Micro,Low,Low,Moderate,Long,Low,Medium,Medium,Growing,Positive,Occupancy management through the off season,Derived from msme_businesses.csv attributes; MSME-DI project profile framing,https://msme.gov.in/,2026-07-25,64,VST-NEEDS_REVIEW,"investment_band mirrors udyam_classification; no rupee figure is asserted. roi_category, payback_category and scalability are ordinal judgements, not computed returns"
ii-039,mb-039,Drone Services Enterprise,Micro,Medium,Medium,Moderate,Medium,High,High,High,Growing,Positive,DGCA-licensed pilot availability,Derived from msme_businesses.csv attributes; MSME-DI project profile framing,https://msme.gov.in/,2026-07-25,62,VST-NEEDS_REVIEW,"investment_band mirrors udyam_classification; no rupee figure is asserted. roi_category, payback_category and scalability are ordinal judgements, not computed returns"
ii-040,mb-040,3D Printing and Prototyping Service,Micro,Low,Low,Variable,Medium,Medium,Medium,Medium,Growing,Uncertain,Niche demand identification,Derived from msme_businesses.csv attributes; MSME-DI project profile framing,https://msme.gov.in/,2026-07-25,61,VST-NEEDS_REVIEW,"investment_band mirrors udyam_classification; no rupee figure is asserted. roi_category, payback_category and scalability are ordinal judgements, not computed returns"
