mapping_id,business_id,business_name,package007_scheme_id,package007_scheme_short_name,relevance,applicable_stage,support_nature,data_source,source_url,collection_date,confidence_score,verification_status,notes
smap-011,mb-006,Fruit Pulp and Beverage Unit,sch-019,PMFME,Primary,Establishment,Credit-linked capital subsidy,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-012,mb-006,Fruit Pulp and Beverage Unit,sch-012,AIF,Secondary,Expansion,Interest subvention on post-harvest infrastructure,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-013,mb-007,Cloud Kitchen,sch-015,PMMY,Primary,Establishment,Collateral-free micro credit,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-014,mb-007,Cloud Kitchen,sch-019,PMFME,Secondary,Establishment,Applies where the unit is a micro food processor,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-015,mb-008,CNC Machining Job Shop,sch-014,PMEGP,Primary,Establishment,Margin money subsidy on bank loan,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-016,mb-008,CNC Machining Job Shop,sch-017,CGTMSE,Primary,Establishment,Collateral-free credit enablement,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-017,mb-009,Sheet Metal Fabrication Unit,sch-014,PMEGP,Primary,Establishment,Margin money subsidy on bank loan,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-018,mb-009,Sheet Metal Fabrication Unit,sch-015,PMMY,Secondary,Working capital,Collateral-free micro credit,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,69,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-019,mb-010,Tool and Die Making Unit,sch-017,CGTMSE,Primary,Establishment,Collateral-free credit enablement,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,69,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-020,mb-011,Industrial Automation Integration,sch-015,PMMY,Primary,Establishment,Collateral-free micro credit,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,67,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-021,mb-012,Electrical Panel Manufacturing,sch-014,PMEGP,Primary,Establishment,Margin money subsidy on bank loan,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,69,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-022,mb-013,Foundry (Small Scale),sch-017,CGTMSE,Primary,Establishment,Collateral-free credit enablement,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,67,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-023,mb-014,Custom Software Development Firm,sch-015,PMMY,Primary,Establishment,Collateral-free micro credit,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-024,mb-015,SaaS Product Startup,sch-020,SISFS,Primary,Ideation to prototype,Grant and convertible instrument via incubator,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-025,mb-016,AI Solutions and Consulting,sch-020,SISFS,Primary,Ideation to prototype,Grant and convertible instrument via incubator,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-026,mb-017,Digital Marketing Agency,sch-015,PMMY,Primary,Establishment,Collateral-free micro credit,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-027,mb-018,IT Hardware and Network Services,sch-015,PMMY,Primary,Establishment,Collateral-free micro credit,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-028,mb-019,Rural BPO / IT-Enabled Services Centre,sch-015,PMMY,Primary,Establishment,Collateral-free micro credit,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-029,mb-020,Solar Rooftop EPC Contractor,sch-040,PM Surya Ghar,Primary,Operation,Demand-side subsidy driving installation volume,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-030,mb-020,Solar Rooftop EPC Contractor,sch-015,PMMY,Secondary,Working capital,Collateral-free micro credit,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-031,mb-021,Solar Panel Assembly Unit,sch-017,CGTMSE,Primary,Establishment,Collateral-free credit enablement,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,64,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-032,mb-022,EV Charging Station Operator,sch-015,PMMY,Primary,Establishment,Collateral-free micro credit,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,64,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-033,mb-023,EV Two-Wheeler Service Centre,sch-015,PMMY,Primary,Establishment,Collateral-free micro credit,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,65,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-034,mb-023,EV Two-Wheeler Service Centre,sch-018,PM Vishwakarma,Secondary,Skill and toolkit,Applies where the operator is a traditional-trade artisan,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,62,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-035,mb-024,Garment Manufacturing Unit,sch-014,PMEGP,Primary,Establishment,Margin money subsidy on bank loan,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-036,mb-024,Garment Manufacturing Unit,sch-017,CGTMSE,Secondary,Establishment,Collateral-free credit enablement,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,69,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-037,mb-025,Handloom and Handicraft Enterprise,sch-018,PM Vishwakarma,Primary,"Skill, toolkit and credit",Artisan-focused end-to-end support,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-038,mb-025,Handloom and Handicraft Enterprise,sch-014,PMEGP,Secondary,Establishment,Margin money subsidy on bank loan,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-039,mb-026,Technical Textiles Unit,sch-017,CGTMSE,Primary,Establishment,Collateral-free credit enablement,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,63,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-040,mb-027,Cold Storage Facility,sch-012,AIF,Primary,Establishment,Interest subvention on post-harvest infrastructure,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-041,mb-027,Cold Storage Facility,sch-008,PMKSY,Secondary,Establishment,Applies where the facility serves an irrigation command area,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,62,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-042,mb-028,Warehouse and Distribution Centre,sch-017,CGTMSE,Primary,Establishment,Collateral-free credit enablement,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-043,mb-029,Last-Mile Delivery Fleet Operator,sch-015,PMMY,Primary,Establishment,Collateral-free micro credit,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,67,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-044,mb-030,Packaging Materials Unit,sch-014,PMEGP,Primary,Establishment,Margin money subsidy on bank loan,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,69,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-045,mb-031,Plastic Waste Recycling Unit,sch-014,PMEGP,Primary,Establishment,Margin money subsidy on bank loan,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-046,mb-032,E-Waste Dismantling and Recovery,sch-017,CGTMSE,Primary,Establishment,Collateral-free credit enablement,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,64,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-047,mb-033,Bio-Fertiliser and Vermicompost Unit,sch-010,PKVY,Primary,Operation,Demand-side support through organic cluster conversion,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-048,mb-033,Bio-Fertiliser and Vermicompost Unit,sch-014,PMEGP,Secondary,Establishment,Margin money subsidy on bank loan,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,67,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-049,mb-034,Detergent and Cleaning Products Unit,sch-014,PMEGP,Primary,Establishment,Margin money subsidy on bank loan,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,67,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-050,mb-035,Diagnostic Laboratory,sch-017,CGTMSE,Primary,Establishment,Collateral-free credit enablement,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,65,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-051,mb-036,Medical Devices Assembly Unit,sch-017,CGTMSE,Primary,Establishment,Collateral-free credit enablement,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,61,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-052,mb-037,Skill Training Centre,sch-021,PMKVY 4.0,Primary,Operation,Scheme affiliation is the revenue basis for the centre,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-053,mb-037,Skill Training Centre,sch-023,DDU-GKY,Secondary,Operation,Placement-linked rural training projects,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-054,mb-038,Homestay and Rural Tourism Enterprise,sch-015,PMMY,Primary,Establishment,Collateral-free micro credit,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,64,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-055,mb-039,Drone Services Enterprise,sch-009,SMAM,Primary,Operation,Drone component supports custom-hiring service demand,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-056,mb-039,Drone Services Enterprise,sch-015,PMMY,Secondary,Establishment,Collateral-free micro credit,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,64,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-057,mb-040,3D Printing and Prototyping Service,sch-015,PMMY,Primary,Establishment,Collateral-free micro credit,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,62,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
