business_id,business_name,category_id,category_name,business_model_id,business_model_name,description,udyam_classification,investment_range,working_capital_need,employment_generation,difficulty,risk_level,technology_level,automation_level,ai_readiness,market_demand,export_potential,profitability_outlook,district_suitability,data_source,source_url,collection_date,confidence_score,verification_status,notes
mb-020,Solar Rooftop EPC Contractor,mc-013,Renewable Energy,bm-013,Solar EPC Contractor,"Engineers, procures and commissions rooftop solar plants",Micro,PENDING_VERIFICATION,Medium,5-15,Moderate,Medium,Medium,Semi-Automated,Medium,Very High,Low,Good,Both,Ministry of New and Renewable Energy,https://mnre.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,PM Surya Ghar sharply expanded the residential segment; DISCOM empanelment needed
mb-021,Solar Panel Assembly Unit,mc-013,Renewable Energy,bm-001,Manufacturing Unit,Assembles photovoltaic modules from imported or domestic cells,Small,PENDING_VERIFICATION,High,15-40,Hard,High,Medium,Automated,Low,High,Medium,Variable,Both,Ministry of New and Renewable Energy,https://mnre.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,ALMM listing determines eligibility for government-supported projects
mb-022,EV Charging Station Operator,mc-017,Electric Vehicles,bm-007,Cold Storage Facility,Installs and operates public or captive electric vehicle charging points,Micro,PENDING_VERIFICATION,Medium,2-6,Moderate,High,Medium,Automated,Medium,High,Low,Variable,Urban,Ministry of Heavy Industries; Ministry of Power,https://heavyindustries.gov.in/,2026-07-25,65,VST-NEEDS_REVIEW,Utilisation risk is severe while EV penetration remains low
mb-023,EV Two-Wheeler Service Centre,mc-017,Electric Vehicles,bm-005,Repair and Maintenance Centre,Diagnoses and services electric two-wheelers including battery systems,Micro,PENDING_VERIFICATION,Low,3-8,Moderate,Medium,Medium,Semi-Automated,Medium,High,Low,Good,Both,Ministry of Heavy Industries,https://heavyindustries.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,Skill gap is acute; Package006 holds the EV technician skill record
mb-024,Garment Manufacturing Unit,mc-009,Textiles and Apparel,bm-001,Manufacturing Unit,Cuts and stitches garments for domestic brands or export buyers,Small,PENDING_VERIFICATION,High,20-60,Moderate,Medium,Low,Semi-Automated,Low,High,Very High,Variable,Both,Ministry of Textiles,https://texmin.nic.in/,2026-07-25,73,VST-NEEDS_REVIEW,Highest employment per unit of investment in manufacturing
mb-025,Handloom and Handicraft Enterprise,mc-020,Creative Industries,bm-001,Manufacturing Unit,"Produces handwoven textiles or handicraft products, often through artisan clusters",Micro,PENDING_VERIFICATION,Medium,5-20,Easy,Medium,Low,Basic,Low,Medium,High,Variable,Rural,Ministry of Textiles; KVIC,https://texmin.nic.in/,2026-07-25,70,VST-NEEDS_REVIEW,GI tagging and e-commerce access changed the margin structure materially
mb-026,Technical Textiles Unit,mc-009,Textiles and Apparel,bm-001,Manufacturing Unit,"Manufactures functional textiles for industrial, medical or agricultural use",Small,PENDING_VERIFICATION,High,10-30,Hard,Medium,High,Automated,Low,High,High,Good,Both,Ministry of Textiles (National Technical Textiles Mission),https://texmin.nic.in/,2026-07-25,66,VST-NEEDS_REVIEW,Higher margin than apparel; requires testing and certification capability
mb-027,Cold Storage Facility,mc-019,Logistics and Warehousing,bm-007,Cold Storage Facility,Rents temperature-controlled storage capacity to producers and traders,Medium,PENDING_VERIFICATION,Medium,8-20,Hard,Medium,Medium,Automated,Medium,Very High,Low,Variable,Rural,Ministry of Agriculture; MoFPI,https://agricoop.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Revenue is rental per tonne-month; power cost and utilisation drive viability
mb-028,Warehouse and Distribution Centre,mc-019,Logistics and Warehousing,bm-008,Warehouse and Distribution,"Provides storage, handling and secondary distribution for principals",Small,PENDING_VERIFICATION,Medium,8-25,Moderate,Medium,Low,Semi-Automated,Medium,High,Low,Good,Both,Ministry of Commerce and Industry,https://commerce.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Anchor-client concentration is the main commercial risk
mb-029,Last-Mile Delivery Fleet Operator,mc-019,Logistics and Warehousing,bm-004,Service Centre,Operates a delivery fleet on contract to e-commerce or logistics principals,Micro,PENDING_VERIFICATION,Medium,10-40,Easy,High,Low,Semi-Automated,Medium,Very High,Low,Variable,Urban,Ministry of Commerce and Industry,https://commerce.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,Thin margins and high driver attrition; volume-dependent economics
mb-030,Packaging Materials Unit,mc-001,Manufacturing,bm-001,Manufacturing Unit,"Manufactures corrugated boxes, flexible packaging or labels",Small,PENDING_VERIFICATION,High,8-20,Moderate,Medium,Medium,Automated,Low,Very High,Low,Good,Both,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Demand is derived from every other manufacturing sector
mb-031,Plastic Waste Recycling Unit,mc-024,Recycling and Circular Economy,bm-014,Battery and E-Waste Recycling,"Collects, washes, shreds and pelletises post-consumer plastic waste",Small,PENDING_VERIFICATION,Medium,8-20,Moderate,Medium,Medium,Semi-Automated,Low,High,Medium,Good,Both,Central Pollution Control Board,https://cpcb.nic.in/,2026-07-25,68,VST-NEEDS_REVIEW,EPR obligations on producers created a compliance-driven demand side
mb-032,E-Waste Dismantling and Recovery,mc-024,Recycling and Circular Economy,bm-014,Battery and E-Waste Recycling,Dismantles electronic waste and recovers metals and components,Small,PENDING_VERIFICATION,Medium,10-25,Hard,High,Medium,Semi-Automated,Low,High,Medium,Good,Urban,Central Pollution Control Board,https://cpcb.nic.in/,2026-07-25,65,VST-NEEDS_REVIEW,CPCB authorisation is mandatory and the compliance burden is substantial
mb-033,Bio-Fertiliser and Vermicompost Unit,mc-007,Agriculture and Allied,bm-001,Manufacturing Unit,Produces microbial bio-fertilisers and vermicompost from organic waste,Micro,PENDING_VERIFICATION,Low,4-12,Easy,Low,Low,Basic,Low,High,Low,Good,Rural,Ministry of Agriculture and Farmers Welfare,https://agricoop.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Fertiliser Control Order registration required for packaged sale
mb-034,Detergent and Cleaning Products Unit,mc-010,Chemical,bm-001,Manufacturing Unit,Formulates and packs household and industrial cleaning products,Micro,PENDING_VERIFICATION,Medium,5-12,Easy,Medium,Low,Semi-Automated,Low,High,Low,Good,Both,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,69,VST-NEEDS_REVIEW,Low technical barrier; brand and distribution are the real constraints
mb-035,Diagnostic Laboratory,mc-008,Healthcare,bm-004,Service Centre,Provides pathology and diagnostic testing services,Micro,PENDING_VERIFICATION,Medium,5-15,Hard,Medium,High,Automated,Medium,High,Low,Good,Both,Ministry of Health and Family Welfare,https://mohfw.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,Clinical Establishments Act registration and qualified pathologist are statutory
mb-036,Medical Devices Assembly Unit,mc-008,Healthcare,bm-001,Manufacturing Unit,Assembles and packs Class A or B medical devices under licence,Small,PENDING_VERIFICATION,High,10-25,Very Hard,High,High,Automated,Low,High,High,Good,Urban,Central Drugs Standard Control Organisation,https://cdsco.gov.in/,2026-07-25,63,VST-NEEDS_REVIEW,"CDSCO manufacturing licence and ISO 13485 are prerequisites, not options"
mb-037,Skill Training Centre,mc-022,Education and Training,bm-004,Service Centre,"Delivers vocational or professional training, often scheme-affiliated",Micro,PENDING_VERIFICATION,Low,5-20,Moderate,Medium,Medium,Semi-Automated,Medium,High,Low,Variable,Both,Ministry of Skill Development and Entrepreneurship,https://msde.gov.in/,2026-07-25,69,VST-NEEDS_REVIEW,Scheme affiliation determines viability; Package006 holds provider detail
mb-038,Homestay and Rural Tourism Enterprise,mc-021,Tourism and Hospitality,bm-004,Service Centre,Operates accommodation and experience services for visitors,Micro,PENDING_VERIFICATION,Low,2-8,Easy,Medium,Low,Basic,Medium,Medium,Medium,Variable,Rural,Ministry of Tourism,https://tourism.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,State tourism registration; severe seasonality in cash flow
mb-039,Drone Services Enterprise,mc-014,Industrial Automation,bm-012,Drone Service Provider,"Provides drone-based survey, spraying and inspection services on contract",Micro,PENDING_VERIFICATION,Medium,3-8,Hard,High,High,Advanced,Very High,High,Low,Variable,Both,DGCA; Ministry of Agriculture,https://www.dgca.gov.in/,2026-07-25,64,VST-NEEDS_REVIEW,DGCA licensing and trained pilot availability gate entry; Package005 holds the machinery record
mb-040,3D Printing and Prototyping Service,mc-015,Robotics,bm-004,Service Centre,Produces prototypes and low-volume parts by additive manufacturing,Micro,PENDING_VERIFICATION,Low,2-6,Moderate,Medium,High,Automated,High,Medium,Low,Variable,Urban,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,63,VST-NEEDS_REVIEW,"Niche demand from product developers, education and dental sectors"
