mapping_id,business_id,business_name,package006_skill_id,package006_skill_name,skill_role,criticality,who_needs_it,data_source,source_url,collection_date,confidence_score,verification_status,notes
kmap-011,mb-010,Tool and Die Making Unit,8834c2ff-c6e9-4bb4-89e1-51fd5e1035fb,CAD/CAM Design,Die and mould design,Essential,Designer,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,69,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
kmap-012,mb-010,Tool and Die Making Unit,89f0fae4-7470-41a9-8c96-170267d50d6e,CNC Machine Operator,Precision machining of tooling,Essential,Machinist,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,69,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
kmap-013,mb-011,Industrial Automation Integration,4fce613f-3b4b-4d3b-be7f-2bd80afb74f0,PLC Programming & Control Systems,Control logic development and commissioning,Essential,Automation engineer,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
kmap-014,mb-011,Industrial Automation Integration,b064e4d0-4bf8-485b-a951-0e0b3ee86f0c,Industrial Robotics,Robotic cell integration where applicable,Useful,Automation engineer,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,64,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
kmap-015,mb-012,Electrical Panel Manufacturing,125cc855-d61d-4a47-b55f-47edfc2eb436,Industrial Electrician,Panel wiring and testing,Essential,Electrician,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
kmap-016,mb-014,Custom Software Development Firm,2165f626-a237-4d19-8158-888051b2c797,Full Stack Web Development,Application development,Essential,Developer,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
kmap-017,mb-014,Custom Software Development Firm,6b6a3246-5d58-4e5e-8841-5249b5ea8ee8,Python Programming,Backend and automation development,Essential,Developer,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
kmap-018,mb-014,Custom Software Development Firm,46b1872f-ad46-4d62-b964-85a598daa13f,Database Administration (SQL/NoSQL),Data layer design and operation,Useful,Developer,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
kmap-019,mb-015,SaaS Product Startup,2165f626-a237-4d19-8158-888051b2c797,Full Stack Web Development,Product development,Essential,Founding engineer,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
kmap-020,mb-015,SaaS Product Startup,adf0cd56-14f7-4f77-9d56-2bc906561d8a,AWS/Azure Cloud Administration,Deployment and scaling,Essential,Engineer,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
kmap-021,mb-016,AI Solutions and Consulting,6d378e94-2808-48ab-88a7-4a8117a12d86,Machine Learning Engineer,Model development and deployment,Essential,ML engineer,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
kmap-022,mb-016,AI Solutions and Consulting,f809e001-d1c7-4b1a-896e-ecc81310cc07,Data Scientist,Problem framing and analysis,Essential,Data scientist,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
kmap-023,mb-016,AI Solutions and Consulting,6b6a3246-5d58-4e5e-8841-5249b5ea8ee8,Python Programming,Implementation language,Essential,Engineer,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
kmap-024,mb-017,Digital Marketing Agency,4bf4389d-7b81-4958-9ac4-f52382a8ba4d,Video Editing & Content Creation,Creative production,Essential,Creative staff,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,67,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
kmap-025,mb-018,IT Hardware and Network Services,ce7a97e5-52d6-466e-b4c3-aef5f604f808,Electronics Repair & Maintenance,Hardware diagnosis and repair,Essential,Technician,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
kmap-026,mb-018,IT Hardware and Network Services,adf0cd56-14f7-4f77-9d56-2bc906561d8a,AWS/Azure Cloud Administration,Network and cloud service configuration,Useful,Engineer,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,65,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
kmap-027,mb-019,Rural BPO / IT-Enabled Services Centre,PENDING_VERIFICATION,PENDING_VERIFICATION,Data processing and digitisation,Essential,Operator,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,58,VST-NEEDS_REVIEW,"No Package006 v1.0.0 skill record matches this requirement, so the reference is left unasserted rather than pointed at an approximate skill"
kmap-028,mb-020,Solar Rooftop EPC Contractor,0e14691c-d784-4fe8-913c-c590b17ef606,Solar Panel Installation & Maintenance,Rooftop installation and commissioning,Essential,Installer,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
kmap-029,mb-020,Solar Rooftop EPC Contractor,22fcaac1-6b74-4c59-bc65-e16f4cf8b23c,Electrician (Domestic Wiring),Electrical connection and safety,Essential,Electrician,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,69,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
kmap-030,mb-021,Solar Panel Assembly Unit,53571913-32a7-4e23-bb80-2fc9b3a29fbd,PCB Assembly & Soldering,Cell interconnection and module assembly,Essential,Assembly operator,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,63,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
kmap-031,mb-022,EV Charging Station Operator,125cc855-d61d-4a47-b55f-47edfc2eb436,Industrial Electrician,Charger installation and electrical works,Essential,Electrician,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,64,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
kmap-032,mb-023,EV Two-Wheeler Service Centre,37f56608-1c22-4e5d-8f4d-8b2f17fe0134,EV Technician,EV and battery system diagnosis,Essential,Technician,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
kmap-033,mb-023,EV Two-Wheeler Service Centre,11fac637-12d6-4a44-ba21-67cd55427e80,Two-Wheeler Mechanic,Mechanical service of two-wheelers,Essential,Mechanic,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
kmap-034,mb-024,Garment Manufacturing Unit,41c5ee54-daba-4a8c-963d-b5b5bb6088fd,Garment Manufacturing (Stitching),"Cutting, stitching and finishing",Essential,Operator,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
kmap-035,mb-026,Technical Textiles Unit,41c5ee54-daba-4a8c-963d-b5b5bb6088fd,Garment Manufacturing (Stitching),Fabric handling and conversion,Useful,Operator,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,62,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
kmap-036,mb-027,Cold Storage Facility,079afaaf-7ba5-4d3c-900f-1ed19563b90f,Warehouse Management,Storage operation and stock control,Essential,Supervisor,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
kmap-037,mb-028,Warehouse and Distribution Centre,079afaaf-7ba5-4d3c-900f-1ed19563b90f,Warehouse Management,Inventory and dispatch operation,Essential,Supervisor,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
kmap-038,mb-028,Warehouse and Distribution Centre,f4c16bfc-5142-4915-bdb8-f2b71907a4cf,Supply Chain Logistics,Network planning and coordination,Essential,Manager,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,69,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
kmap-039,mb-029,Last-Mile Delivery Fleet Operator,f4c16bfc-5142-4915-bdb8-f2b71907a4cf,Supply Chain Logistics,Route planning and fleet coordination,Essential,Coordinator,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,67,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
kmap-040,mb-033,Bio-Fertiliser and Vermicompost Unit,28856a79-9005-4630-92b2-17ace673fe72,Organic Farming,Composting and bio-input production,Essential,Supervisor,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
kmap-041,mb-035,Diagnostic Laboratory,e5f2808b-7548-4b6f-b5c9-7a7ca579d26c,Nursing Assistant / Multipurpose Health Worker,Sample collection and patient handling,Essential,Phlebotomist and assistant,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,65,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
kmap-042,mb-036,Medical Devices Assembly Unit,53571913-32a7-4e23-bb80-2fc9b3a29fbd,PCB Assembly & Soldering,Device assembly under controlled conditions,Essential,Assembly operator,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,61,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
kmap-043,mb-037,Skill Training Centre,PENDING_VERIFICATION,PENDING_VERIFICATION,Instruction delivery,Essential,Trainer,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,58,VST-NEEDS_REVIEW,"No Package006 v1.0.0 skill record matches this requirement, so the reference is left unasserted rather than pointed at an approximate skill"
kmap-044,mb-039,Drone Services Enterprise,886dfc3b-8fa4-490e-973c-2c0e6f108590,Drone Piloting & Operations,Flight operation and mission planning,Essential,Pilot,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
kmap-045,mb-039,Drone Services Enterprise,6b7f03f2-6f23-4fbb-9daf-b13d8b85d4b8,Precision Agriculture & IoT,Agronomic application of drone data,Useful,Agronomy advisor,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,64,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
kmap-046,mb-013,Foundry (Small Scale),PENDING_VERIFICATION,PENDING_VERIFICATION,"Melting, moulding and casting operation",Essential,Foundry operator,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,57,VST-NEEDS_REVIEW,"No Package006 v1.0.0 skill record matches this requirement, so the reference is left unasserted rather than pointed at an approximate skill"
kmap-047,mb-025,Handloom and Handicraft Enterprise,PENDING_VERIFICATION,PENDING_VERIFICATION,Handloom weaving and craft production,Essential,Artisan weaver,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,57,VST-NEEDS_REVIEW,"No Package006 v1.0.0 skill record matches this requirement, so the reference is left unasserted rather than pointed at an approximate skill"
kmap-048,mb-030,Packaging Materials Unit,PENDING_VERIFICATION,PENDING_VERIFICATION,Corrugation and converting machine operation,Essential,Machine operator,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,57,VST-NEEDS_REVIEW,"No Package006 v1.0.0 skill record matches this requirement, so the reference is left unasserted rather than pointed at an approximate skill"
kmap-049,mb-031,Plastic Waste Recycling Unit,PENDING_VERIFICATION,PENDING_VERIFICATION,"Plastic sorting, washing and extrusion operation",Essential,Plant operator,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,57,VST-NEEDS_REVIEW,"No Package006 v1.0.0 skill record matches this requirement, so the reference is left unasserted rather than pointed at an approximate skill"
kmap-050,mb-032,E-Waste Dismantling and Recovery,ce7a97e5-52d6-466e-b4c3-aef5f604f808,Electronics Repair & Maintenance,Component identification during dismantling,Useful,Dismantling technician,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,62,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
kmap-051,mb-034,Detergent and Cleaning Products Unit,PENDING_VERIFICATION,PENDING_VERIFICATION,Chemical formulation and blending,Essential,Formulation operator,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,57,VST-NEEDS_REVIEW,"No Package006 v1.0.0 skill record matches this requirement, so the reference is left unasserted rather than pointed at an approximate skill"
kmap-052,mb-038,Homestay and Rural Tourism Enterprise,cb0f6c81-5ec8-4024-b6d3-62b0a86ef255,Hotel Management & Front Office,Guest handling and property operation,Essential,Owner-operator,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
kmap-053,mb-040,3D Printing and Prototyping Service,8834c2ff-c6e9-4bb4-89e1-51fd5e1035fb,CAD/CAM Design,Model preparation and slicing,Essential,Designer,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,63,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
