mapping_id,business_id,business_name,machinery_name,machinery_role,package005_machinery_id,package005_machinery_name,investment_category,automation_level,is_essential,data_source,source_url,collection_date,confidence_score,verification_status,notes
mmap-013,mb-005,Millet Processing Unit,Flour Mill / Rava Unit,Milling,PENDING_VERIFICATION,PENDING_VERIFICATION,Core Plant,Semi-Automated,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-014,mb-006,Fruit Pulp and Beverage Unit,Fruit Pulper and Deseeder,Pulping,PENDING_VERIFICATION,PENDING_VERIFICATION,Core Plant,Automated,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-015,mb-006,Fruit Pulp and Beverage Unit,Aseptic Filling Line,Preservation and filling,PENDING_VERIFICATION,PENDING_VERIFICATION,Core Plant,Automated,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,64,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-016,mb-006,Fruit Pulp and Beverage Unit,Cold Storage Unit,Raw material holding,fm-008,Cold Storage Unit,Ancillary,Automated,No,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,67,VST-NEEDS_REVIEW,Machine also exists in Package005 farm_machinery; referenced by id rather than restated
mmap-017,mb-007,Cloud Kitchen,Commercial Kitchen Equipment Set,Food preparation,PENDING_VERIFICATION,PENDING_VERIFICATION,Core Plant,Basic,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,64,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-018,mb-008,CNC Machining Job Shop,CNC Turning Centre,Machining,PENDING_VERIFICATION,PENDING_VERIFICATION,Core Plant,Automated,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-019,mb-008,CNC Machining Job Shop,CNC Vertical Machining Centre,Machining,PENDING_VERIFICATION,PENDING_VERIFICATION,Core Plant,Automated,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-020,mb-008,CNC Machining Job Shop,Coordinate Measuring Machine,Quality inspection,PENDING_VERIFICATION,PENDING_VERIFICATION,Ancillary,Automated,No,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-021,mb-009,Sheet Metal Fabrication Unit,CNC Press Brake,Forming,PENDING_VERIFICATION,PENDING_VERIFICATION,Core Plant,Automated,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,69,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-022,mb-009,Sheet Metal Fabrication Unit,Laser or Plasma Cutting Machine,Cutting,PENDING_VERIFICATION,PENDING_VERIFICATION,Core Plant,Automated,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,69,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-023,mb-009,Sheet Metal Fabrication Unit,Welding Equipment (MIG/TIG),Joining,PENDING_VERIFICATION,PENDING_VERIFICATION,Core Plant,Mechanical,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-024,mb-010,Tool and Die Making Unit,EDM (Electrical Discharge Machine),Die sinking,PENDING_VERIFICATION,PENDING_VERIFICATION,Core Plant,Automated,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,67,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-025,mb-010,Tool and Die Making Unit,Surface and Cylindrical Grinder,Finishing,PENDING_VERIFICATION,PENDING_VERIFICATION,Core Plant,Mechanical,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,67,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-026,mb-011,Industrial Automation Integration,PLC and HMI Development Kit,Engineering and testing,PENDING_VERIFICATION,PENDING_VERIFICATION,Tooling,Digital,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,65,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-027,mb-012,Electrical Panel Manufacturing,Busbar Bending and Punching Machine,Panel fabrication,PENDING_VERIFICATION,PENDING_VERIFICATION,Core Plant,Semi-Automated,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,67,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-028,mb-013,Foundry (Small Scale),Induction Melting Furnace,Melting,PENDING_VERIFICATION,PENDING_VERIFICATION,Core Plant,Semi-Automated,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-029,mb-013,Foundry (Small Scale),Sand Mixer and Moulding Line,Moulding,PENDING_VERIFICATION,PENDING_VERIFICATION,Core Plant,Semi-Automated,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,65,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-030,mb-014,Custom Software Development Firm,Developer Workstations and Cloud Infrastructure,Development,PENDING_VERIFICATION,PENDING_VERIFICATION,IT Infrastructure,Digital,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-031,mb-015,SaaS Product Startup,Developer Workstations and Cloud Infrastructure,Product development,PENDING_VERIFICATION,PENDING_VERIFICATION,IT Infrastructure,Digital,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-032,mb-017,Digital Marketing Agency,Workstations and Creative Software Licences,Content production,PENDING_VERIFICATION,PENDING_VERIFICATION,IT Infrastructure,Digital,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,67,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-033,mb-019,Rural BPO / IT-Enabled Services Centre,"Workstations, Connectivity and UPS Backup",Service delivery,PENDING_VERIFICATION,PENDING_VERIFICATION,IT Infrastructure,Digital,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,65,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-034,mb-038,Homestay and Rural Tourism Enterprise,Guest Room Furnishing and Kitchen Equipment,Guest service,PENDING_VERIFICATION,PENDING_VERIFICATION,Premises,Basic,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,64,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-035,mb-016,AI Solutions and Consulting,GPU Compute (owned or cloud),Model training and inference,PENDING_VERIFICATION,PENDING_VERIFICATION,IT Infrastructure,Digital,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,64,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-036,mb-018,IT Hardware and Network Services,Diagnostic and Networking Toolkit,Service delivery,PENDING_VERIFICATION,PENDING_VERIFICATION,Tooling,Basic,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,67,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-037,mb-020,Solar Rooftop EPC Contractor,Installation Tools and Safety Equipment,Installation,PENDING_VERIFICATION,PENDING_VERIFICATION,Tooling,Basic,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-038,mb-021,Solar Panel Assembly Unit,Solar Module Laminator,Lamination,PENDING_VERIFICATION,PENDING_VERIFICATION,Core Plant,Automated,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,64,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-039,mb-021,Solar Panel Assembly Unit,Cell Stringer / Tabber,Cell interconnection,PENDING_VERIFICATION,PENDING_VERIFICATION,Core Plant,Automated,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,63,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-040,mb-022,EV Charging Station Operator,AC and DC Charging Units,Charging delivery,PENDING_VERIFICATION,PENDING_VERIFICATION,Core Plant,Automated,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,64,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-041,mb-023,EV Two-Wheeler Service Centre,Battery Diagnostic and Balancing Equipment,Diagnostics,PENDING_VERIFICATION,PENDING_VERIFICATION,Tooling,Semi-Automated,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,64,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-042,mb-024,Garment Manufacturing Unit,"Industrial Sewing Machines (lockstitch, overlock)",Stitching,PENDING_VERIFICATION,PENDING_VERIFICATION,Core Plant,Semi-Automated,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-043,mb-024,Garment Manufacturing Unit,Fabric Cutting Machine,Cutting,PENDING_VERIFICATION,PENDING_VERIFICATION,Core Plant,Semi-Automated,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-044,mb-024,Garment Manufacturing Unit,Steam Press and Finishing Unit,Finishing,PENDING_VERIFICATION,PENDING_VERIFICATION,Ancillary,Semi-Automated,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,69,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-045,mb-025,Handloom and Handicraft Enterprise,Handloom / Artisan Toolset,Production,PENDING_VERIFICATION,PENDING_VERIFICATION,Tooling,Basic,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-046,mb-026,Technical Textiles Unit,Nonwoven or Coating Line,Functional finishing,PENDING_VERIFICATION,PENDING_VERIFICATION,Core Plant,Automated,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,62,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-047,mb-027,Cold Storage Facility,Cold Storage Unit,Storage,fm-008,Cold Storage Unit,Core Plant,Automated,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Machine also exists in Package005 farm_machinery; referenced by id rather than restated
mmap-048,mb-027,Cold Storage Facility,Cold Chain / Reefer Transport,Outbound movement,fm-014,Cold Chain / Reefer Transport,Ancillary,Automated,No,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,Machine also exists in Package005 farm_machinery; referenced by id rather than restated
mmap-049,mb-028,Warehouse and Distribution Centre,Forklift and Material Handling Equipment,Handling,PENDING_VERIFICATION,PENDING_VERIFICATION,Core Plant,Mechanical,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-050,mb-028,Warehouse and Distribution Centre,Racking and WMS Barcode Infrastructure,Storage and tracking,PENDING_VERIFICATION,PENDING_VERIFICATION,Core Plant,Digital,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-051,mb-029,Last-Mile Delivery Fleet Operator,Delivery Vehicle Fleet,Transport,PENDING_VERIFICATION,PENDING_VERIFICATION,Core Plant,Basic,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,67,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-052,mb-030,Packaging Materials Unit,Corrugation and Box Making Line,Converting,PENDING_VERIFICATION,PENDING_VERIFICATION,Core Plant,Automated,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,69,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-053,mb-030,Packaging Materials Unit,Flexographic Printing Machine,Printing,PENDING_VERIFICATION,PENDING_VERIFICATION,Core Plant,Automated,No,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,67,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-054,mb-031,Plastic Waste Recycling Unit,Plastic Shredder and Washing Line,Size reduction and cleaning,PENDING_VERIFICATION,PENDING_VERIFICATION,Core Plant,Semi-Automated,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-055,mb-031,Plastic Waste Recycling Unit,Pelletiser / Extruder,Reprocessing,PENDING_VERIFICATION,PENDING_VERIFICATION,Core Plant,Automated,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-056,mb-032,E-Waste Dismantling and Recovery,Dismantling Workstations and Shredder,Dismantling,PENDING_VERIFICATION,PENDING_VERIFICATION,Core Plant,Semi-Automated,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,63,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-057,mb-033,Bio-Fertiliser and Vermicompost Unit,Vermibed Infrastructure and Shredder,Composting,PENDING_VERIFICATION,PENDING_VERIFICATION,Core Plant,Basic,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,67,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-058,mb-034,Detergent and Cleaning Products Unit,Mixing and Blending Tanks,Formulation,PENDING_VERIFICATION,PENDING_VERIFICATION,Core Plant,Semi-Automated,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-059,mb-034,Detergent and Cleaning Products Unit,Filling and Sealing Line,Packing,PENDING_VERIFICATION,PENDING_VERIFICATION,Core Plant,Semi-Automated,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-060,mb-035,Diagnostic Laboratory,Biochemistry and Haematology Analysers,Testing,PENDING_VERIFICATION,PENDING_VERIFICATION,Core Plant,Automated,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-061,mb-036,Medical Devices Assembly Unit,Cleanroom and Assembly Fixtures,Assembly,PENDING_VERIFICATION,PENDING_VERIFICATION,Core Plant,Automated,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,61,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-062,mb-037,Skill Training Centre,Training Lab Equipment and Computers,Training delivery,PENDING_VERIFICATION,PENDING_VERIFICATION,Core Plant,Basic,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-063,mb-039,Drone Services Enterprise,Agricultural Drone,Aerial operation,fm-006,Agricultural Drone,Core Plant,Advanced,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,Machine also exists in Package005 farm_machinery; referenced by id rather than restated
mmap-064,mb-040,3D Printing and Prototyping Service,FDM and Resin 3D Printers,Additive manufacturing,PENDING_VERIFICATION,PENDING_VERIFICATION,Core Plant,Automated,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,62,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
