mapping_id,package001_dist_id,dist_ref,district_name,state,business_id,business_name,suitability_basis,resource_strength,market_access_score,data_source,source_url,collection_date,confidence_score,verification_status,notes
dmap-011,71aa6838-7eb7-4a91-b09f-ccf59cffa4fb,AP-KRI,Krishna,Andhra Pradesh,mb-006,Fruit Pulp and Beverage Unit,Krishna district mango belt (Nuzvid) supports pulp processing per Package005,Very High,High,Package001_Geography district master; Package005 crop district attribution,https://msme.gov.in/,2026-07-25,69,VST-NEEDS_REVIEW,Suitability is asserted only where a documented district characteristic drives it; no blanket district-business cross-product is generated
dmap-012,3f5f2e8a-a13d-4889-a0d0-8f558d20c245,AP-EAS,East Godavari,Andhra Pradesh,mb-003,Cold-Pressed Oil Unit,East Godavari coconut belt supports coconut oil extraction per Package005,High,High,Package001_Geography district master; Package005 crop district attribution,https://msme.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,Suitability is asserted only where a documented district characteristic drives it; no blanket district-business cross-product is generated
dmap-013,29b87be3-4ff3-4325-87aa-d47a52501239,AP-WES,West Godavari,Andhra Pradesh,mb-001,Rice Milling Unit,West Godavari is among the highest-yield paddy districts,Very High,High,Package001_Geography district master; Package005 crop district attribution,https://msme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Suitability is asserted only where a documented district characteristic drives it; no blanket district-business cross-product is generated
dmap-014,a0248e18-5e38-4b14-8c0b-dfa7105971dd,TG-ADB,Adilabad,Telangana,mb-024,Garment Manufacturing Unit,Adilabad cotton belt supports downstream apparel activity per Package005,High,Low,Package001_Geography district master; Package005 crop district attribution,https://msme.gov.in/,2026-07-25,64,VST-NEEDS_REVIEW,Suitability is asserted only where a documented district characteristic drives it; no blanket district-business cross-product is generated
dmap-015,479e0ee3-c2bf-404c-b3fa-f3bc106aff50,TG-WGL,Warangal,Telangana,mb-024,Garment Manufacturing Unit,Warangal has an established textile and apparel cluster,High,Medium,Package001_Geography district master; Package005 crop district attribution,https://msme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,Suitability is asserted only where a documented district characteristic drives it; no blanket district-business cross-product is generated
dmap-016,3047ff5d-7947-489e-9b85-74ba0197be66,TG-HYD,Hyderabad,Telangana,mb-014,Custom Software Development Firm,Hyderabad is the state's dominant IT services concentration,Very High,Very High,Package001_Geography district master; Package005 crop district attribution,https://msme.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Suitability is asserted only where a documented district characteristic drives it; no blanket district-business cross-product is generated
dmap-017,3047ff5d-7947-489e-9b85-74ba0197be66,TG-HYD,Hyderabad,Telangana,mb-016,AI Solutions and Consulting,T-Hub and the wider startup ecosystem support AI ventures,Very High,Very High,Package001_Geography district master; Package005 crop district attribution,https://msme.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,Suitability is asserted only where a documented district characteristic drives it; no blanket district-business cross-product is generated
dmap-018,3047ff5d-7947-489e-9b85-74ba0197be66,TG-HYD,Hyderabad,Telangana,mb-015,SaaS Product Startup,"Deepest access to incubation, talent and early-stage capital",Very High,Very High,Package001_Geography district master; Package005 crop district attribution,https://msme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Suitability is asserted only where a documented district characteristic drives it; no blanket district-business cross-product is generated
dmap-019,3047ff5d-7947-489e-9b85-74ba0197be66,TG-HYD,Hyderabad,Telangana,mb-036,Medical Devices Assembly Unit,Established pharmaceutical and medical device ecosystem,High,Very High,Package001_Geography district master; Package005 crop district attribution,https://msme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,Suitability is asserted only where a documented district characteristic drives it; no blanket district-business cross-product is generated
dmap-020,3047ff5d-7947-489e-9b85-74ba0197be66,TG-HYD,Hyderabad,Telangana,mb-032,E-Waste Dismantling and Recovery,Urban e-waste generation volume supports recovery operations,High,Very High,Package001_Geography district master; Package005 crop district attribution,https://msme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,Suitability is asserted only where a documented district characteristic drives it; no blanket district-business cross-product is generated
dmap-021,d5eb8f6c-0a30-482b-a66b-b71ef0807c3d,TG-RRD,Ranga Reddy,Telangana,mb-008,CNC Machining Job Shop,Rangareddy hosts substantial engineering and ancillary industry,Very High,High,Package001_Geography district master; Package005 crop district attribution,https://msme.gov.in/,2026-07-25,69,VST-NEEDS_REVIEW,Suitability is asserted only where a documented district characteristic drives it; no blanket district-business cross-product is generated
dmap-022,d5eb8f6c-0a30-482b-a66b-b71ef0807c3d,TG-RRD,Ranga Reddy,Telangana,mb-030,Packaging Materials Unit,Manufacturing density creates derived packaging demand,High,High,Package001_Geography district master; Package005 crop district attribution,https://msme.gov.in/,2026-07-25,67,VST-NEEDS_REVIEW,Suitability is asserted only where a documented district characteristic drives it; no blanket district-business cross-product is generated
dmap-023,13bb4a71-c81b-4eb8-8d27-59bf21d96c85,TG-SNG,Sangareddy,Telangana,mb-009,Sheet Metal Fabrication Unit,Sangareddy industrial corridor (Patancheru belt) supports fabrication,High,High,Package001_Geography district master; Package005 crop district attribution,https://msme.gov.in/,2026-07-25,67,VST-NEEDS_REVIEW,Suitability is asserted only where a documented district characteristic drives it; no blanket district-business cross-product is generated
dmap-024,3a1a968d-5bd8-433b-8b99-5d2b04b69269,TG-MDK,Medak,Telangana,mb-012,Electrical Panel Manufacturing,Medak industrial area hosts electrical and engineering units,High,Medium,Package001_Geography district master; Package005 crop district attribution,https://msme.gov.in/,2026-07-25,65,VST-NEEDS_REVIEW,Suitability is asserted only where a documented district characteristic drives it; no blanket district-business cross-product is generated
dmap-025,88e201e0-7157-42e7-8c49-78dd22d1e70c,AP-VIS,Visakhapatnam,Andhra Pradesh,mb-028,Warehouse and Distribution Centre,Visakhapatnam port and industrial base support warehousing,Very High,Very High,Package001_Geography district master; Package005 crop district attribution,https://msme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Suitability is asserted only where a documented district characteristic drives it; no blanket district-business cross-product is generated
dmap-026,88e201e0-7157-42e7-8c49-78dd22d1e70c,AP-VIS,Visakhapatnam,Andhra Pradesh,mb-031,Plastic Waste Recycling Unit,Urban and industrial plastic waste volume supports recycling,High,High,Package001_Geography district master; Package005 crop district attribution,https://msme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,Suitability is asserted only where a documented district characteristic drives it; no blanket district-business cross-product is generated
dmap-027,709ae67e-2e80-4ff2-9457-def43c3a75df,AP-SRI,Srikakulam,Andhra Pradesh,mb-030,Packaging Materials Unit,Srikakulam cashew processing belt creates packaging demand per Package005,Medium,Low,Package001_Geography district master; Package005 crop district attribution,https://msme.gov.in/,2026-07-25,62,VST-NEEDS_REVIEW,Suitability is asserted only where a documented district characteristic drives it; no blanket district-business cross-product is generated
dmap-028,c3a879b3-f320-47ec-8104-d1c8137b672a,AP-CHI,Chittoor,Andhra Pradesh,mb-006,Fruit Pulp and Beverage Unit,Chittoor is a major mango and tomato district per Package005,Very High,High,Package001_Geography district master; Package005 crop district attribution,https://msme.gov.in/,2026-07-25,69,VST-NEEDS_REVIEW,Suitability is asserted only where a documented district characteristic drives it; no blanket district-business cross-product is generated
dmap-029,c3a879b3-f320-47ec-8104-d1c8137b672a,AP-CHI,Chittoor,Andhra Pradesh,mb-027,Cold Storage Facility,High perishable output creates cold storage demand,High,Medium,Package001_Geography district master; Package005 crop district attribution,https://msme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,Suitability is asserted only where a documented district characteristic drives it; no blanket district-business cross-product is generated
dmap-030,a762e29d-b3f4-4049-8eab-482792b30100,TG-MBN,Mahabubnagar,Telangana,mb-005,Millet Processing Unit,Mahbubnagar has significant millet and sorghum acreage per Package005,High,Low,Package001_Geography district master; Package005 crop district attribution,https://msme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,Suitability is asserted only where a documented district characteristic drives it; no blanket district-business cross-product is generated
dmap-031,be21fb05-1905-4012-b551-90e8d2d8eddb,TG-KHM,Khammam,Telangana,mb-004,Spice Grinding and Packing Unit,Khammam chilli acreage supports spice processing per Package005,High,Medium,Package001_Geography district master; Package005 crop district attribution,https://msme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,Suitability is asserted only where a documented district characteristic drives it; no blanket district-business cross-product is generated
dmap-032,5645ff67-1c01-4b3b-95ae-2506cc7eaa2c,AP-PRA,Prakasam,Andhra Pradesh,mb-002,Dal Milling Unit,Prakasam has substantial pulse acreage per Package005,High,Medium,Package001_Geography district master; Package005 crop district attribution,https://msme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,Suitability is asserted only where a documented district characteristic drives it; no blanket district-business cross-product is generated
